a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,
maxrank,30,,,,,,,,,,,,,,,,,,
0,pvt1,0,3299,RANK/PVT,RANK/PVT_FULL,icon_alien_rank_pvt1,3299,ranked_up_1,,,,,,1,1,,RANK/PVT_FULL,,
1,pvt2,3299,10445,RANK/PVT,RANK/PVT_FULL2,icon_alien_rank_pvt1,13744,ranked_up_2,,,,,,2,2,,RANK/PVT_FULL_N,,
2,pvt3,13744,15516,RANK/PVT,RANK/PVT_FULL3,icon_alien_rank_pvt1,29260,ranked_up_3,,,,,,3,3,,RANK/PVT_FULL_N,,
3,pfc1,29260,19449,RANK/PFC,RANK/PFC_FULL,icon_alien_rank_pfc1,48709,ranked_up_4,,,,,,4,4,,RANK/PFC_FULL,,
4,pfc2,48709,22663,RANK/PFC,RANK/PFC_FULL2,icon_alien_rank_pfc1,71372,ranked_up_5,,,,,,5,5,,RANK/PFC_FULL_N,,
5,spc1,71372,25380,RANK/PFC,RANK/PFC_FULL3,icon_alien_rank_spc1,96752,ranked_up_6,,,,,,6,6,,RANK/PFC_FULL_N,,
6,spc2,96752,27734,RANK/SPC,RANK/SPC_FULL,icon_alien_rank_spc1,124486,ranked_up_7,,,,,,7,7,,RANK/SPC_FULL,,
7,cpl1,124486,29810,RANK/SPC,RANK/SPC_FULL2,icon_alien_rank_cpl1,154296,ranked_up_8,,,,,,8,8,,RANK/SPC_FULL_N,,
8,cpl2,154295,31667,RANK/SPC,RANK/SPC_FULL3,icon_alien_rank_cpl1,185962,ranked_up_9,,,,,,9,9,,RANK/SPC_FULL_N,,
9,sgt1,185962,33347,RANK/CPL,RANK/CPL_FULL,icon_alien_rank_sgt1,219309,ranked_up_10,,,,,,10,10,,RANK/CPL_FULL,,
10,sgt2,219308,34880,RANK/CPL,RANK/CPL_FULL2,icon_alien_rank_sgt1,254188,ranked_up_11,,,,,,11,11,,RANK/CPL_FULL_N,,
11,ssgt1,254189,36291,RANK/CPL,RANK/CPL_FULL3,icon_alien_rank_ssgt1,290480,ranked_up_12,,,,,,12,12,,RANK/CPL_FULL_N,,
12,ssgt2,290480,37597,RANK/SGT,RANK/SGT_FULL,icon_alien_rank_ssgt1,328077,ranked_up_13,,,,,,13,13,,RANK/SGT_FULL,,
13,sfc1,328077,38813,RANK/SGT,RANK/SGT_FULL2,icon_alien_rank_sfc1,366890,ranked_up_14,,,,,,14,14,,RANK/SGT_FULL_N,,
14,msgt1,366890,39951,RANK/SGT,RANK/SGT_FULL3,icon_alien_rank_msgt1,406841,ranked_up_15,,,,,,15,15,,RANK/SGT_FULL_N,,
15,1stsgt1,406841,41019,RANK/SSGT,RANK/SSGT_FULL,icon_alien_rank_1stsgt1,447860,ranked_up_16,,,,,,16,16,,RANK/SSGT_FULL,,
16,sgtmaj1,447861,42027,RANK/SSGT,RANK/SSGT_FULL2,icon_alien_rank_sgtmaj1,489888,ranked_up_17,,,,,,17,17,,RANK/SSGT_FULL_N,,
17,cmdsgtmaj1,489888,42980,RANK/SSGT,RANK/SSGT_FULL3,icon_alien_rank_cmdsgtmaj1,532868,ranked_up_18,,,,,,18,18,,RANK/SSGT_FULL_N,,
18,2ndlt1,532868,43884,RANK/SSGT,RANK/SSGT_FULL4,icon_alien_rank_2ndlt1,576752,ranked_up_19,,,,,,19,19,,RANK/SSGT_FULL_N,,
19,2ndlt1,576752,44744,RANK/SFC,RANK/SFC_FULL,icon_alien_rank_2ndlt1,621496,ranked_up_20,,,,,,20,20,,RANK/SFC_FULL,,
20,1stlt1,621496,45564,RANK/SFC,RANK/SFC_FULL2,icon_alien_rank_1stlt1,667060,ranked_up_21,,,,,,21,21,,RANK/SFC_FULL_N,,
21,capt1,667060,46347,RANK/SFC,RANK/SFC_FULL3,icon_alien_rank_capt1,713407,ranked_up_22,,,,,,22,22,,RANK/SFC_FULL_N,,
22,maj1,713407,47098,RANK/SFC,RANK/SFC_FULL4,icon_alien_rank_maj1,760505,ranked_up_23,,,,,,23,23,,RANK/SFC_FULL_N,,
23,ltcol1,760505,47817,RANK/MSGT,RANK/MSGT_FULL,icon_alien_rank_ltcol1,808322,ranked_up_24,,,,,,24,24,,RANK/MSGT_FULL,,
24,col1,808322,48508,RANK/MSGT,RANK/MSGT_FULL2,icon_alien_rank_col1,856830,ranked_up_25,,,,,,25,25,,RANK/MSGT_FULL_N,,
25,bgen1,856831,49174,RANK/MSGT,RANK/MSGT_FULL3,icon_alien_rank_bgen1,906005,ranked_up_26,,,,,,26,26,,RANK/MSGT_FULL_N,,
26,majgen1,906004,49815,RANK/MSGT,RANK/MSGT_FULL4,icon_alien_rank_majgen1,955819,ranked_up_27,,,,,,27,27,,RANK/MSGT_FULL_N,,
27,ltgen1,955819,50433,RANK/1STSGT,RANK/1STSGT_FULL,icon_alien_rank_ltgen1,1006252,ranked_up_28,,,,,,28,28,,RANK/1STSGT_FULL,,
28,gen1,1006252,51031,RANK/1STSGT,RANK/1STSGT_FULL2,icon_alien_rank_gen1,1057283,ranked_up_29,,,,,,29,29,,RANK/1STSGT_FULL_N,,
29,comm1,1057283,51609,RANK/1STSGT,RANK/1STSGT_FULL3,icon_alien_rank_comm1,1108892,ranked_up_30,,,,,,30,30,,RANK/1STSGT_FULL_N,,
30,comm1,1108892,52168,RANK/1STSGT,RANK/1STSGT_FULL3,icon_alien_rank_comm1,1161060,ranked_up_31,,,,,,31,31,,RANK/1STSGT_FULL_N,,
