chr_menu_buddy_west_male_01_AR,weapon_assault,0,0,
chr_menu_buddy_west_female_01_AR,weapon_assault,0,1,
chr_menu_buddy_east_male_01_AR,weapon_assault,1,0,
chr_menu_buddy_east_female_01_AR,weapon_assault,1,1,
chr_menu_buddy_west_male_01_SMG,weapon_smg,0,0,
chr_menu_buddy_west_female_01_SMG,weapon_smg,0,1,
chr_menu_buddy_east_male_01_SMG,weapon_smg,1,0,
chr_menu_buddy_east_female_01_SMG,weapon_smg,1,1,
chr_menu_buddy_west_male_01_AR,weapon_shotgun,0,0,
chr_menu_buddy_west_female_01_AR,weapon_shotgun,0,1,
chr_menu_buddy_east_male_01_AR,weapon_shotgun,1,0,
chr_menu_buddy_east_female_01_AR,weapon_shotgun,1,1,
chr_menu_buddy_west_male_01_LMG,weapon_lmg,0,0,
chr_menu_buddy_west_female_01_LMG,weapon_lmg,0,1,
chr_menu_buddy_east_male_01_LMG,weapon_lmg,1,0,
chr_menu_buddy_east_female_01_LMG,weapon_lmg,1,1,
chr_menu_buddy_west_male_01_DMR,weapon_dmr,0,0,
chr_menu_buddy_west_female_01_DMR,weapon_dmr,0,1,
chr_menu_buddy_east_male_01_DMR,weapon_dmr,1,0,
chr_menu_buddy_east_female_01_DMR,weapon_dmr,1,1,
chr_menu_buddy_west_male_01_DMR,weapon_sniper,0,0,
chr_menu_buddy_west_female_01_DMR,weapon_sniper,0,1,
chr_menu_buddy_east_male_01_DMR,weapon_sniper,1,0,
chr_menu_buddy_east_female_01_DMR,weapon_sniper,1,1,
