0,InvertPitchGamepad,ToggleButton,30,MENU/LOOK_INVERSION,,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,Y,Y,Y,
1,SprintCancelReload,ToggleButton,30,MENU/SPRINT_CANCELS_RELOAD,,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,Y,Y,Y,
2,LookHorzSens,CyclingList,30,MENU/LOOK_HORZ_SENSITIVITY,,,,,Y,Y,Y,
3,LookVertSens,CyclingList,30,MENU/LOOK_VERT_SENSITIVITY,,,,,Y,Y,Y,
4,Rumble,ToggleButton,30,PLATFORM/CONTROLLER_VIBRATION,,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,Y,Y,Y,
5,AimAssist,ToggleButton,30,MENU/AIM_ASSIST,,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,Y,N,N,
6,TargetAssist,ToggleButton,30,MENU/TARGET_ASSIST,,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,Y,Y,Y,
7,ToogleLean,ToggleButton,30,LUA_MENU/LEAN_TOGGLE,,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,Y,N,N,
8,AimResponseCurveType,ToggleButton,30,MENU/AIM_RESPONSE_CURVE_TYPE,,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,Y,N,N,
9,ToogleLean,ToggleButton,30,LUA_MENU/LEAN_TOGGLE,,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,Y,N,N,
