mp_default,4096,0,2048,-1,2048,-1,-1,2048,2048,4096,2048,4096,1024,2048,-1,-1,1,0.6,2048,3072,1,0.6,1024,3072,1,0,2048,2048,2048,1,1,1024,3072,4096,4096,1,1,600,-1,-1,1,700,45,0.5,0,0,
mp_realism,2048,0,0,-1,2048,2048,4096,0,0,4096,0,0,0,0,-1,-1,1,0.6,2048,3072,1,1,1024,3072,0,0,0,0,0,1,1,1024,3072,4096,4096,1,1,600,-1,-1,1,500,45,0.5,0,0,
mp_multi_team,-1,4096,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4096,2048,-1,-1,1,0.6,1024,3072,1,1,1024,3072,1,0,0,0,0,1,0.6,1024,3072,4096,4096,0.8,0.8,600,-1,-1,0.8,700,45,0.5,0,0,
cp_default,-1,-1,-1,-1,2048,-1,100000,-1,-1,4096,2048,4096,-1,-1,-1,-1,1,0.6,1024,3072,1,1,1024,3072,1,0,2048,2048,2048,1,0.6,1024,3072,4096,4096,0.8,0.8,600,-1,-1,0.8,700,45,0.5,0,0,
mp_subsquads,4096,1024,2048,-1,-1,-1,-1,4096,-1,-1,-1,-1,4096,2048,-1,-1,1,0.6,1024,3072,1,1,1024,3072,1,0,2048,2048,2048,1,0.6,1024,3072,4096,4096,0.8,0.8,600,-1,-1,0.8,700,45,0.5,0,0,
mp_groundwar,1024,512,512,-1,2048,1024,10000,2048,1024,-1,2048,1024,0,0,-1,2048,1,0.5,1024,3072,1,0.6,2048,2648,0,0,2048,2048,4096,1,0.6,1024,1624,10000,4096,0.8,0.8,1000,-1,-1,0.8,700,45,0.5,0,0,
br,-1,0,2048,-1,2048,-1,-1,2048,2048,-1,2048,4096,1024,2048,-1,-1,1.2,1,2048,3072,1.2,1,1024,3072,1,1,0,0,0,1,1,1024,3072,4096,4096,1,1,600,-1,-1,1,700,45,0.5,400,0.2,
mp_default_occlude,0,0,0,-1,2048,0,-1,2048,0,4096,2048,4096,0,0,-1,0,1,0.6,2048,3072,1,0.6,1024,3072,1,0,2048,2048,2048,1,1,1024,3072,0,4096,1,1,600,-1,-1,1,700,45,0.5,0,0,
mp_groundwar_occlude,0,0,0,-1,2048,0,-1,2048,0,-1,2048,1024,0,0,-1,0,1,0.5,1024,3072,1,0.6,2048,2648,0,0,2048,2048,4096,1,0.6,1024,1624,0,-1,0.8,0.8,1000,-1,-1,0.8,700,45,0.5,0,0,
mp_mlgspectator,4096,4096,2048,-1,2048,-1,-1,2048,2048,4096,2048,4096,1024,2048,-1,-1,1,0.6,2048,3072,1,0.6,1024,3072,1,0,2048,2048,2048,1,1,1024,3072,4096,4096,1,1,600,2048,2048,1,700,45,0.5,0,0,
bm,-1,0,2048,-1,2048,-1,-1,2048,2048,-1,2048,4096,1024,2048,-1,-1,1.2,1,2048,3072,1.2,1,1024,3072,1,1,2048,2048,2048,1,1,1024,3072,4096,4096,1,1,600,-1,-1,1,700,45,0.5,0,0,
tac_ops_map,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0.6,2048,3072,0,0,1024,3072,1,0,0,0,0,0,0,1024,3072,4096,4096,1,1,600,-1,-1,1,700,45,0.5,0,0,
mp_groundwar_realism,1024,0,0,-1,2048,2048,8192,0,0,-1,2048,1024,0,0,-1,2048,1,0.5,1024,3072,1,0.6,2048,2648,0,0,2048,2048,4096,1,0.6,1024,1624,10000,4096,0.8,0.8,1000,-1,-1,0.8,700,45,0.5,0,0,
