9143,ch_x1_contract01,CHALLENGE/NAME_NONE,CHALLENGE/NAME_NONE,1,0,181231,REWARD,,CHALLENGE/EMBLEM_1035,,0,0,0,iw8_games_splash_bronze,
9144,ch_x1_contract02,CHALLENGE/NAME_NONE,CHALLENGE/NAME_NONE,1,0,171438,REWARD,,CHALLENGE/ST_CARD_1247,,0,0,0,iw8_games_splash_silver,
9145,ch_x1_contract03,CHALLENGE/NAME_NONE,CHALLENGE/NAME_NONE,1,0,80368,REWARD,,,,0,0,0,iw8_games_splash_gold,
9146,ch_x1_contract04,CHALLENGE/NAME_NONE,CHALLENGE/NAME_NONE,1,0,814,REWARD,,,,0,0,0,ui_iw8_blueprint_banner,
9147,ch_x1_end01,CHALLENGE/NAME_NONE,CHALLENGE/NAME_NONE,1,0,181204,REWARD,,,,1,0,1,,
9148,ch_x1_end02,CHALLENGE/NAME_NONE,CHALLENGE/NAME_NONE,1,0,171454,REWARD,,,,1,0,1,,
10426,ch_halloween_treat_0,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_01,1,0,1118,,,,,,,,,
10427,ch_halloween_treat_1,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_02,1,0,80392,,,,,,,,,
10428,ch_halloween_treat_2,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_03,1,0,40106,,,,,,,,,
10429,ch_halloween_treat_3,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_04,1,0,190565,,,,,,,,,
10430,ch_halloween_treat_4,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_05,1,0,171687,,,,,,,,,
10431,ch_halloween_treat_5,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_06,1,0,171688,,,,,,,,,
10432,ch_halloween_treat_6,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_07,1,0,330185,,,,,,,,,
10433,ch_halloween_treat_7,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_08,1,0,330265,,,,,,,,,
10434,ch_halloween_treat_8,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_09,1,0,181330,,,,,,,,,
10435,ch_halloween_treat_9,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_10,1,0,181333,,,,,,,,,
10436,ch_halloween_treat_10,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_11,1,0,875,,,,,,,,,
10437,ch_halloween_treat_11,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_12,1,0,181331,,,,,,,,,
10438,ch_halloween_treat_12,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_13,1,0,190566,,,,,,,,,
10439,ch_halloween_treat_13,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_14,1,0,190563,,,,,,,,,
10440,ch_halloween_treat_14,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_15,1,0,80379,,,,,,,,,
10441,ch_halloween_treat_15,CHALLENGE/NAME_NONE,SEASONAL_EVENT/MAP_AREA_16,1,0,190569,,,,,,,,,
10442,ch_halloween_treat_16,CHALLENGE/NAME_NONE,SEASONAL_EVENT/SPLASH_EVENT_COMPLETE,1,0,972,,,,,,,,,
10443,ch_halloween_treat_17,CHALLENGE/NAME_NONE,CHALLENGE/NAME_NONE,1,0,80297,,,,,,,,,
9154,ch_br_geiger_contract,CHALLENGE/NAME_NONE,CHALLENGE/NAME_NONE,1,0,,,,,,1,1,0,,
