0,AttackAction,MENU/FIRE_WEAPON,+attack,Y,Y,Y,
1,ToggleAIMAction,MENU/AIM_DOWN_THE_SIGHT,+toggleads_throw,Y,Y,Y,
2,HoldAIMAction,MENU/HOLD_AIM_DOWN_SIGHT,+speed_throw,Y,Y,Y,
3,ReloadAction,MENU/RELOAD_WEAPON,+reload,Y,Y,Y,
4,WeaponNextAction,MENU/SWITCH_WEAPON,+weapnext,Y,Y,Y,
5,MeleeZoomAction,PLATFORM/MELEEZOOM,+melee_zoom,Y,Y,Y,
6,ActivateAction,MENU/USE,+activate,Y,Y,Y,
7,SmokeAction,MENU/USE_TACTICAL,+smoke,Y,Y,Y,
8,FragAction,MENU/USE_LETHAL,+frag,Y,Y,Y,
9,SpecialAction,MENU/ACTIVATE_SUPER,+special,,Y,Y,
10,ToggleWeaponAlt,MENU/TOGGLE_ALT_MODE,toggleweapalt,,Y,Y,
11,MountAction,MENU/WEAPON_MOUNT,+mount,Y,Y,Y,
12,KillStreak1Action,MENU/SCORESTREAK_REWARD_SLOT_1,killstreak1,,Y,,
13,KillStreak2Action,MENU/SCORESTREAK_REWARD_SLOT_2,killstreak2,,Y,,
14,KillStreak3Action,MENU/SCORESTREAK_REWARD_SLOT_3,killstreak3,,Y,,
15,KillStreak4Action,MENU/SCORESTREAK_REWARD_SLOT_4,killstreak4,,Y,,
16,GestureAction,LUA_MENU_MP/CUSTOMIZE_GESTURE,+actionslot 7,,Y,Y,
17,ShowScoreAction,MENU/SHOW_SCORES_OPTIONS,togglescores,,Y,Y,
19,ActionSlot1,LUA_MENU_ZM/OPTIONS_CYCLE_CARDS_UP,+actionslot 1,,,,
20,ActionSlot2,LUA_MENU_ZM/OPTIONS_CYCLE_CARDS_DOWN,+actionslot 2,,,,
22,ActionSlot3,LUA_MENU_ZM/SOUVENIR,+actionslot 3,,,,
23,ShowScoreAction,LUA_MENU_ZM/OPTIONS_INVENTORY,togglescores,,,,
24,ActionSlot1,MENU/MISSION_ABILITY,+actionslot 1,Y,Y,Y,
25,ActionSlot2,MENU/MENU_NVG,+actionslot 2,Y,Y,Y,
26,ActionSlot3,MENU/SWAP_TACTICAL,+actionslot 3,Y,Y,Y,
27,ActionSlot4,MENU/SWAP_LETHAL,+actionslot 4,Y,Y,Y,
29,FocusAbility,MENU/FOCUS,+focus,Y,N,N,
30,WeapNextAction,MENU/NEXT_WEAPON,+weapnext,Y,Y,Y,
31,WeapPrevAction,MENU/PREVIOUS_WEAPON,+weapprev,Y,Y,Y,
32,TextPublicChat,MENU/TEXT_PUBLIC_CHAT,chatmodepublic,Y,Y,Y,
33,TextTeamChat,MENU/TEXT_TEAM_CHAT,chatmodeteam,Y,Y,Y,
34,TextLastChat,MENU/TEXT_LAST_CHAT,chatmodelastused,Y,Y,Y,
