388,ch_operator1,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_WYATT,,20000,
389,ch_operator2,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_SPETSNAZ,,20001,
390,ch_operator3,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_MURPHY,,20002,
391,ch_operator4,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_DDAY,,20003,
392,ch_operator5,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_CHARLY,25,20004,
393,ch_operator6,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_ALICE,,20005,
394,ch_operator7,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_SYD,,20006,
395,ch_operator8,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_BALE,,20007,
396,ch_operator9,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_DOMINO,5,20008,
397,ch_operator10,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_OTTER,,20009,
398,ch_operator11,CHALLENGE/NAME_NONE,CHALLENGE/AR_KILLS,,20010,
399,ch_operator12,CHALLENGE/NAME_NONE,CHALLENGE/OP_3STREAK,,20011,
400,ch_operator13,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_ZEDRA,,20012,
401,ch_operator14,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_GOLEM,,20013,
402,ch_operator15,CHALLENGE/NAME_NONE,CHALLENGE/SECONDARY,,20014,
403,ch_operator16,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_GHOST,,20015,
404,ch_operator17,CHALLENGE/NAME_NONE,CHALLENGE/HEADSHOT,,20016,
405,ch_operator18,CHALLENGE/NAME_NONE,CHALLENGE/GRENADE,,20017,
406,ch_operator19,CHALLENGE/NAME_NONE,CHALLENGE/CROUCH,,20018,
407,ch_operator20,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_RODION,,20019,
408,ch_operator21,CHALLENGE/NAME_NONE,CHALLENGE/AR_KILLS,,20020,
409,ch_operator22,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_GRINCH,100,20021,
410,ch_operator23,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_ISKRA,,20022,
411,ch_operator24,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_YEGOR,,20023,
412,ch_operator25,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_KREUGER,25,20024,
413,ch_operator26,CHALLENGE/NAME_NONE,CHALLENGE/STEALTH,,20025,
414,ch_operator27,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_AZUR,,20026,
415,ch_operator28,CHALLENGE/NAME_NONE,CHALLENGE/GRENADE,,20027,
416,ch_operator29,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_ZANE,,20028,
417,ch_operator30,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_MINOTAUR,300,20029,
1541,ch_operator31,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_RAINES,500,20032,
20048,ch_operator32,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_CROWFOOT,,20033,
20049,ch_operator33,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_MACE,,20034,
20098,ch_operator34,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_RONIN,,20035,
20099,ch_operator35,CHALLENGE/NAME_NONE,CHALLENGE/OPERATOR_UNLOCK_ALEX,,20036,
