70000,ch_master_warzone_br_wins,CHALLENGE/STICKER_BOOK_BR_WINS_NAME,CHALLENGE/STICKER_BOOK_BR_WINS_DESC,1|10|50|200|300,170956|170957|170958|170959|170996,10000|25000|25000|25000|25000,BR,
70001,ch_master_warzone_plunder_wins,CHALLENGE/STICKER_BOOK_PLUNDER_WINS_NAME,CHALLENGE/STICKER_BOOK_PLUNDER_WINS_DESC,1|10|50|200|300,170960|170961|170962|170963|170995,10000|25000|25000|25000|25000,BR,
70002,ch_master_warzone_all_wins,CHALLENGE/STICKER_BOOK_WARZONE_WINS_NAME,CHALLENGE/STICKER_BOOK_WARZONE_WINS_DESC,5|25|100|300|400,170964|170965|170966|170967|170998,10000|25000|25000|25000|25000,BR,
70004,ch_master_throwingknife,CHALLENGE/STICKER_BOOK_THROWINGKNIFE_NAME,CHALLENGE/STICKER_BOOK_THROWINGKNIFE_DESC,1,171366,5000,MP,
70005,ch_master_hs_streak,CHALLENGE/STICKER_BOOK_HS_NAME,CHALLENGE/STICKER_BOOK_HS_DESC,1,171367,5000,MP,
70006,ch_master_lethal_achievement,CHALLENGE/STICKER_BOOK_LETHAL_ACHIEVEMENT_NAME,CHALLENGE/STICKER_BOOK_LETHAL_ACHIEVEMENT_DESC,1,171364,5000,MP,
70007,ch_master_objective_player_achievement,CHALLENGE/STICKER_BOOK_OBJECTIVE_PLAYER_NAME,CHALLENGE/STICKER_BOOK_OBJECTIVE_PLAYER_DESC,1,171368,5000,MP,
70008,ch_master_recon_drone_achievement,CHALLENGE/STICKER_BOOK_DRONE_ACHIEVEMENT_NAME,CHALLENGE/STICKER_BOOK_DRONE_ACHIEVEMENT_DESC,1,171365,5000,MP,
70009,ch_master_br_five_contracts,CHALLENGE/STICKER_BOOK_BR_FIVE_CONTRACTS_NAME,CHALLENGE/STICKER_BOOK_BR_FIVE_CONTRACTS_DESC,1,171373,5000,BR,
700010,ch_master_br_point_blank_streak_kill,CHALLENGE/STICKER_BOOK_BR_POINT_BLANK_STREAK_KILL_NAME,CHALLENGE/STICKER_BOOK_BR_POINT_BLANK_STREAK_KILL_DESC,1,171370,5000,BR,
700011,ch_master_br_c4_vehicle_multikill,CHALLENGE/STICKER_BOOK_BR_C4_VEHICLE_MULTIKILL_NAME,CHALLENGE/STICKER_BOOK_BR_C4_VEHICLE_MULTIKILL_DESC,1,171369,5000,BR,
700012,ch_master_br_ghost_ride_whip,CHALLENGE/STICKER_BOOK_BR_GHOST_RIDE_WHIP_NAME,CHALLENGE/STICKER_BOOK_BR_GHOST_RIDE_WHIP_DESC,1,171372,5000,BR,
700013,ch_master_br_round_kill_execute,CHALLENGE/STICKER_BOOK_BR_ROUND_KILL_EXECUTE_NAME,CHALLENGE/STICKER_BOOK_BR_ROUND_KILL_EXECUTE_DESC,1,171371,5000,BR,
70010,ch_master_throwingknife_speed,CHALLENGE/STICKER_BOOK_THROWING_KNIFE_SPEED_NAME,CHALLENGE/STICKER_BOOK_THROWING_KNIFE_SPEED_DESC,1,171641,5000,MP,
70011,ch_master_iav_wheelson_frenzy,CHALLENGE/STICKER_BOOK_IAV_WHEELSON_FRENZY_NAME,CHALLENGE/STICKER_BOOK_IAV_WHEELSON_FRENZY_DESC,1,171643,5000,MP,
70012,ch_master_hsls_achievement,CHALLENGE/STICKER_BOOK_HSLS_ACHIEVEMENT_NAME,CHALLENGE/STICKER_BOOK_HSLS_ACHIEVEMENT_DESC,1,171642,5000,MP,
70013,ch_master_br_travelogue,CHALLENGE/MASTERY_BR_TRAVELOGUE_NAME,CHALLENGE/MASTERY_BR_TRAVELOGUE_DESC,1,171638,5000,BR,
70014,ch_master_br_never_say_die,CHALLENGE/MASTERY_BR_NEVER_SAY_DIE_NAME,CHALLENGE/MASTERY_BR_NEVER_SAY_DIE_DESC,1,171640,5000,BR,
70015,ch_master_br_untouchable,CHALLENGE/MASTERY_BR_UNTOUCHABLE_NAME,CHALLENGE/MASTERY_BR_UNTOUCHABLE_DESC,1,171639,5000,BR,
