SpectateNextBindingCodcaster,CODCASTER/BINDINGS_SPECTATENEXT,CODCASTER/BINDINGS_SPECTATENEXT_DESC,codcaster_spectate_next_player,CODCASTER,Y,Y,Y,Y,,
SpectatePreviousBindingCodcaster,CODCASTER/BINDINGS_SPECTATEPREVIOUS,CODCASTER/BINDINGS_SPECTATEPREVIOUS_DESC,codcaster_spectate_previous_player,CODCASTER,Y,Y,Y,Y,,
Spectate1BindingCodcaster,CODCASTER/BINDINGS_SPECTATE1,CODCASTER/BINDINGS_SPECTATE1_DESC,codcaster_spectate_player1,CODCASTER,Y,Y,Y,Y,,
Spectate2BindingCodcaster,CODCASTER/BINDINGS_SPECTATE2,CODCASTER/BINDINGS_SPECTATE2_DESC,codcaster_spectate_player2,CODCASTER,Y,Y,Y,Y,,
Spectate3BindingCodcaster,CODCASTER/BINDINGS_SPECTATE3,CODCASTER/BINDINGS_SPECTATE3_DESC,codcaster_spectate_player3,CODCASTER,Y,Y,Y,Y,,
Spectate4BindingCodcaster,CODCASTER/BINDINGS_SPECTATE4,CODCASTER/BINDINGS_SPECTATE4_DESC,codcaster_spectate_player4,CODCASTER,Y,Y,Y,Y,,
Spectate5BindingCodcaster,CODCASTER/BINDINGS_SPECTATE5,CODCASTER/BINDINGS_SPECTATE5_DESC,codcaster_spectate_player5,CODCASTER,Y,Y,Y,Y,,
Spectate6BindingCodcaster,CODCASTER/BINDINGS_SPECTATE6,CODCASTER/BINDINGS_SPECTATE6_DESC,codcaster_spectate_player6,CODCASTER,Y,Y,Y,Y,,
Spectate7BindingCodcaster,CODCASTER/BINDINGS_SPECTATE7,CODCASTER/BINDINGS_SPECTATE7_DESC,codcaster_spectate_player7,CODCASTER,Y,Y,Y,Y,,
Spectate8BindingCodcaster,CODCASTER/BINDINGS_SPECTATE8,CODCASTER/BINDINGS_SPECTATE8_DESC,codcaster_spectate_player8,CODCASTER,Y,Y,Y,Y,,
Spectate9BindingCodcaster,CODCASTER/BINDINGS_SPECTATE9,CODCASTER/BINDINGS_SPECTATE9_DESC,codcaster_spectate_player9,CODCASTER,Y,Y,Y,Y,,
Spectate10BindingCodcaster,CODCASTER/BINDINGS_SPECTATE10,CODCASTER/BINDINGS_SPECTATE10_DESC,codcaster_spectate_player10,CODCASTER,Y,Y,Y,Y,,
SelectNextBindingCodcaster,CODCASTER/BINDINGS_SELECTNEXT,CODCASTER/BINDINGS_SELECTNEXT_DESC,codcaster_player_list_next,CODCASTER,Y,Y,Y,Y,,
