1500,ch_quest001_stage001,CHALLENGE/LAUNCH_QUEST_1_NAME,CHALLENGE/LAUNCH_QUEST_1_STEP_1,mission_bootcamp,ALL,1,ch_quest001_stage002,500,170052,,,,CHALLENGE/LAUNCH_QUEST_1_NAME_DESC,5,,0,0,,
1501,ch_quest001_stage002,CHALLENGE/LAUNCH_QUEST_1_NAME,CHALLENGE/LAUNCH_QUEST_1_STEP_2,mission_bootcamp,ALL,5,ch_quest001_stage003,1000,190263,,,,CHALLENGE/LAUNCH_QUEST_1_NAME_DESC,5,,0,0,,
1502,ch_quest001_stage003,CHALLENGE/LAUNCH_QUEST_1_NAME,CHALLENGE/LAUNCH_QUEST_1_STEP_3,mission_bootcamp,ALL,1,ch_quest001_stage004,1500,170057,,,,CHALLENGE/LAUNCH_QUEST_1_NAME_DESC,5,,0,0,,
1503,ch_quest001_stage004,CHALLENGE/LAUNCH_QUEST_1_NAME,CHALLENGE/LAUNCH_QUEST_1_STEP_4,mission_bootcamp,ALL,3,ch_quest001_stage005,2000,180143,,,,CHALLENGE/LAUNCH_QUEST_1_NAME_DESC,5,,0,0,,
1504,ch_quest001_stage005,CHALLENGE/LAUNCH_QUEST_1_NAME,CHALLENGE/LAUNCH_QUEST_1_STEP_5,mission_bootcamp,ALL,1,,2500,118,,,,CHALLENGE/LAUNCH_QUEST_1_NAME_DESC,5,1,0,0,,
1505,ch_quest002_stage001,CHALLENGE/LAUNCH_QUEST_2_NAME,CHALLENGE/LAUNCH_QUEST_2_STEP_1,mission_weaponmaster,ALL,35,ch_quest002_stage002,500,170020,,,,CHALLENGE/LAUNCH_QUEST_2_NAME_DESC,7,,0,0,,
1506,ch_quest002_stage002,CHALLENGE/LAUNCH_QUEST_2_NAME,CHALLENGE/LAUNCH_QUEST_2_STEP_2,mission_weaponmaster,ALL,35,ch_quest002_stage003,1000,170023,,,,CHALLENGE/LAUNCH_QUEST_2_NAME_DESC,7,,0,0,,
1507,ch_quest002_stage003,CHALLENGE/LAUNCH_QUEST_2_NAME,CHALLENGE/LAUNCH_QUEST_2_STEP_3,mission_weaponmaster,ALL,35,ch_quest002_stage004,1500,170216,,,,CHALLENGE/LAUNCH_QUEST_2_NAME_DESC,7,,0,0,,
1508,ch_quest002_stage004,CHALLENGE/LAUNCH_QUEST_2_NAME,CHALLENGE/LAUNCH_QUEST_2_STEP_4,mission_weaponmaster,ALL,35,ch_quest002_stage005,2000,170006,,,,CHALLENGE/LAUNCH_QUEST_2_NAME_DESC,7,,0,0,,
1509,ch_quest002_stage005,CHALLENGE/LAUNCH_QUEST_2_NAME,CHALLENGE/LAUNCH_QUEST_2_STEP_5,mission_weaponmaster,ALL,30,ch_quest002_stage006,2500,170021,,,,CHALLENGE/LAUNCH_QUEST_2_NAME_DESC,7,,0,0,,
1510,ch_quest002_stage006,CHALLENGE/LAUNCH_QUEST_2_NAME,CHALLENGE/LAUNCH_QUEST_2_STEP_6,mission_weaponmaster,ALL,30,ch_quest002_stage007,3000,170054,,,,CHALLENGE/LAUNCH_QUEST_2_NAME_DESC,7,,0,0,,
1511,ch_quest003_stage001,CHALLENGE/LAUNCH_QUEST_3_NAME,CHALLENGE/LAUNCH_QUEST_3_STEP_1,mission_infiltrator,ALL,3,ch_quest003_stage002,1000,170053,,,,CHALLENGE/LAUNCH_QUEST_3_NAME_DESC,7,,0,0,,
1512,ch_quest003_stage002,CHALLENGE/LAUNCH_QUEST_3_NAME,CHALLENGE/LAUNCH_QUEST_3_STEP_2,mission_infiltrator,ALL,30,ch_quest003_stage003,2000,190174,,,,CHALLENGE/LAUNCH_QUEST_3_NAME_DESC,7,,0,0,,
1513,ch_quest003_stage003,CHALLENGE/LAUNCH_QUEST_3_NAME,CHALLENGE/LAUNCH_QUEST_3_STEP_3,mission_infiltrator,ALL,10,ch_quest003_stage004,3000,80062,,,,CHALLENGE/LAUNCH_QUEST_3_NAME_DESC,7,,0,0,,
1514,ch_quest003_stage004,CHALLENGE/LAUNCH_QUEST_3_NAME,CHALLENGE/LAUNCH_QUEST_3_STEP_4,mission_infiltrator,ALL,50,ch_quest003_stage005,4000,180022,,,,CHALLENGE/LAUNCH_QUEST_3_NAME_DESC,7,,0,0,,
1515,ch_quest003_stage005,CHALLENGE/LAUNCH_QUEST_3_NAME,CHALLENGE/LAUNCH_QUEST_3_STEP_5,mission_infiltrator,ALL,15,ch_quest003_stage006,5000,190177,,,,CHALLENGE/LAUNCH_QUEST_3_NAME_DESC,7,,0,0,,
1516,ch_quest003_stage006,CHALLENGE/LAUNCH_QUEST_3_NAME,CHALLENGE/LAUNCH_QUEST_3_STEP_6,mission_infiltrator,ALL,60,ch_quest003_stage007,7000,170080,,,,CHALLENGE/LAUNCH_QUEST_3_NAME_DESC,7,,0,0,,
1517,ch_quest003_stage007,CHALLENGE/LAUNCH_QUEST_3_NAME,CHALLENGE/LAUNCH_QUEST_3_STEP_7,mission_infiltrator,ALL,20,,8000,64,,,,CHALLENGE/LAUNCH_QUEST_3_NAME_DESC,7,1,0,0,,
1545,ch_quest004_stage001,CHALLENGE/LAUNCH_QUEST_4_NAME,CHALLENGE/LAUNCH_QUEST_4_STEP_1,mission_shockandawe,ALL,30,ch_quest004_stage002,1000,180018,,,,CHALLENGE/LAUNCH_QUEST_4_NAME_DESC,8,,0,0,,
1546,ch_quest004_stage002,CHALLENGE/LAUNCH_QUEST_4_NAME,CHALLENGE/LAUNCH_QUEST_4_STEP_2,mission_shockandawe,ALL,25,ch_quest004_stage003,2000,190149,,,,CHALLENGE/LAUNCH_QUEST_4_NAME_DESC,8,,0,0,,
1547,ch_quest004_stage003,CHALLENGE/LAUNCH_QUEST_4_NAME,CHALLENGE/LAUNCH_QUEST_4_STEP_3,mission_shockandawe,ALL,30,ch_quest004_stage004,3000,170044,,,,CHALLENGE/LAUNCH_QUEST_4_NAME_DESC,8,,0,0,,
1548,ch_quest004_stage004,CHALLENGE/LAUNCH_QUEST_4_NAME,CHALLENGE/LAUNCH_QUEST_4_STEP_4,mission_shockandawe,ALL,25,ch_quest004_stage005,4000,330057,,,,CHALLENGE/LAUNCH_QUEST_4_NAME_DESC,8,,0,0,,
1549,ch_quest004_stage005,CHALLENGE/LAUNCH_QUEST_4_NAME,CHALLENGE/LAUNCH_QUEST_4_STEP_5,mission_shockandawe,ALL,20,ch_quest004_stage006,5000,170126,,,,CHALLENGE/LAUNCH_QUEST_4_NAME_DESC,8,,0,0,,
1550,ch_quest004_stage006,CHALLENGE/LAUNCH_QUEST_4_NAME,CHALLENGE/LAUNCH_QUEST_4_STEP_6,mission_shockandawe,ALL,20,ch_quest004_stage007,7000,170066,,,,CHALLENGE/LAUNCH_QUEST_4_NAME_DESC,8,,0,0,,
1551,ch_quest004_stage007,CHALLENGE/LAUNCH_QUEST_4_NAME,CHALLENGE/LAUNCH_QUEST_4_STEP_7,mission_shockandawe,ALL,30,ch_quest004_stage008,8000,170040,,,,CHALLENGE/LAUNCH_QUEST_4_NAME_DESC,8,,0,0,,
1552,ch_quest004_stage008,CHALLENGE/LAUNCH_QUEST_4_NAME,CHALLENGE/LAUNCH_QUEST_4_STEP_8,mission_shockandawe,ALL,20,,10000,176,,,,CHALLENGE/LAUNCH_QUEST_4_NAME_DESC,8,1,0,0,,
1553,ch_quest005_stage001,CHALLENGE/LAUNCH_QUEST_5_NAME,CHALLENGE/LAUNCH_QUEST_5_STEP_1,mission_wellequipped,ALL,25,ch_quest005_stage002,1000,190200,,,,CHALLENGE/LAUNCH_QUEST_5_NAME_DESC,8,,0,0,,
1554,ch_quest005_stage002,CHALLENGE/LAUNCH_QUEST_5_NAME,CHALLENGE/LAUNCH_QUEST_5_STEP_2,mission_wellequipped,ALL,30,ch_quest005_stage003,2000,170000,,,,CHALLENGE/LAUNCH_QUEST_5_NAME_DESC,8,,0,0,,
1555,ch_quest005_stage003,CHALLENGE/LAUNCH_QUEST_5_NAME,CHALLENGE/LAUNCH_QUEST_5_STEP_3,mission_wellequipped,ALL,25,ch_quest005_stage004,3000,80021,,,,CHALLENGE/LAUNCH_QUEST_5_NAME_DESC,8,,0,0,,
1556,ch_quest005_stage004,CHALLENGE/LAUNCH_QUEST_5_NAME,CHALLENGE/LAUNCH_QUEST_5_STEP_4,mission_wellequipped,ALL,20,ch_quest005_stage005,4000,190146,,,,CHALLENGE/LAUNCH_QUEST_5_NAME_DESC,8,,0,0,,
1557,ch_quest005_stage005,CHALLENGE/LAUNCH_QUEST_5_NAME,CHALLENGE/LAUNCH_QUEST_5_STEP_5,mission_wellequipped,ALL,25,ch_quest005_stage006,5000,170235,,,,CHALLENGE/LAUNCH_QUEST_5_NAME_DESC,8,,0,0,,
1558,ch_quest005_stage006,CHALLENGE/LAUNCH_QUEST_5_NAME,CHALLENGE/LAUNCH_QUEST_5_STEP_6,mission_wellequipped,ALL,2500,ch_quest005_stage007,7000,80031,,,,CHALLENGE/LAUNCH_QUEST_5_NAME_DESC,8,,0,0,,
1559,ch_quest005_stage007,CHALLENGE/LAUNCH_QUEST_5_NAME,CHALLENGE/LAUNCH_QUEST_5_STEP_7,mission_wellequipped,ALL,25,ch_quest005_stage008,8000,180150,,,,CHALLENGE/LAUNCH_QUEST_5_NAME_DESC,8,,0,0,,
1560,ch_quest005_stage008,CHALLENGE/LAUNCH_QUEST_5_NAME,CHALLENGE/LAUNCH_QUEST_5_STEP_8,mission_wellequipped,ALL,25,,10000,163,,,,CHALLENGE/LAUNCH_QUEST_5_NAME_DESC,8,1,0,0,,
1561,ch_quest006_stage001,CHALLENGE/LAUNCH_QUEST_6_NAME,CHALLENGE/LAUNCH_QUEST_6_STEP_1,mission_perksofthejob,ALL,60,ch_quest006_stage002,1000,80056,,,,CHALLENGE/LAUNCH_QUEST_6_NAME_DESC,7,,0,0,,
