GeneralScreenCategory,LUA_MENU/GENERAL,
GeneralSubCategoryInput,,
InputMethod,,
GeneralSubCategoryScreen,,
FOVExpander,,
Brightness,,
SafeArea,,
HudBoundsH,,
HudBoundsV,,
FilmGrainAttenConsole,,
SkipIntro,,
ToggleTooltipEnable,,
GeneralSubCategoryAccessibility,,
Subtitles,,
LanguageSelect,,
Colorblind,,
ColorblindFilter,,
MotionBlurConsole,,
WeaponBlurConsole,,
GeneralSubCategoryDetailsTextures,,
TextureDownloadConsole,,
GeneralSubCategoryHUD,,
MinimapStyle,,
MinimapRotation,,
CompassCardinalDirectionText,,
GeneralSubCategoryContentFilters,,
TextChatEnabled,,
ProfanityFilterEnabled,,
DismembermentOption,,
GeneralSubCategoryHDR,,
HDR,,
HDRBrightness,,
HDRCalibration,,
GeneralSubCategoryTelemetry,,
TelemetryFPSCounter,,
TelemetryServerLatency,,
TelemetryPacketLoss,,
TelemetryGPUTemp,,
TelemetryGPUTime,,
TelemetryCPUTime,,
TelemetryMuteSound,,
TelemetryMuteVoiceChat,,
GeneralSubCategoryGameInstalls,,
GameInstalls,,
GeneralSubCategoryCredits,,
Credits,,
