AccountSubCategoryOnline,SubCategory,LUA_MENU/ACCOUNT_SUB_ONLINE,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
AccountSubCategoryNetwork,SubCategory,LUA_MENU/ACCOUNT_SUB_NETWORK,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
Adapter,Dropdown,MENU/ADAPTER,MENU/ADAPTER_DESC,,MPLSTSPKPT,,,,,Y,Y,Y,Y,Y,Y,Y,,N,N,GRAPHICS,,,
ADSAutoAim,CyclingList,MENU/ADS_AUTO_AIM,MENU/ADS_AUTO_AIM_DESC,,,autoAim,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,N,Y,Y,Y,Y,N,,N,N,,,,
ADSFOV,CyclingList,PLATFORM_UI/ADS_FOV,PLATFORM_UI/ADS_FOV_DESCRIPTION,image_options_adsfieldofview,MRMTMQNKKK,,LUA_MENU/INDEPENDENT;LUA_MENU/AFFECTED,,,Y,Y,Y,Y,Y,Y,N,,Y,N,GENERAL,,,
AdsHighZoomMouseSensitivityMultiplierOption,SliderBarWithEditBox,MENU/ADS_SENSITIVITY_MULTIPLIER_HIGHZOOM,MENU/ADS_SENSITIVITY_MULTIPLIER_HIGHZOOM_DESCRIPTION,,,adsHighZoomMouseSensitivityMultiplier,,adsHighZoomMouseSensitivityMultiplier,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
AdsHighZoomStickSensitivityMultiplier,SliderBarWithEditBox,PLATFORM/ADS_HIGH_ZOOM_STICK_SENSITIVITY_MULTIPLIER,PLATFORM/ADS_STICK_SENSITIVITY_MULTIPLIER_HIGHZOOM_DESCRIPTION,,,adsHighZoomGamepadSensitivityMultiplier,,ADSSensitivityMultiplier,,Y,Y,Y,Y,Y,Y,N,,N,N,CONTROLLER,,,
ADSHoldGamepad,CyclingList,MENU/AIM_DOWN_SIGHT,MENU/AIM_DOWN_SIGHT_DESC,image_options_aimdownsight,,toggleADSEnabledGamepad,GAME/HOLD;GAME/TOGGLE,,,Y,Y,Y,Y,Y,Y,N,,N,N,CONTROLLER,MountConfig,,
ADSHoldKeyboard,CyclingList,MENU/AIM_DOWN_SIGHT,MENU/AIM_DOWN_SIGHT_DESC,image_options_aimdownsight,,toggleADSEnabledKeyboard,GAME/HOLD;GAME/TOGGLE,,,Y,Y,Y,Y,Y,Y,N,,N,N,KEYBINDS_GAMEPLAY,MountConfigKBM,,
AdsLowZoomMouseSensitivityMultiplierOption,SliderBarWithEditBox,MENU/ADS_SENSITIVITY_MULTIPLIER_LOWZOOM,MENU/ADS_SENSITIVITY_MULTIPLIER_LOWZOOM_DESCRIPTION,,,adsLowZoomMouseSensitivityMultiplier,,adsLowZoomMouseSensitivityMultiplier,,Y,Y,Y,Y,Y,Y,N,,N,N,KEYBINDS_GAMEPLAY,,,
AdsLowZoomStickSensitivityMultiplier,SliderBarWithEditBox,PLATFORM/ADS_LOW_ZOOM_STICK_SENSITIVITY_MULTIPLIER,PLATFORM/ADS_STICK_SENSITIVITY_MULTIPLIER_LOWZOOM_DESCRIPTION,,,adsLowZoomGamepadSensitivityMultiplier,,ADSSensitivityMultiplier,,Y,Y,Y,Y,Y,Y,N,,N,N,CONTROLLER,,,
ADSSensitivityMultiplier,SliderBarWithEditBox,MENU/ADS_SENSITIVITY_MULTIPLIER,MENU/ADS_SENSITIVITY_MULTIPLIER_DESCRIPTION,,LTNQSKLMTN,,,ADSSensitivityMultiplier,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
ADSSensitivityMultiplierTimingOption,CyclingList,MENU/ADS_SENSITIVITY_MULTIPLIER_TIMING,MENU/ADS_SENSITIVITY_MULTIPLIER_DESCRIPTION_TIMING,,,adsSensitivityMultiplierTiming,LUA_MENU/INSTANT;LUA_MENU/GRADUAL;LUA_MENU/AFTERZOOM,,,Y,Y,Y,Y,Y,Y,N,,N,N,KEYBINDS_GAMEPLAY,,,
ADSStickSensitivity,SliderBarWithEditBox,PLATFORM/ADS_STICK_SENSITIVITY,PLATFORM/ADS_STICK_SENSITIVITY_DESC,,,,,DefaultSensitivityMultiplier,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
ADSStickSensitivityExpander,Expander,ADSStickSensitivity;AdsLowZoomStickSensitivityMultiplier;AdsHighZoomStickSensitivityMultiplier,,,,,,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
ADSStickSensitivityMultiplierTiming,CyclingList,MENU/ADS_SENSITIVITY_MULTIPLIER_TIMING,MENU/ADS_SENSITIVITY_MULTIPLIER_DESCRIPTION_TIMING,,MPPNRRRPMP,,LUA_MENU/INSTANT;LUA_MENU/AFTERZOOM;LUA_MENU/GRADUAL,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
AdvancedVideo,GenericButton,LUA_MENU/ADVANCED_VIDEO,LUA_MENU/ADVANCED_VIDEO_DESC,,MPPNRRRPMP,,,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
ADSExpander,Expander,MouseAdsUseMonitorDistance;AdsLowZoomMouseSensitivityMultiplierOption;AdsHighZoomMouseSensitivityMultiplierOption;ADSSensitivityMultiplierTimingOption;MouseMonitorDistanceCoefOption,,,,,,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
ADSWeaponDepthofField,CyclingList,MENU/ADS_WEAPON_DEPTH_OF_FIELD,MENU/ADS_WEAPON_DEPTH_OF_FIELD_DESC,image_options_adsdepthoffield,,,MENU/ON;MENU/OFF,,,Y,Y,Y,Y,Y,Y,N,,Y,N,,,,
AimAssist,Dropdown,MENU/AIM_ASSIST,MENU/AIM_ASSIST_DESC,,,autoAim,LUA_MENU/DISABLED;LUA_MENU/STANDARD;LUA_MENU/EXPERIMENTAL;LUA_MENU/ENHANCED,,,Y,Y,Y,Y,Y,Y,N,,N,N,CONTROLLER,,,
AimAssistExpander,Expander,AimAssist;TargetAssist,,,,,,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
AimAssistType,Dropdown,LUA_MENU/AIM_ASSIST_TYPE,LUA_MENU/AIM_ASSIST_TYPE_DESC,,,AimAssistType,LUA_MENU/STANDARD;LUA_MENU/EXPERIMENTAL,,,Y,Y,Y,Y,Y,Y,N,,N,N,KEYBINDS_GAMEPLAY,,,
AimAssistFOVScale,CyclingList,MENU/AIM_ASSIST_FOV_SCALE,MENU/AIM_ASSIST_FOV_SCALE_DESC,image_options_aimassistfovscale,,AimAssistFOVScale,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,N,,Y,N,,,,
AimResponseCurveType,Dropdown,LUA_MENU/AIM_RESPONSE_CURVE_TYPE,PLATFORM/AIM_RESPONSE_CURVE_TYPE_DESC,,,AimResponseCurveType,LUA_MENU/STANDARD;LUA_MENU/LINEAR;LUA_MENU/DYNAMIC,,,Y,Y,Y,Y,Y,Y,N,,N,N,CONTROLLER,,,
AllowShaderPreload,CyclingList,MENU/SHADER_PRELOAD,MENU/SHADER_PRELOAD_DESC,,NRSSTQQSKK,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,N,,Y,N,,ShaderFrontendPreload == false,,
AmbientOcclusion,CyclingList,MENU/SSAO,MENU/SSAO_DESC,image_options_ambiantocclusion,MNRQQOMSMM,,LUA_MENU/DISABLED;LUA_MENU/GTAO;LUA_MENU/MDAO;MENU/BOTH,,,Y,Y,Y,Y,Y,Y,Y,N,N,,,,,
AntiAliasing,CyclingList,MENU/ANTIALIASING,MENU/ANTIALIASING_DESC,image_options_antialiasing,MQOMSSQRRQ,,,,,Y,Y,Y,Y,Y,Y,Y,N,N,,,,,
DepthOfField,CyclingList,MENU/DEPTH_OF_FIELD,MENU/DEPTH_OF_FIELD_DESC,,OQSPSSNRT,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
AudioSubCategoryGameplay,SubCategory,LUA_MENU/AUDIO_SUB_GAMEPLAY_CAPS,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
AudioSubCategoryVoiceChat,SubCategory,LUA_MENU/AUDIO_SUB_VOICE_CHAT,,,,,,,,N,Y,Y,Y,Y,Y,Y,,N,N,,,,
AudioSubCategoryVolumes,SubCategory,LUA_MENU/AUDIO_SUB_VOLUMES,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
AutoForwardEnabledGamepad,CyclingList,MENU/AUTO_FORWARD,MENU/AUTO_FORWARD_ENABLED_GAMEPAD_DESC,,,autoForwardInputSequenceEnable,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,N,,N,N,CONTROLLER,,,
AutomaticAirborneMantle,CyclingList,MENU/AUTOMATIC_AIRBORNE_MANTLE,MENU/AUTOMATIC_AIRBORNE_MANTLE_DESC,image_options_automaticairbornemantle,,autoMantleAirborne,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,N,,N,N,KEYBINDS_GAMEPLAY,,,
AutomaticMantle,CyclingList,MENU/AUTOMATIC_MANTLE,MENU/AUTOMATIC_MANTLE_DESC,,,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
AutomaticWeaponSwitchGamepad,CyclingList,MENU/AUTOMATIC_WEAPON_SWITCH,MENU/AUTOMATIC_WEAPON_SWITCH_DESC,,,autoWeaponSwitchGamepad,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,N,,N,N,CONTROLLER,,,
AutomaticWeaponSwitchKeyboard,CyclingList,MENU/AUTOMATIC_WEAPON_SWITCH,MENU/AUTOMATIC_WEAPON_SWITCH_DESC,,,autoWeaponSwitchKeyboard,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,N,,N,N,KEYBINDS_GAMEPLAY,,,
AutoSprintGamepad,CyclingList,MENU/AUTOMATIC_SPRINT,MENU/AUTOMATIC_SPRINT_GAMEPAD_DESC,,,AutoSprintGamepad,LUA_MENU/DISABLED;MENU/AUTO_SPRINT;MENU/AUTO_SUPER_SPRINT,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
AutoSprintKBM,CyclingList,MENU/AUTOMATIC_SPRINT,MENU/AUTOMATIC_SPRINT_KBM_DESC,,,AutoSprintKBM,LUA_MENU/DISABLED;MENU/AUTO_SPRINT;MENU/AUTO_SUPER_SPRINT,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
AspectRatio,Dropdown,,,options_aspect_ratio,QKKMRRLRR,,,,,Y,Y,Y,Y,Y,Y,Y,,N,N,GRAPHICS,,,
Bandwidth,GenericButton,,LUA_MENU/BANDWIDTH_DESC,,,,,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
Brightness,SliderBarWithEditBox,MENU/BRIGHTNESS,MENU/BRIGHTNESS_DESC1,,NMRKMSMTOO,,,Brightness,,Y,Y,Y,Y,Y,Y,Y,,N,N,GENERAL,,,
SDRColorSpace,CyclingList,MENU/SDRCOLORSPACE,MENU/SDRCOLORSPACE_DESC,,NRQNOQMOPS,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,
BRInventory,CyclingList,MENU/BRINVENTORY,MENU/BRINVENTORY_DESC,,,,GAME/HOLD;GAME/TOGGLE,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
BRMap,CyclingList,MENU/BRMAP,MENU/BRMAP_DESC,,,,GAME/HOLD;GAME/TOGGLE,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
BulletImpact,CyclingList,MENU/BULLET_IMPACTS,MENU/BULLET_IMPACT_DESC,image_options_bulletimpact,MOLLKMTMRS,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,Y,,N,N,GRAPHICS,,,
ButtonLayout,Dropdown,MENU/BUTTON_LAYOUT,MENU/COLOR_INDICATOR_DESC,,,gpadButtonsConfig,,,,Y,Y,Y,Y,Y,Y,Y,,N,N,CONTROLLER,,,
ButtonLayoutSplitscreen,Dropdown,MENU/BUTTON_LAYOUT,LUA_MENU/DISPLAY_LAYOUTS,,,gpadButtonsConfig,,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
BRButtonLayout,Dropdown,MENU/BR_BUTTON_LAYOUT,MENU/COLOR_INDICATOR_DESC,,,gpadBRButtonsConfig,,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
CachedSpotShadows,CyclingList,MENU/CACHED_SPOT_SHADOWS,MENU/CACHED_SPOT_SHADOWS_DESC,,SNMKKNPTQ,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
CachedSunShadows,CyclingList,MENU/CACHED_SUN_SHADOWS,MENU/CACHED_SUN_SHADOWS_DESC,,NQKSNKRLPS,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,Y,,N,N,GRAPHICS,,,
CinematicsVolume,SliderBarWithEditBox,MENU/CINEMATICS_VOLUME,MENU/CINEMATICS_VOLUME_DESC,,,,,CinematicsVolume,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
ClimbingDownLadders,CyclingList,MENU/CLIMBING_DOWN_LADDERS,MENU/CLIMBING_DOWN_LADDERS_DESC,,,,GAME/BACKWARD;GAME/FORWARD,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
CODAccount,GenericButton,MENU/COD_ACCOUNT,MENU/COD_ACCOUNT_DESC,,,,,,,N,Y,Y,Y,Y,N,Y,,N,N,,,,
Colorblind,CyclingList,MENU/COLORBLIND_TYPE,MENU/COLORBLIND_TYPE_DESC,image_options_colorblindtype,,colorBlindMode,LUA_MENU/DISABLED;LUA_MENU/PROTANOPIA;LUA_MENU/DEUTERANOPIA;LUA_MENU/TRITANOPIA,,,Y,Y,Y,Y,Y,Y,Y,,N,N,GENERAL,ColorblindFilter,,
ColorblindFilter,CyclingList,LUA_MENU/COLORBLIND_FILTER,LUA_MENU/COLORBLIND_FILTER_DESC,image_options_colorblindtype,,colorBlindTargets,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,Y,,N,N,GENERAL,,,
ConnectionMeter,CyclingList,LUA_MENU/CONNECTION_METER_CAPS,LUA_MENU/CONNECTION_METER_DESC,,OMOTRTTLNP,,LUA_MENU/HIDDEN;LUA_MENU/SHOWN,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
ConnectionType,GenericButton,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
ControllerMinDeadzone,SliderBarWithEditBox,LUA_MENU/CONTROLLER_DEADZONE,PLATFORM_UI/CONTROLLER_DEADZONE_DESC,,,gpadMinDeadzone,,ControllerMinDeadzone,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
ControllerSubCategoryAimAssist,SubCategory,LUA_MENU/CONTROLLER_SUB_AIM_ASSIST_CAPS,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
ControllerSubCategoryControls,SubCategory,LUA_MENU/CONTROLLER_SUB_CONTROLS,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
ControllerSubCategoryInteractions,SubCategory,LUA_MENU/CONTROLLER_SUB_INTERACTIONS_CAPS,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
ControllerSubCategoryMovement,SubCategory,LUA_MENU/CONTROLLER_SUB_MOVEMENT,,,,,,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
ControllerSubCategorySensitivity,SubCategory,LUA_MENU/CONTROLLER_SUB_SENSITIVITY_CAPS,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
ControllerSubCategoryWeapon,SubCategory,LUA_MENU/CONTROLLER_SUB_WEAPON,,,,,,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
ControllerSound,CyclingList,PLATFORM/CONTROLLER_SOUND,PLATFORM/CONTROLLER_SOUND_DESC,,MNKONSOLT,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,Volume,,Y,Y,Y,Y,Y,Y,Y,,N,Y,,,,
CopyKeysFromOtherMode,GenericButton,,,,,,,,,Y,Y,N,Y,Y,Y,Y,,N,N,,,,
CPUPriority,CyclingList,PLATFORM_UI/CPU_PRIORITY_MANAGEMENT,PLATFORM_UI/CPU_PRIORITY_MANAGEMENT_DESC,,MPPNRRRPMP,,MENU/MANUAL;MENU/AUTOMATIC,,,Y,Y,Y,Y,Y,Y,Y,,Y,N,,,,
CPUTime,CyclingList,MENU/CPU_TIME,MENU/CPU_TIME_DESC,,,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,Y,,Y,N,,,,
Crosshairs,CyclingList,MENU/CROSSHAIRS,MENU/CROSSHAIRS_DESC,,,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,Y,,N,N,,,,
CrossPlay,CyclingList,LUA_MENU/CROSSPLAY_OPTION,LUA_MENU/CROSSPLAY_OPTION_DESC,,,,LUA_MENU/DISABLED;LUA_MENU/ENABLED,,,Y,Y,Y,Y,Y,Y,Y,,N,N,ACCOUNT,,,
Crouch,CyclingList,MENU/CROUCH,MENU/CROUCH_DESC,image_options_crouch,,crouchType,GAME/TOGGLE;GAME/HOLD;MENU/GO_TO,,,Y,Y,Y,Y,Y,Y,N,,N,N,KEYBINDS_GAMEPLAY,SlideEnabledKeyboard,,
GameInstalls,GenericButton,LUA_MENU/GENERAL_SUB_GAME_INSTALLS,LUA_MENU/GENERAL_GAME_INSTALLS_DESC,,,,,,,Y,Y,Y,Y,N,N,N,,N,Y,,,,
Credits,GenericButton,MENU/CREDITS,,,,,,,,Y,Y,Y,Y,Y,Y,N,,N,N,,,,
CPUPriority,CyclingList,PLATFORM_UI/CPU_PRIORITY_MANAGEMENT,PLATFORM_UI/CPU_PRIORITY_MANAGEMENT_DESC,,MPPNRRRPMP,,MENU/MANUAL;MENU/AUTOMATIC,,,Y,Y,Y,Y,Y,Y,Y,,Y,N,,,,
