AttackAction,MENU/FIRE_WEAPON,MENU/FIRE_WEAPON_DESC,+attack,ONFOOT,Y,Y,Y,Y,Y,,
HoldAIMAction,MENU/KEYBIND_AIM_DOWN_SIGHT,MENU/KEYBIND_AIM_DOWN_SIGHT_DESC,+speed_throw,ONFOOT,Y,Y,Y,Y,Y,,
ReloadAction,MENU/RELOAD_WEAPON,MENU/RELOAD_WEAPON_DESC,+reload,ONFOOT,Y,Y,Y,Y,Y,,
WeaponNextAction,MENU/SWITCH_WEAPON,MENU/NEXT_WEAPON_DESC,+weapnext,ONFOOT,Y,Y,Y,Y,Y,,
MeleeZoomAction,MENU/MELEEZOOM,MENU/MELEEZOOM_DESC,+melee_zoom,ONFOOT,Y,Y,Y,Y,Y,,
ActivateAction,MENU/USE,MENU/USE_DESC,+activate,COMMON,Y,Y,Y,Y,Y,,
SmokeAction,MENU/USE_TACTICAL,MENU/USE_TACTICAL_DESC,+smoke,ONFOOT,Y,Y,Y,Y,Y,,
FragAction,MENU/USE_LETHAL,MENU/USE_LETHAL_DESC,+frag,ONFOOT,Y,Y,Y,Y,Y,,
SpecialAction,MENU/ACTIVATE_SUPER,MENU/ACTIVATE_SUPER_DESC,+special,ONFOOT_MP,Y,Y,Y,Y,Y,,
ToggleWeaponAlt,MENU/TOGGLE_ALT_MODE,MENU/TOGGLE_ALT_MODE_DESC,toggleweapalt,ONFOOT,Y,Y,Y,Y,Y,,
MountAction,MENU/WEAPON_MOUNT,MENU/WEAPON_MOUNT_DESC,+mount,ONFOOT,Y,Y,Y,Y,Y,,
CenterVehicleCamera,MENU/CENTER_VEHICLE_CAMERA,MENU/CENTER_VEHICLE_CAMERA_DESC,+melee_zoom,VEHICLE_GROUND,Y,Y,Y,Y,Y,,
KillStreak1Action,MENU/KILLSTREAK_REWARD_SLOT_1,MENU/KILLSTREAK_REWARD_SLOT_1_DESC,killstreak1,ONFOOT_MP,Y,Y,Y,Y,Y,,
KillStreak2Action,MENU/KILLSTREAK_REWARD_SLOT_2,MENU/KILLSTREAK_REWARD_SLOT_2_DESC,killstreak2,ONFOOT_MP,Y,Y,Y,Y,Y,,
KillStreak3Action,MENU/KILLSTREAK_REWARD_SLOT_3,MENU/KILLSTREAK_REWARD_SLOT_3_DESC,killstreak3,ONFOOT_MP,Y,Y,Y,Y,Y,,
KillStreak4Action,MENU/KILLSTREAK_REWARD_SLOT_4,MENU/KILLSTREAK_REWARD_SLOT_4_DESC,killstreak4,ONFOOT_MP,Y,Y,Y,Y,Y,,
ArmorPlate,MENU/ARMOR_PLATE_SLOT,MENU/ARMOR_PLATE_SLOT_DESC,killstreak2,ONFOOT_BR,Y,Y,Y,Y,Y,,
GestureAction,LUA_MENU_MP/CUSTOMIZE_GESTURE,MENU/CUSTOMIZE_GESTURE_DESC,gesture_wheel,ONFOOT_MP,Y,Y,Y,Y,Y,,
