barbull,9,DefaultSequence,,
barbull_1,9,DefaultSequence,,
barshort_hdromeo,9,barshortHdromeo,icon_dyn_attachment_sn_hdromeo_barrel_short,
barbull_2,9,DefaultSequence,,
barbull_xmike109,9,barbullXmike109,icon_dyn_attachment_sn_xmike109_barhvy,
barmid_hdromeo,9,barmidHdromeo,icon_dyn_attachment_sn_hdromeo_barrel_mid,
barheavy,9,,,
barheavy_1,9,,,
barcust,9,,,
barcust_akilo47,9,barcustAkilo47,icon_dyn_attachment_custombarrel_akilo47,
barcust_beta,9,smBeta,icon_dyn_attachment_sm_beta_barrel,
barcust_cpapa,9,barcustCpapa,icon_dyn_attachment_pi_cpapa_barrel_v2,
barcust_falpha,9,barcustFalpha,icon_dyn_attachment_ar_falpha_barlong2,
barcust_mike4,9,barcustMike4,icon_dyn_attachment_ar_mike4_custombarrel,
barheavy_anovember94,9,barhvyAnovember94,icon_dyn_attachment_ar_anov94_barhvy,
barheavy_shtgn,9,,,
barcust_romeo870,9,barcustRomeo870,icon_dyn_attachment_sh_romeo870_heatguard,
barcust_romeo870_mp,9,barcustRomeo870,icon_dyn_attachment_sh_romeo870_heatguard,
barlong_dpapa12,9,barlongDpapa12,icon_dyn_attachment_sh_dpapa12_barlong,
barlong_dpapa12_v2,9,barlongDpapa12v2,icon_dyn_attachment_sh_dpapa12_barlong_v2,
barlong_mike26,9,barlongMike26,icon_dyn_attachment_sh_mike26_barlong,
barmid_oscar12,9,barmidOscar12,icon_dyn_attachment_sh_oscar12_barrelmid,
barheavy_sierra552,9,barhSierra552,icon_dyn_attachment_ar_sierra552_barh,
barheavy_silenced,9,,,
barcust2_mpapa5,9,barsilMpapa5,icon_dyn_attachment_sm_mpapa5_barrel_suppressor_v4,
barsil_kilo433,9,barsilKilo433,icon_dyn_attachment_ar_kilo433_barsil,
barsil_mcharlie,9,barsilMcharlie,icon_dyn_attachment_ar_mcharlie_suppressorbarrel,
barlong_mgolf34,9,barlonglmMgolf34,icon_dyn_attachment_lm_mgolf34_barlong,
barlong_papa90,9,barlongPapa90,icon_dyn_attachment_sm_papa90_longbarrel,
barlong_pkilo,9,barlongPkilo,icon_dyn_attachment_lm_pkilo_barrel_heavy,
barmid_alpha50,9,barmidAlpha50,icon_dyn_attachment_sn_alpha50_barmid,
barmid_charlie9,9,barmidCharlie9,icon_dyn_attachment_sm_charlie9_medbarrel_v1,
barmid_kilo121,9,barmidKilo121,icon_dyn_attachment_lm_kilo121_barrel_mid,
barmid_mgolf34,9,barmidlmMgolf34,icon_dyn_attachment_lm_mgolf34_barmid,
barmid_mkilo3,9,barmidMkilo3,icon_dyn_attachment_lm_mkilo3_barhvy,
barmid_mpapa7,9,barmidMpapa7,icon_dyn_attachment_sm_mpapa7_barlong2,
barmid_sksierra,9,barmidSksierra,icon_dyn_attachment_sn_sksierra_barhvy,
barmid_smgolf45,9,barmidSmgolf45,icon_dyn_attachment_sm_smgolf45_barmid,
barmid_uzulu,9,barmidUzulu,icon_dyn_attachment_sm_uzulu_barmid,
