0,ForwardAction,MENU/FORWARD,+forward,Y,Y,Y,
1,BackAction,MENU/MOVE_BACK,+back,Y,Y,Y,
2,MoveLeftAction,MENU/MOVE_LEFT,+moveleft,Y,Y,Y,
3,MoveRightAction,MENU/MOVE_RIGHT,+moveright,Y,Y,Y,
4,GoStandAction,MENU/STANDJUMP,+gostand,Y,Y,Y,
5,ToggleCrouchAction,MENU/CROUCH,+togglecrouch,Y,Y,Y,
6,ToggleProneAction,MENU/PRONE,toggleprone,Y,Y,Y,
7,BreathSprintAction,MENU/SPRINT_HOLD_BREATH,+breath_sprint,Y,Y,Y,
8,MoveDownAction,MENU/HOLD_DOWN_CROUCH,+movedown,Y,Y,Y,
9,ProneAction,MENU/HOLD_DOWN_PRONE,+prone,Y,Y,Y,
10,StanceAction,MENU/CHANGE_STANCE,+stance,Y,Y,Y,
11,SlideAction,MENU/SLIDE,+slide,Y,Y,Y,
12,SprintAction,MENU/SPRINT,+sprint,Y,Y,Y,
13,HoldBreathAction,MENU/HOLD_BREATH,+holdbreath,Y,Y,Y,
14,LeftAction,MENU/TURN_LEFT,+left,Y,Y,Y,
15,RightAction,MENU/TURN_RIGHT,+right,Y,Y,Y,
16,StrafeAction,MENU/STRAFE,+strafe,Y,Y,Y,
17,RollLeftAction,MENU/ROLL_LEFT,+rollleft,Y,,,
18,RollRightAction,MENU/ROLL_RIGHT,+rollright,Y,,,
