5000,ch_br_daily_ammo_dealer_short,CHALLENGE/BR_DAILY_AMMO_DEALER,CHALLENGE/BR_DAILY_AMMO_DEALER_DESC,3,2000,,1,,,,,15,
5001,ch_br_daily_the_biggest_booms_short,CHALLENGE/BR_DAILY_THE_BIGGEST_BOOMS,CHALLENGE/BR_DAILY_THE_BIGGEST_BOOMS_DESC,2,2000,,1,,,,,6,
5002,ch_br_daily_arms_dealer_short,CHALLENGE/BR_DAILY_ARMS_DEALER,CHALLENGE/BR_DAILY_ARMS_DEALER_DESC,1,2000,,1,,,,,33,
5003,ch_br_daily_easy_money_short,CHALLENGE/BR_DAILY_EASY_MONEY,CHALLENGE/BR_DAILY_EASY_MONEY_DESC,15,2000,,1,,,,,18,
5004,ch_br_daily_collector_short,CHALLENGE/BR_DAILY_COLLECTOR,CHALLENGE/BR_DAILY_COLLECTOR_DESC,2,2000,,1,,,,,19,
5005,ch_br_daily_discriminating_tastes_short,CHALLENGE/BR_DAILY_DISCRIMINATING_TASTES,CHALLENGE/BR_DAILY_DISCRIMINATING_TASTES_DESC,1,2000,,1,,,,,43,
5006,ch_br_daily_headhunter_short,CHALLENGE/BR_DAILY_HEADHUNTER,CHALLENGE/BR_DAILY_HEADHUNTER_DESC,2,2000,,1,,,,,44,
5007,ch_br_daily_conquerer_short,CHALLENGE/BR_DAILY_CONQUERER,CHALLENGE/BR_DAILY_CONQUERER_DESC,1,2000,,1,,,,,2,
5008,ch_br_daily_explorer_short,CHALLENGE/BR_DAILY_EXPLORER,CHALLENGE/BR_DAILY_EXPLORER_DESC,1,2000,,1,,,,,42,
5009,ch_br_daily_guardian_short,CHALLENGE/BR_DAILY_GUARDIAN,CHALLENGE/BR_DAILY_GUARDIAN_DESC,1,2000,,1,,,,,9,
5010,ch_br_daily_unkillable_short,CHALLENGE/BR_DAILY_UNKILLABLE,CHALLENGE/BR_DAILY_UNKILLABLE_DESC,1,2000,,1,,,,,,
5011,ch_br_daily_bargain_hunter_short,CHALLENGE/BR_DAILY_BARGAIN_HUNTER,CHALLENGE/BR_DAILY_BARGAIN_HUNTER_DESC,1,2000,,1,,,,,30,
5012,ch_br_daily_treasure_hunter_short,CHALLENGE/BR_DAILY_TREASURE_HUNTER,CHALLENGE/BR_DAILY_TREASURE_HUNTER_DESC,10,2000,,1,,,,,27,
5013,ch_br_daily_test_drive_short,CHALLENGE/BR_DAILY_TEST_DRIVE,CHALLENGE/BR_DAILY_TEST_DRIVE_DESC,2,2000,,1,,,,min,16,
5014,ch_br_daily_hazardous_work_environment_short,CHALLENGE/BR_DAILY_HAZARDOUS_WORK_ENVIRONMENT,CHALLENGE/BR_DAILY_HAZARDOUS_WORK_ENVIRONMENT_DESC,1,2000,,1,,,,sec,10,
5015,ch_br_daily_well_protected_short,CHALLENGE/BR_DAILY_WELL_PROTECTED,CHALLENGE/BR_DAILY_WELL_PROTECTED_DESC,6,2000,,1,,,,,11,
5016,ch_br_daily_philanthropist_short,CHALLENGE/BR_DAILY_PHILANTHROPIST,CHALLENGE/BR_DAILY_PHILANTHROPIST_DESC,2,2000,,1,,,,,,
5017,ch_br_daily_mission_focused_short,CHALLENGE/BR_DAILY_MISSION_FOCUSED,CHALLENGE/BR_DAILY_MISSION_FOCUSED_DESC,3,2000,,1,,,,,29,
5018,ch_br_daily_taking_initiative_short,CHALLENGE/BR_DAILY_TAKING_INITIATIVE,CHALLENGE/BR_DAILY_TAKING_INITIATIVE_DESC,1,2000,,1,,,,,40,
