ui_primary,1,button_primary,button_primary_ps4,INPUT/KB_PRIMARY_BUTTON,0.75,0.75,1,0.5,
ui_secondary,2,button_secondary,button_secondary_ps4,INPUT/KB_SECONDARY_BUTTON,0.75,0.75,1,0.5,
ui_alt1,3,button_alt1,button_alt1_ps4,INPUT/KB_ALT1_BUTTON,0.75,0.75,1,0.5,
ui_alt2,4,button_alt2,button_alt2_ps4,INPUT/KB_ALT2_BUTTON,0.75,0.75,1,0.5,
ui_shoulder_left,5,button_shoulder_left,button_shoulder_left_ps4,INPUT/KB_LEFT_SHOULDER_BUTTON,0.75,0.75,1,0.5,
ui_shoulder_right,6,button_shoulder_right,button_shoulder_right_ps4,INPUT/KB_RIGHT_SHOULDER_BUTTON,0.75,0.75,1,0.5,
ui_start,14,button_start,button_start_ps4,INPUT/KB_START_BUTTON,0.75,0.75,1,0.5,
ui_select,15,button_select_anim,button_select_anim_ps4,INPUT/KB_BACK_BUTTON,0.75,0.75,1,0.5,
ui_l3,16,button_stick_left_anim,button_stick_left_anim_ps4,INPUT/KB_L3_BUTTON,1,1,1,0.5,
ui_r3,17,button_stick_right_anim,button_stick_right_anim_ps4,INPUT/KB_R3_BUTTON,1,1,1,0.5,
ui_trigger_left,18,button_trigger_left,button_trigger_left_ps4,INPUT/KB_LEFT_TRIGGER_BUTTON,0.75,0.75,1,0.5,
ui_trigger_right,19,button_trigger_right,button_trigger_right_ps4,INPUT/KB_RIGHT_TRIGGER_BUTTON,0.75,0.75,1,0.5,
ui_dpad_up,20,button_dpad_up,button_dpad_up_ps4,INPUT/KB_DPAD_UP_BUTTON,0.75,0.75,1,0.5,
ui_dpad_down,21,button_dpad_down,button_dpad_down_ps4,INPUT/KB_DPAD_DOWN_BUTTON,0.75,0.75,1,0.5,
ui_dpad_left,22,button_dpad_left,button_dpad_left_ps4,INPUT/KB_DPAD_LEFT_BUTTON,0.75,0.75,1,0.5,
ui_dpad_right,23,button_dpad_right,button_dpad_right_ps4,INPUT/KB_DPAD_RIGHT_BUTTON,0.75,0.75,1,0.5,
ui_left_stick_up,24,button_stick_left,button_stick_left_ps4,INPUT/KB_L3_BUTTON,0.75,0.75,1,0.5,
ui_right_stick_up,25,button_stick_right,button_stick_right_ps4,INPUT/KB_R3_BUTTON,0.75,0.75,1,0.5,
left_stick_forward,1991,button_stick_fwd,,,1.1,1.1,1.1,0.5,
right_stick_forward,1992,button_stick_fwd_r,,,1.1,1.1,1.1,0.5,
left_stick_centered,1993,button_stick_left,button_stick_left_ps4,INPUT/KB_LEFT_STICK,0.75,0.75,1,0.5,
right_stick_centered,1994,button_stick_right,button_stick_right_ps4,INPUT/KB_RIGHT_STICK,0.75,0.75,1,0.5,
ui_left_stick,1995,button_stick_left,button_stick_left_ps4,INPUT/KB_LEFT_STICK,0.75,0.75,1,0.5,
ui_right_stick,1996,button_stick_right,button_stick_right_ps4,INPUT/KB_RIGHT_STICK,0.75,0.75,1,0.5,
mantle,1997,hud_icon_mantle,,,1.5,1.5,1.5,0.5,
dpad_vertical,1998,button_dpad_vertical,button_dpad_vertical_ps4,,0.75,0.75,0.75,0.5,
ui_page_down,,,,INPUT/KB_PAGE_DOWN_BUTTON,,,,,
ui_page_up,,,,INPUT/KB_PAGE_UP_BUTTON,,,,,
ui_home,,,,INPUT/KB_HOME_BUTTON,,,,,
ui_ins,,,,INPUT/KB_INS_BUTTON,,,,,
ui_del,,,,INPUT/KB_DEL_BUTTON,,,,,
ui_mouse_wheel,,,,INPUT/MWHEEL_UP_DOWN,,,,,
attribute_pro,1999,weapon_attributes_pro,,,0.75,0.75,1,0.5,
attribute_con,2000,weapon_attributes_con,,,0.75,0.75,1,0.5,
attachment_warning,2001,ui_attachment_warning,,,1.5,1.5,1.5,0.5,
attachment_swap,2002,ui_attachment_swap,,,1.5,1.5,1.5,0.5,
