???#These columns should match what's tracked in modestats_mp. They don't currently.,,,,,,,,,
default,4,kills,assists,deaths,kdRatio,,,,
war,4,kills,assists,deaths,kdRatio,,,,
dom,4,kills,captures,deaths,defends,captures,defends,,
sd,4,kills,deaths,plants,defuses,plants,defuses,,
conf,4,kills,confirms,deaths,denies,confirms,denies,,
dm,4,kills,deaths,kdRatio,streak,,streak,,
sr,4,kills,deaths,plants,rescues,plants,rescues,,
ball,4,kills,deaths,carries,throws,carries,throws,,
infect,4,kills,deaths,time,infected,time,infected,,
grind,4,kills,scores,deaths,denies,scores,denies,,
gun,4,kills,deaths,stabs,setBacks,stabs,setBacks,,
siege,4,kills,revives,captures,deaths,captures,revives,,
hq,4,kills,captures,deaths,defends,captures,defends,,
koth,4,kills,time,deaths,defends,time,defends,,
tdef,4,kills,deaths,time,defends,time,defends,,
dd,4,kills,deaths,plants,defuses,plants,defuses,,
ctf,4,kills,captures,deaths,returns,captures,returns,,
grnd,4,kills,time,deaths,defends,time,defends,,
front,4,kills,assists,deaths,kdRatio,,,,
zombie,4,kills,deaths,revives,downs,,,,
cmd,4,captures,defends,kills,assists,captures,defends,,
cyber,4,kills,revives,deaths,plants,plants,revives,,
esc,4,currency,kills,bounty,escapes,currency,bounty,escapes,
btm,4,captures,defends,kills,assists,captures,defends,,
cp_strike,4,kills,assists,deaths,kdRatio,,,,
cp_trials,4,kills,assists,deaths,kdRatio,,,,
arena,4,damage,kills,deaths,assists,damage,,,
rugby,4,kills,assists,deaths,kdRatio,,,,
arm,4,kills,captures,deaths,defends,captures,defends,,
snatch,4,kills,assists,deaths,kdRatio,,,,
pill,4,kills,deaths,assists,kdRatio,,,,
br,4,kills,assists,deaths,wins,topten,,,
br_dmz,4,kills,cash,missionParticipation,caches,cash,missionParticipation,caches,
brtdm,4,kills,assists,deaths,kdRatio,,,,
oic,4,kills,deaths,stabs,streak,stabs,streak,,
