specialty_bulletaccuracy,1,0,
specialty_fastreload,1,1,
specialty_fastreload_empty,1,2,
specialty_explosivearmor,1,3,
specialty_holdbreath,1,4,
specialty_longersprint,1,5,
specialty_detectexplosive,1,6,
specialty_extraoffhandammo,1,7,
specialty_extraammo,0,,
specialty_twoprimaries,1,8,
specialty_armorvest,1,9,
specialty_no_target,1,10,
specialty_specialgrenade,0,,
specialty_snapshot_immunity,1,11,
specialty_extendedmags,1,12,
specialty_lightweight,1,13,
specialty_marathon,1,14,
specialty_quickdraw,1,15,
specialty_improvedholdbreath,1,16,
specialty_fastsprintrecovery,1,17,
specialty_extendedmelee,1,18,
specialty_fastoffhand,1,19,
specialty_stalker,1,20,
specialty_holdbreathwhileads,1,21,
specialty_longerrange,1,22,
specialty_fastermelee,1,23,
specialty_reducedsway,1,24,
specialty_gpsjammer,1,25,
specialty_bulletpenetration,1,26,
specialty_radarringresist,1,27,
specialty_pistoldeath,1,28,
specialty_quieter,1,29,
specialty_parabolic,1,30,
specialty_bulletdamage,1,31,
specialty_explosivebullets,1,32,
specialty_scavenger,1,33,
specialty_coldblooded,1,34,
specialty_blindeye,1,35,
specialty_noplayertarget,1,36,
specialty_heartbreaker,1,37,
specialty_selectivehearing,1,38,
specialty_fastsnipe,1,39,
specialty_spygame,1,40,
specialty_quickswap,1,41,
specialty_empimmune,1,42,
specialty_throwback,1,43,
specialty_radarblip,1,44,
specialty_radarjuggernaut,1,45,
specialty_silentkill,1,46,
specialty_noscopeoutline,1,47,
specialty_fastslide,1,48,
specialty_overcharge,1,49,
specialty_improvedgunkick,1,50,
specialty_sprintfire,1,51,
specialty_sprintmelee,1,52,
specialty_tracker_pro,1,53,
specialty_tracker_jammer,1,54,
specialty_expanded_minimap,1,55,
specialty_silentdoublejump,0,,
specialty_silentdoublejump_audio,0,,
specialty_sprintreload,1,56,
specialty_autoaimhead,1,57,
specialty_marksman,1,58,
specialty_melee_resist,1,59,
specialty_melee_invulnerable,0,,
specialty_bounty,1,60,
specialty_sprintads,1,61,
specialty_supersprint_enhanced,1,62,
specialty_fastcrouchmovement,1,63,
