1,20009,crosswind,otter,7,-1,cp_armsdealer_2,,0,#-1 needed for lua here, means nothing,
2,20013,kuvalda,golem,1,,cp_landlord_2,,0,,
3,20005,headhunter,alice,10,,cp_landlord,,0,,
4,20019,paladin,rodion,6,,cp_arms_dealer,,0,,
5,20028,all_operations,zane,,,,,0,,
6,20006,juggernauts,syd,,,,,0,,
7,170512,downtown_1,,4,,cp_dwn_twn_2,,0,,
8,170513,downtown_2,,5,,cp_dwn_twn_2,,0,,
9,170514,downtown_3,,,5,cp_dwn_twn_2,,0,,
10,170330,crosswind_mod,,8,,cp_armsdealer_2,,3000,#modified crosswind,
11,170552,brimstone_mod,,9,,cp_smuggler_2,,3000,#modified brimstone,
12,170517,downtown_4,,,4,cp_dwn_twn_2,,0,,
13,80039,justreward_mod,,11,,cp_dwn_twn_2,,3000,#modified Just Reward,
14,170519,kuvalda_mod,,12,,cp_landlord_2,,3000,#modified Kuvalda,
15,170520,smuggler,,3,,cp_smuggler_2,,0,,
16,170521,harbinger,,2,,cp_smuggler,,0,,
17,40013,brimstone_mod_vet,,14,,cp_smuggler_2,,3000,#modified brimstone vet,
18,90,crosswind_mod_vet,,13,,cp_armsdealer_2,,3000,#modified crosswind vet,
19,30024,justreward_mod_vet,,15,,cp_dwn_twn_2,20002,3000,#modified Just Reward vet,
20,87,kuvalda_mod_vet,,16,,cp_landlord_2,,3000,#modified Kuvalda vet,
21,170516,paladin_mod,,17,,cp_arms_dealer,,4000,#modified paladin,
22,332,paladin_mod_vet,,18,,cp_arms_dealer,,4000,#modified paladin vet,
23,170518,strongbox_mod,,19,,cp_dwn_twn_2,,4000,#modified strongbox,
24,30214,strongbox_mod_vet,,20,,cp_landlord_2,20023,4000,#modified strongbox vet,
25,170723,harbinger_mod,,21,,cp_smuggler,,4000,#modified harbinger,
26,226,harbinger_mod_vet,,22,,cp_smuggler,,4000,#modified harbinger vet,
27,170515,headhunter_mod,,23,,cp_landlord,,4000,#modified headhunter,
28,40056,headhunter_mod_vet,,24,,cp_landlord,,4000,#modified headhunter vet,
