career,,1000000,player_progression,,,
0,0,1001001,Season1_progression_achievement,,,
1,1,1001002,Season2_progression_achievement,3000000,battle_pass,
2,2,1001003,Season3_progression_achievement,3001000,battle_pass_s2,
3,3,1001004,Season4_progression_achievement,3002000,battle_pass_s3,
4,4,1001005,Season5_progression_achievement,3003000,battle_pass_s4,
5,5,1001006,Season6_progression_achievement,3004000,battle_pass_s5,
6,6,1001007,Season7_progression_achievement,3005000,battle_pass_s6,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
