MainHUDSettings,CODCASTER/HUD_CAPS,,,
CoDCaster_QS_SubCategory,,,,
CoDCaster_TeamList,,,,
CoDCaster_PlayerList,,,,
CoDCaster_ScorePanel,,,,
CoDCaster_Announcements,,,,
CoDCaster_Minimap,,,,
CoDCaster_Killfeed,,,,
CoDCaster_CallingCard,,,,
CoDCaster_PlayerNumbers,,,,
CoDCaster_JerseyNumbers,,,,
CoDCaster_TickerSpace,,,,
MiscSettingsCategory,CODCASTER/MISC_SETTINGS_CAPS,,,
CoDCaster_DS_Visual_SubCategory,,,,
CoDCaster_XRAY,,,,
CoDCaster_XRAY_DS,,,,
CoDCaster_FirstPersonXRAY,,,,
CoDCaster_PlayerNameplates,,,,
CoDCaster_WaypointMarkers,,,,
CoDCaster_Blood,,,,
CoDCaster_KillstreaksNotifications,,,,
CoDCaster_FieldUpgradeNotifications,,,,
CoDCaster_SpecialistModeNotifications,,,,
CoDCaster_CameraSettings_SubCategory,,,,
CoDCaster_StartingCamera,,,,
CoDCaster_FreeCamSmoothFactor,,,,
CoDCaster_FreeCamSpeed,,,,
CoDCaster_FreeCamSpeedInputType,,,,
CoDCaster_FreeCamSlowFactor,,,,
CoDCaster_FreeCamFastFactor,,,,
BindingsSettingsCategory,CODCASTER/BINDINGS_TITLE,N,Y,
CoDCaster_Bindings_SubCategory,,,,
TeamListBindingCodcaster,,,,
PlayerListBindingCodcaster,,,,
KillstreakViewBindingCodcaster,,,,
FieldUpgradeViewBindingCodcaster,,,,
ScoreHeaderBindingCodcaster,,,,
AnnouncementBindingCodcaster,,,,
MinimapBindingCodcaster,,,,
KillfeedBindingCodcaster,,,,
PlayerCardBindingCodcaster,,,,
PlayerNumbersBindingCodcaster,,,,
XrayBindingCodcaster,,,,
FullscreenMapBindingCodcaster,,,,
DataViewBindingCodcaster,,,,
SpectatePreviousBindingCodcaster,,,,
SpectateNextBindingCodcaster,,,,
SelectPreviousBindingCodcaster,,,,
SelectNextBindingCodcaster,,,,
SelectSpectateBindingCodcaster,,,,
Spectate1BindingCodcaster,,,,
Spectate2BindingCodcaster,,,,
Spectate3BindingCodcaster,,,,
Spectate4BindingCodcaster,,,,
Spectate5BindingCodcaster,,,,
Spectate6BindingCodcaster,,,,
Spectate7BindingCodcaster,,,,
Spectate8BindingCodcaster,,,,
Spectate9BindingCodcaster,,,,
Spectate10BindingCodcaster,,,,
SettingsMenuBindingCodcaster,,,,
HideLayerBindingCodcaster,,,,
PauseGameBindingCodcaster,,,,
CoDCaster_CameraBindings_SubCategory,,,,
FreeCamBindingCodcaster,,,,
ThirdPersonBindingCodcaster,,,,
AerialCamBindingCodcaster,,,,
FreecamForwardBindingCodcaster,,,,
FreecamBackwardBindingCodcaster,,,,
FreecamLeftBindingCodcaster,,,,
FreecamRightBindingCodcaster,,,,
FreecamFlyUpBindingCodcaster,,,,
FreecamFlyDownBindingCodcaster,,,,
FreecamSpeedUpBindingCodcaster,,,,
FreecamSlowDownBindingCodcaster,,,,
SetCameraPresetBindingCodcaster,,,,
FreecamPreset1BindingCodcaster,,,,
FreecamPreset2BindingCodcaster,,,,
FreecamPreset3BindingCodcaster,,,,
FreecamPreset4BindingCodcaster,,,,
FreecamPreset5BindingCodcaster,,,,
FreecamPreset6BindingCodcaster,,,,
FreecamPreset7BindingCodcaster,,,,
FreecamPreset8BindingCodcaster,,,,
FreecamPreset9BindingCodcaster,,,,
FreecamPreset10BindingCodcaster,,,,
AerialCameraFocusSpectatedBindingCodcaster,,,,
AerialCameraToggleLockBindingCodcaster,,,,
TeamSettingsCategory,CODCASTER/TEAM_CAPS,N,,
CoDCaster_TS_SubCategory,,,,
CoDCaster_TeamInfo,,,,
