0,none,PERKS/NONE,PERKS/NONE,specialty_ks_null,specialty_ks_null,,,0,0,1,0,none,primary,none,none,
1,power_c4,PERKS/C4,PERKS/DESC_C4,hud_icon_equipment_c4,,weapon,c4_mp_p,10,4,1,0,none,primary,none,none,
2,power_clusterGrenade,PERKS/POWER_CLUSTERGRENADE,PERKS/POWER_CLUSTERGRENADE_DESC,zm_equip_cluster,,weapon,cluster_grenade_zm,30,1,1,0,none,primary,none,none,
3,power_concussionGrenade,PERKS/POWER_CONCUSSION_GRENADE,PERKS/POWER_CONCUSSION_GRENADE_DESC,hud_icon_equipment_stun,,weapon,concussion_grenade_mp,30,1,1,0,none,primary,none,none,
4,power_cryobomb,,,zm_equip_cryo,,weapon,zfreeze_semtex_mp,35,1,1,0,none,primary,none,none,
5,power_frag,PERKS/FRAG_GRENADE,PERKS/DESC_FRAG_GRENADE,hud_icon_equipment_frag,,weapon,frag_grenade_mp,30,4,1,0,none,primary,none,none,
6,equip_gas_grenade,EQUIPMENT/GAS,EQUIPMENT/GAS_DESC,hud_icon_equipment_gas,,weapon,gas_mp,30,1,1,0,none,secondary,none,none,
7,power_semtex,PERKS/POWER_SEMTEX,PERKS/POWER_SEMTEX_DESC,hud_icon_equipment_semtex,,weapon,semtex_mp,30,1,1,0,none,primary,none,none,
8,power_splashGrenade,PERKS/POWER_SPLASH_GRENADE,PERKS/POWER_SPLASH_GRENADE_DESC,zm_equip_splash,,weapon,splash_grenade_zm,30,1,1,0,none,primary,none,none,
9,power_armageddon,,,zm_equip_armageddon,,weapon,zombie_armageddon_mp,8,1,1,0,none,secondary,none,none,
10,power_blackholeGrenade,PERKS/POWER_BLACKHOLE_GRENADE,PERKS/POWER_BLACKHOLE_GRENADE_DESC,zm_equip_blackhole,,weapon,blackhole_grenade_zm,60,1,1,0,none,secondary,none,none,
11,power_kineticPulse,PERKS/POWER_KINETICPULSE,PERKS/POWER_KINETICPULSE_DESC,zm_equip_kinetic_pulse,,weapon,<power_script_generic_weapon>,15,1,1,0,none,secondary,none,none,
12,power_microTurret,PERKS_POWER_MICROTURRET,PERKS_POWER_MICROTURRET_DESC,zm_equip_micro_turret,,weapon,micro_turret_zm,20,1,1,0,none,secondary,none,none,
13,power_phaseShift,PERKS_POWER_PHASESHIFT,PERKS_POWER_PHASESHIFT_DESC,power_phaseshift_sm,,weapon,phaseshift_mp,60,1,1,0,none,secondary,none,none,
14,power_atMine,EQUIPMENT/AT_MINE,EQUIPMENT/AT_MINE_DESC,hud_icon_equipment_at_mine,icon_equipment_slot_at_mine,weapon,at_mine_mp,1,1,1,0,none,secondary,none,none,
15,power_rewind,PERKS_POWER_REWIND,PERKS_POWER_REWIND_DESC,zm_equip_rewind,,weapon,rewind_mp,35,1,1,0,none,secondary,none,none,
16,power_repulsor,PERKS/POWER_REPULSOR,PERKS/POWER_REPULSOR_DESC,zm_equip_repulsor,,weapon,zom_repulsor_mp,30,1,1,0,none,secondary,none,none,
17,power_transponder,PERKS/POWER_TRANSPONDER,PERKS/POWER_TRANSPONDER_DESC,zm_equip_transponder,,weapon,ztransponder_mp,30,1,1,0,none,secondary,none,none,
18,power_tripMine,PERKS/POWER_TRIP_MINE,PERKS/POWER_TRIP_MINE_DESC,zm_equip_trip_mine,,weapon,trip_mine_mp,45,1,1,0,none,secondary,none,none,
19,power_popRocket,EQUIPMENT/POP_ROCKET,EQUIPMENT/POP_ROCKET_DESC,hud_icon_equipment_pop_rocket,hud_icon_equipment_pop_rocket,weapon,pop_rocket_mp,8,1,1,0,none,secondary,none,none,
20,power_bait,PERKS/POWER_CLOAK,PERKS/POWER_CLOAK_DESC,zm_equip_bait_hotdog,,weapon,iw7_bait_zm,1,1,1,1,none,secondary,none,none,
21,power_trophy,PERKS/TROPHY,PERKS/DESC_TROPHY,equipment_icon_slot_trophysystem,equipment_icon_showcase_trophysystem,weapon,trophy_mp,20,1,1,0,none,secondary,none,none,
22,power_flash,PERKS/FLASH_GRENADE,PERKS/FLASH_GRENADE_DESC,hud_icon_equipment_flash,,weapon,flash_grenade_mp,10,4,1,0,none,secondary,none,none,
