1,intro,CP_RAID_COMPLEX_TRANS/INTRO_DESC,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_raid_complex_trans_cs,,CP_RAID_COMPLEX_TRANS/INTRO_DESC,,,,,,,,,CP_RAID_COMPLEX_TRANS/INTRO,1,CP_CHECKPOINTS/INTRO_DESC,
2,obj_swivelroom,CP_RAID_COMPLEX_SWIVELROOM/OBJECTIVE_DESC,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_raid_complex_swivelroom_cs,,CP_RAID_COMPLEX_SWIVELROOM/TITLE,,,,,,,,,CP_RAID_COMPLEX_TRANS/SWIVEL_ROOM,2,CP_CHECKPOINTS/OBJECTIVE_DESC,
3,vent_crawl,CP_RAID_COMPLEX_TRANS/EXPLORE_COMPLEX,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_raid_complex_trans_cs,,CP_RAID_COMPLEX_TRANS/EXPLORE_COMPLEX,,,,,,,,,CP_RAID_COMPLEX_TRANS/VENT_CRAWL_DEBUG,3,CP_CHECKPOINTS/EXPLORE_COMPLEX,
4,s3_enter_numbers,CP_RAID_COMPLEX_SEQ3/ENTER_NUMBERS,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,CP_RAID_COMPLEX_SEQ3/FAIL_CODE,,cp_raid_complex_numbers,,CP_RAID_COMPLEX_SEQ3/ENTER_NUMBERS,,,,,,,,,CP_RAID_COMPLEX_TRANS/NUMBERS_PUZZLE,4,CP_CHECKPOINTS/ENTER_NUMBERS,
5,s3_numbers_countdown,CP_RAID_COMPLEX_SEQ3/NUM_COUNTDOWN,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,CP_RAID_COMPLEX_SEQ3/FAIL_CODE,,cp_raid_complex_numbers,,CP_RAID_COMPLEX_SEQ3/ENTER_NUMBERS,,,,,,,,,,5,CP_CHECKPOINTS/NUM_COUNTDOWN,
6,s3_numbers_display,CP_RAID_COMPLEX_SEQ3/NUM_DISPLAY,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,CP_RAID_COMPLEX_SEQ3/FAIL_CODE,,cp_raid_complex_numbers,,CP_RAID_COMPLEX_SEQ3/ENTER_NUMBERS,,,,,,,,,,6,CP_CHECKPOINTS/NUM_DISPLAY,
7,s3_overall_goal,CP_RAID_COMPLEX_SEQ3/OBJ_KEYCODE,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,CP_RAID_COMPLEX_SEQ3/FAIL_CODE,,cp_raid_complex_numbers,,CP_RAID_COMPLEX_SEQ3/ENTER_NUMBERS,2,,,,,,,,,7,CP_CHECKPOINTS/OBJ_KEYCODE,
8,s3_findpower,CP_RAID_COMPLEX_SEQ3/FINDPOWER,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,CP_RAID_COMPLEX_SEQ3/FAIL_CODE,1,cp_raid_complex_numbers,,CP_RAID_COMPLEX_SEQ3/ENTER_NUMBERS,1,,,,,,,,,8,CP_CHECKPOINTS/FINDPOWER,
9,s3_resetting,CP_RAID_COMPLEX_SEQ3/READY_FOR_SEQ,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,CP_CHECKPOINTS/READY_FOR_SEQ,
10,s3_waitelevator,CP_RAID_COMPLEX_SEQ3/WAITELEVATOR,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_raid_complex_numbers,,CP_RAID_COMPLEX_SEQ3/ENTER_NUMBERS,2,,,,,,,,,10,CP_CHECKPOINTS/WAITELEVATOR,
11,silo_elevator_menu,CP_RAID_COMPLEX_TRANS/SILO_ELEVATOR_DEBUG,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_raid_complex_silo_jump_cs,,CP_RAID_COMPLEX_TRANS/SILO_ELEVATOR_DEBUG,,,,,,,,,CP_RAID_COMPLEX_TRANS/SILO_ELEVATOR_DEBUG,11,CP_CHECKPOINTS/SILO_ELEVATOR_DEBUG,
