1,smoke_show,CP_OP_VALKYRIE/GOTO_ENTRANCE,,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,CP_OP_VALKYRIE/SMOKE_SHOW,,,,,,,,
2,meet_with_informant,CP_PRISON_OBJECTIVES/MEET_THE_INFORMANT,,1,,,,0,,,,,,,,666,,,,,,,,,,cp_prison_break_cs,
3,go_to_the_prison,CP_PRISON_OBJECTIVES/GO_TO_PRISON,,0,primary,icon_waypoint_marker,51078,-39002,1151,0,,,,,,,,666,,,,,,,,,,cp_prison_break_cs,
4,checkin_weapons,CP_PRISON_OBJECTIVES/CHECKIN_YOUR_WEAPONS,,0,primary,icon_waypoint_marker,gun_checkin,script_noteworthy,0,30,15,5,,,,,666,,1,,,,,,,,cp_prison_break_cs,
5,find_hvi,CP_PRISON_OBJECTIVES/FIND_HVI,,0,primary,,,0,,,,,,,,666,,,,,,,,,,cp_prison_break_cs,
6,breakout,CP_PRISON_OBJECTIVES/ESCORT_HVI,,0,primary,icon_waypoint_marker,breakout_exfil,targetname,0,,,,,,,,666,,,,,,,,,,cp_prison_break_cs,
7,scout_locations,CP_OP_VALKYRIE/SCOUT_LOCATIONS,,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,CP_OP_VALKYRIE/SMOKE_SHOW,,,,,,,,
8,emp_sequence,CP_OP_VALKYRIE/DEFEND_EMP,,1,primary,icon_waypoint_objective_general,emp_device,targetname,,,,,,,,,1000,,,CP_OP_VALKYRIE/SMOKE_SHOW,,,,,,,,
9,exfil_little_bird,CP_OP_VALKYRIE/GOTO_LITTLE_BIRD,,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,CP_OP_VALKYRIE/SMOKE_SHOW,,,,,,,,
10,escape,CP_OP_VALKYRIE/ESCAPE,,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,CP_OP_VALKYRIE/SMOKE_SHOW,,,,,,,,
11,escape_alt,CP_OP_VALKYRIE/ESCAPE_ALT,,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,CP_OP_VALKYRIE/SMOKE_SHOW,,,,,,,,
