170000,spawn_reboard_windows,1,zombiecardprogression,ZM_CONSUMABLES/SPAWN_REBOARD_WINDOWS,ZM_CONSUMABLES/SPAWN_REBOARD_WINDOWS_DESC,triggerwait,1,0,1,fnf_spawn_reboard_windows,0,,0,,1,
170001,life_link,1,zombiecardprogression,ZM_CONSUMABLES/LIFE_LINK,ZM_CONSUMABLES/LIFE_LINK_DESC,timedactivations,1,30,0,fnf_life_link,0,,0,,1,
170002,faster_revive_upgrade,1,zombiecardprogression,ZM_CONSUMABLES/FAST_REVIVE,ZM_CONSUMABLES/FAST_REVIVE_DESC,triggerpassive,1,0,1,fnf_faster_revive_upgrade,0,,0,LUA_MENU_ZM/CARD_FASTER_REVIVE_PASSIVE_TEXT,1,
170003,bonus_damage_on_last_bullets,1,zombiecardprogression,ZM_CONSUMABLES/LAST_BULLET_MOD,ZM_CONSUMABLES/LAST_BULLET_MOD_DESC,wave,1,3,0,fnf_bonus_damage_on_last_bullets,0,,0,,1,
170004,coagulant,1,zombiecardprogression,ZM_CONSUMABLES/LONGER_BLEED_OUT,ZM_CONSUMABLES/LONGER_BLEED_OUT_DESC,triggerpassive,1,0,1,fnf_coagulant,0,,0,LUA_MENU_ZM/COAGULANT_PASSIVE_TEXT,1,
170005,burned_out,1,zombiecardprogression,ZM_CONSUMABLES/BURNED_OUT,ZM_CONSUMABLES/BURNED_OUT_DESC,triggerpassive,1,0,10,fnf_burned_out,0,,0,LUA_MENU_ZM/BURNED_OUT_PASSIVE_TEXT,1,
170006,sniper_soft_upgrade,1,zombiecardprogression,ZM_CONSUMABLES/SNIPER,ZM_CONSUMABLES/SNIPER_DESC,triggerpassive,1,0,50,fnf_sniper_soft_upgrade,0,,0,LUA_MENU_ZM/SNIPER_DEADEYE_PASSIVE_TEXT,1,
170007,grenade_cooldown,1,zombiecardprogression,ZM_CONSUMABLES/GRENADE_COOLDOWN,ZM_CONSUMABLES/GRENADE_COOLDOWN_DESC,wave,1,3,0,fnf_grenade_cooldown,0,,0,,1,
170008,extra_sniping_points,1,zombiecardprogression,ZM_CONSUMABLES/EXTRA_SNIPING_POINTS,ZM_CONSUMABLES/EXTRA_SNIPING_POINTS_DESC,triggerpassive,1,0,10,fnf_extra_sniping_points,0,,0,LUA_MENU_ZM/CARD_EXTRA_SNIPING_POINTS_PASSIVE_TEXT,1,
170009,faster_health_regen_upgrade,1,zombiecardprogression,ZM_CONSUMABLES/FAST_HEALTH_REGEN,ZM_CONSUMABLES/FAST_HEALTH_REGEN_DESC,timedactivations,1,15,0,fnf_faster_health_regen_upgrade,0,,0,,1,
170010,penetration_gun,1,zombiecardprogression,ZM_CONSUMABLES/PENETRATION_GUN,ZM_CONSUMABLES/PENETRATION_GUN_DESC,timedactivations,1,30,0,fnf_penetration_gun,0,,0,,1,
170011,shock_melee_upgrade,1,zombiecardprogression,ZM_CONSUMABLES/SHOCK_MELEE,ZM_CONSUMABLES/SHOCK_MELEE_DESC,triggerpassive,1,0,5,fnf_shock_melee_upgrade,0,,0,LUA_MENU_ZM/SHOCK_MELEE_PASSIVE_TEXT,1,
