1,raid_coop_escort,,,1,primary,,,,,,,,,,,,,,,,,,,,,coop_escort_cs,,COOP_ESCORT/ESCORT_HVI,,1,,COOP_ESCORT/INTRO_LINE_ONE,COOP_ESCORT/INTRO_LINE_TWO,COOP_ESCORT/INTRO_LINE_THREE,COOP_ESCORT/INTRO_LINE_FOUR,,,1,COOP_ESCORT/ESCORT_HVI,
2,raid_coop_escort_enter_vehicles,COOP_ESCORT/ENTER_VEHICLES,,,,,,,,,,,,,,,,,,,,,,,,,,COOP_ESCORT/ESCORT_HVI,1,,,,,,,,,2,CP_CHECKPOINTS/ENTER_VEHICLES,
3,raid_coop_escort_protect_hvi,COOP_ESCORT/PROTECT_HVI,,,,,,,,,,,,,,,,,,,,,,COOP_ESCORT/MISSION_FAILED_REASON,,,,COOP_ESCORT/ESCORT_HVI,2,,,,,,,,,3,CP_CHECKPOINTS/PROTECT_HVI,
4,raid_coop_push,COOP_VEHICLE_PUSH/DESTROY_ENEMY_GATE,,1,primary,,,,,,,,,,,,,,,,,,,,,coop_push_cs,,COOP_VEHICLE_PUSH/LOCATE_MISSING_HVI,2,1,,,,,,,,4,CP_CHECKPOINTS/DESTROY_ENEMY_GATE,
5,coop_bomb_case_defusal,COOP_BOMB_DEFUSAL/DEFUSE_BOMB,,step,,,0,,,,,,,,,,,,,,,,,COOP_BOMB_DEFUSAL/BOMB_CASE_FAIL_REASON,,coop_push_cs,,COOP_VEHICLE_PUSH/LOCATE_MISSING_HVI,1,,,,,,,,,5,CP_CHECKPOINTS/DEFUSE_BOMB,
6,raid_coop_escape,COOP_ESCAPE/SEARCH_INTEL,,1,primary,,,,,,,,,,,,,,,,,,,,,coop_escape_cs,,COOP_VEHICLE_PUSH/LOCATE_MISSING_HVI,3,,,,,,,,,6,CP_CHECKPOINTS/SEARCH_INTEL,
7,raid_coop_escape_safehouse,COOP_ESCAPE/TAKE_DRIVE_TO_SAFEHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,COOP_VEHICLE_PUSH/LOCATE_MISSING_HVI,4,,,,,,,,,7,CP_CHECKPOINTS/TAKE_DRIVE_TO_SAFEHOUSE,
8,raid_coop_escape_end_camera,COOP_BOMB_DEFUSAL/DEFUSE_BOMB,,,,,,,,,,,,,,,,,,,,,,,,,,COOP_VEHICLE_PUSH/LOCATE_MISSING_HVI,,,,,,,,,,8,CP_CHECKPOINTS/DEFUSE_BOMB,
9,raid_coop_defuse,,,1,primary,,,,,,,,,,,,,,,,,,,,,coop_defuse_cs,,COOP_BOMB_DEFUSAL/RESCUE_HVI,,1,,,COOP_BOMB_DEFUSAL/HOURS_LATER,,,,,9,CP_CHECKPOINTS/DEFUSE_BOMB,
10,raid_coop_defuse_infiltrate,COOP_BOMB_DEFUSAL/INFILTRATE,,,,,,,,,,,,,,,,,,,,,,,,,,COOP_BOMB_DEFUSAL/RESCUE_HVI,1,,,,,,,,,10,CP_CHECKPOINTS/INFILTRATE,
11,coop_bomb_vest_defusal,COOP_BOMB_DEFUSAL/DEFUSE_BOMB_VESTS,,,,,,,,,,,,,,,,,,,,,,COOP_BOMB_DEFUSAL/BOMB_VEST_FAIL_REASON,,,,COOP_BOMB_DEFUSAL/RESCUE_HVI,2,,,,,,,,,11,CP_CHECKPOINTS/DEFUSE_BOMB_VESTS,
12,rooftop_raid,CP_DWN_TWN_OBJECTIVES/ROOFTOP_RAID,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/MAIN_VAULT_ASSAULT,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,,12,CP_CHECKPOINTS/ROOFTOP_RAID,
13,rooftop_raid_heli,CP_DWN_TWN_OBJECTIVES/SAT_CONNECT,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/SAT_ARARRY,1,1,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,,13,CP_CHECKPOINTS/SAT_ARARRY,
14,rooftop_raid_activatesats,CP_DWN_TWN_OBJECTIVES/ACTIVATE_SAT,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/SAT_ARARRY,2,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,,14,CP_CHECKPOINTS/ACTIVATE_SAT,
15,rooftop_raid_activatesats_start,CP_DWN_TWN_OBJECTIVES/ACTIVATED_SAT,,1,primary,,,,,,,,,,,,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/SAT_ARARRY,2,,,,,,,,,15,CP_CHECKPOINTS/ACTIVATED_SAT,
16,rooftop_raid_activatesats_error,CP_DWN_TWN_OBJECTIVES/ACTIVE_SAT_REACTIVATE,,1,primary,,,,60,15,5,,,,,,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/SAT_ARARRY,2,,,,,,,,,16,CP_CHECKPOINTS/ACTIVE_SAT_REACTIVATE,
17,rooftop_raid_objectivefailed_transmission,,,,,,,,,,,,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/MISSION_FAILED_TRANSMISSION,,,,,,,,,,,,,,,,
18,rooftop_raid_objectivefailed_destroyed,,,,,,,,,,,,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/FAILED_DESTROYED,,,,,,,,,,,,,,,,
19,rooftop_raid_exfil,CP_DWN_TWN_OBJECTIVES/EXIT_ROOFTOPS,,1,primary,icon_waypoint_objective_general,elevator_obj,targetname,,,,,,,,,,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/SAT_ARARRY,3,,,,,,,,,12,,
