0,name,,
1,kills,LUA_EOG_CP/EOG_TRACK_KILLS,
2,score,LUA_EOG_CP/EOG_TRACK_SCORE,
3,assists,LUA_EOG_CP/EOG_TRACK_ASSISTS,
4,revives,LUA_EOG_CP/EOG_TRACK_REVIVES,
5,downs,LUA_EOG_CP/EOG_TRACK_DOWNS,
6,deaths,LUA_EOG_CP/EOG_TRACK_DEATHS,
7,currency,LUA_EOG_CP/EOG_TRACK_SCORE,
8,currencyspent,LUA_EOG_CP/EOG_TRACK_CURRENCYSPENT,
9,currencytotal,LUA_EOG_CP/EOG_TRACK_CURRENCYTOTAL,
10,traps,LUA_EOG_CP/EOG_TRACK_TRAPS,
11,deployables,LUA_EOG_CP/EOG_TRACK_DEPLOYABLES,
12,headShots,LUA_EOG_CP/EOG_TRACK_HEADSHOTS,
13,targets,LUA_EOG_CP/EOG_TRACK_TARGETS,
14,multiplier_targets,LUA_EOG_CP/EOG_TRACK_MULTIPLIER_TARGETS,
15,civilians,LUA_EOG_CP/EOG_TRACK_CIVS_HIT,
16,critical_hits,LUA_EOG_CP/EOG_TRACK_CRIT_HITS,
17,total_shots,LUA_EOG_CP/EOG_TRACK_TOTAL_SHOTS,
18,shots_hit,LUA_EOG_CP/EOG_TRACK_SHOTS_HIT,
19,shots_missed,LUA_EOG_CP/EOG_TRACK_SHOTS_MISSED,
20,playerArmor,,
21,playerHealth,,
22,playerStatus,,
23,carryItem,,
