1,map_restart,GAME/VOTE_MAPRESTART,,1,primary,,,,,,,,,,,,,,,, ,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
2,obj_helidown,CP_BR_SYRK_OBJECTIVES/OBJ_RESCUE_PILOT,,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/HELICOPTER_DOWN,,,1,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
3,obj_helidown_escort_mnu,CP_BR_SYRK_OBJECTIVES/USE_VIP,,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/HELICOPTER_DOWN,,,1,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
4,pre_vault_assault,,,1,primary,icon_waypoint_objective_general,bank_obj_pos,targetname,,,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
5,vault_assault,CP_DWN_TWN_OBJECTIVES/VA_BANK,,0,primary,icon_waypoint_objective_general,bank_obj_pos,targetname,,,,,,,,,,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/MAIN_VAULT_ASSAULT,1,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
6,vault_assault_hack,CP_DWN_TWN_OBJECTIVES/HACK,,0,primary,icon_waypoint_objective_general,vault_assault_vault,targetname,,,,,,,,,,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/MAIN_VAULT_ASSAULT,2,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
7,vault_assault_cut,CP_DWN_TWN_OBJECTIVES/CUT,,1,primary,icon_waypoint_objective_general,vault_assault_cut,targetname,,,,,,,,,,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/MAIN_VAULT_ASSAULT,3,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
8,vault_assault_vault,CP_DWN_TWN_OBJECTIVES/KEY,,1,primary,icon_waypoint_objective_general,vault_assault_vault,targetname,,,,,,,,,,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/MAIN_VAULT_ASSAULT,4,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
9,vault_assault_vault_fake_end,CP_DWN_TWN_OBJECTIVES/FAKE_END,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/MAIN_VAULT_ASSAULT,1,1,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
10,vault_assault_crypto,CP_DWN_TWN_OBJECTIVES/HVT,,1,primary,icon_waypoint_objective_general,vault_assault_crypto_vault,targetname,,,,,,,,,,,,,,,,,,,,,CP_DWN_TWN_OBJECTIVES/MAIN_VAULT_ASSAULT,1,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
