1,test_objective_1,CP_BR_SYRK_OBJECTIVES_TEST_1,,0,primary,icon_waypoint_objective_general,obj1_HVT_rescue,script_noteworthy,,,,,,,,,1000,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
2,test_objective_2,CP_BR_SYRK_OBJECTIVES_TEST_2,,0,primary,icon_waypoint_objective_general,15433,-8809,512,,,,,,,,,1000,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
3,test_objective_3,CP_BR_SYRK_OBJECTIVES_TEST_3,,0,primary,icon_waypoint_objective_general,14214,-8782,520,,,,,,,,,1000,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
4,locate_and_eliminate_jammers,CP_BR_SYRK_OBJECTIVES/JAMMERS,CP_OBJECTIVES/HACK,0,primary,icon_waypoint_objective_general,radar_struct,script_noteworthy,,,,,,,,,666,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
5,grab_disguise,CP_BR_SYRK_OBJECTIVES/EQUIP_DISGUISE,,0,primary,icon_waypoint_objective_general,disguise_struct,script_noteworthy,,,,,,,,,1000,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
6,infil_plane,CP_BR_SYRK_OBJECTIVES/INFIL_PLANE,,0,primary,icon_waypoint_objective_general,c130_plane_fubar,targetname,,,,,,,,,1000,1,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
7,collect_nuclear_core,CP_BR_SYRK_OBJECTIVES/GRAB_NUKE,,0,primary,icon_waypoint_objective_general,nuke,script_noteworthy,,,,,,,,,1000,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
8,exfil_plane,CP_BR_SYRK_OBJECTIVES/EXIT_PLANE,,0,primary,icon_waypoint_objective_general,escape_plane,script_noteworthy,,,,,,,,,6669,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
9,morales_infil_house_1,CP_BR_SYRK_OBJECTIVES/MORALES_1,CP_BR_SYRK_OBJECTIVES/FIND_MORALES,0,primary,icon_waypoint_objective_general,obj1_HVT_first_loc,script_noteworthy,,,,,,,,,,,,CP_BR_SYRK_OBJECTIVES/MORALES_2,CP_BR_SYRK_OBJECTIVES/MORALES_3,CP_BR_SYRK_OBJECTIVES/MORALES_4,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
10,morales_hack_laptop_2,CP_BR_SYRK_OBJECTIVES/MORALES_2,CP_OBJECTIVES/HACK,0,primary,icon_waypoint_objective_general,obj1_HVT_laptop_loc,script_noteworthy,,,,,,,,,,1,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
11,morales_rescue_hvt_3,CP_BR_SYRK_OBJECTIVES/MORALES_3,CP_BR_SYRK_OBJECTIVES/FIND_MORALES,0,primary,icon_waypoint_objective_general,,,,,,,,,,,1,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
12,morales_signal_heli_4,CP_BR_SYRK_OBJECTIVES/MORALES_4,CP_BR_SYRK_OBJECTIVES/SIGNAL_EXFIL,0,primary,,,,,,,,,,,,1,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
13,morales_holdout_5,CP_BR_SYRK_OBJECTIVES/MORALES_5,CP_BR_SYRK_OBJECTIVES/DEFEND_POS,0,primary,icon_waypoint_objective_general,obj1_HVT_defend_tower,script_noteworthy,,120,,,,,,,,1,1,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
14,morales_slow_load_hvt_6,CP_BR_SYRK_OBJECTIVES/MORALES_6,CP_BR_SYRK_OBJECTIVES/EXFIL_MORALES,0,primary,icon_waypoint_objective_general,obj1_HVT_rescue,script_noteworthy,,,,,,,,,,1,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
15,morales_fast_load_hvt_6,CP_BR_SYRK_OBJECTIVES/MORALES_6,CP_BR_SYRK_OBJECTIVES/EXFIL_MORALES,0,primary,icon_waypoint_objective_general,obj1_HVT_fast_rescue,script_noteworthy,,,,,,,,,,1,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
16,quarry_defend_1,CP_BR_SYRK_OBJECTIVES/QUARRY_DEFENSE,,0,primary,icon_waypoint_objective_general,quarry_defense_obj1,script_noteworthy,,120,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
17,quarry_defend_2,CP_BR_SYRK_OBJECTIVES/QUARRY_DEFENSE,,0,primary,icon_waypoint_objective_general,quarry_defense_obj2,script_noteworthy,,120,,,,,,,,1,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
18,quarry_defend_3,CP_BR_SYRK_OBJECTIVES/QUARRY_DEFENSE,,0,primary,icon_waypoint_objective_general,quarry_defense_obj3,script_noteworthy,,120,,,,,,,,1,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
20,land_at_lz,CP_BR_SYRK_OBJECTIVES/LAND_LZ,,0,primary,icon_waypoint_objective_general,lz_point,script_noteworthy,,,,,,,,,6669,1,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
21,multi_hack,CP_BR_SYRK_OBJECTIVES/FIND_NODES_0,,0,primary,icon_waypoint_objective_general,,-1,120,,,,,,,666,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD,
