1,test_objective_1,CP_BR_SYRK_OBJECTIVES_TEST_1,,1,primary,icon_waypoint_objective_general,obj1_HVT_rescue,script_noteworthy,,,,,,,,,1000,,,,,,
2,test_objective_2,CP_BR_SYRK_OBJECTIVES_TEST_2,,1,primary,icon_waypoint_objective_general,15433,-8809,512,,,,,,,,,1000,,,,,,
3,test_objective_3,CP_BR_SYRK_OBJECTIVES_TEST_3,,1,primary,icon_waypoint_objective_general,14214,-8782,520,,,,,,,,,1000,,,,,,
4,locate_and_eliminate_jammers,CP_BR_SYRK_OBJECTIVES/JAMMERS,CP_OBJECTIVES/HACK,1,primary,icon_waypoint_objective_general,radar_struct,script_noteworthy,,,,,,,,,666,,,,,,
5,grab_disguise,CP_BR_SYRK_OBJECTIVES/EQUIP_DISGUISE,,1,primary,icon_waypoint_objective_general,disguise_struct,script_noteworthy,,,,,,,,,1000,,,,,,
6,infil_plane,CP_BR_SYRK_OBJECTIVES/INFIL_PLANE,,1,primary,icon_waypoint_objective_general,c130_plane_fubar,targetname,,,,,,,,,1000,1,,,,,
7,collect_nuclear_core,CP_BR_SYRK_OBJECTIVES/GRAB_NUKE,,1,primary,icon_waypoint_objective_general,nuke,script_noteworthy,,,,,,,,,1000,,,,,,
8,exfil_plane,CP_BR_SYRK_OBJECTIVES/EXIT_PLANE,,1,primary,icon_waypoint_objective_general,escape_plane,script_noteworthy,,,,,,,,,6669,,,,,,
9,morales_infil_house_1,CP_BR_SYRK_OBJECTIVES/MORALES_1,CP_BR_SYRK_OBJECTIVES/FIND_MORALES,1,primary,icon_waypoint_objective_general,obj1_HVT_first_loc,script_noteworthy,,,,,,,,,,,,CP_BR_SYRK_OBJECTIVES/MORALES_2,CP_BR_SYRK_OBJECTIVES/MORALES_3,CP_BR_SYRK_OBJECTIVES/MORALES_4,
10,morales_hack_laptop_2,CP_BR_SYRK_OBJECTIVES/MORALES_2,CP_OBJECTIVES/HACK,1,primary,icon_waypoint_objective_general,obj1_HVT_laptop_loc,script_noteworthy,,,,,,,,,,1,,,,,
11,morales_rescue_hvt_3,CP_BR_SYRK_OBJECTIVES/MORALES_3,CP_BR_SYRK_OBJECTIVES/FIND_MORALES,1,primary,icon_waypoint_objective_general,,,,,,,,,,,1,,,,,
12,morales_signal_heli_4,CP_BR_SYRK_OBJECTIVES/MORALES_4,CP_BR_SYRK_OBJECTIVES/SIGNAL_EXFIL,1,primary,,,,,,,,,,,,1,,,,,
13,morales_holdout_5,CP_BR_SYRK_OBJECTIVES/MORALES_5,CP_BR_SYRK_OBJECTIVES/DEFEND_POS,1,primary,icon_waypoint_objective_general,obj1_HVT_defend_tower,script_noteworthy,,120,,,,,,,,1,1,,,,
14,morales_slow_load_hvt_6,CP_BR_SYRK_OBJECTIVES/MORALES_6,CP_BR_SYRK_OBJECTIVES/EXFIL_MORALES,1,primary,icon_waypoint_objective_general,obj1_HVT_rescue,script_noteworthy,,,,,,,,,,1,,,,,
15,morales_fast_load_hvt_6,CP_BR_SYRK_OBJECTIVES/MORALES_6,CP_BR_SYRK_OBJECTIVES/EXFIL_MORALES,1,primary,icon_waypoint_objective_general,obj1_HVT_fast_rescue,script_noteworthy,,,,,,,,,,1,,,,,
16,quarry_defend_1,CP_BR_SYRK_OBJECTIVES/QUARRY_DEFENSE,,1,primary,icon_waypoint_objective_general,quarry_defense_obj1,script_noteworthy,,120,,,,,,,,,,,,,
17,quarry_defend_2,CP_BR_SYRK_OBJECTIVES/QUARRY_DEFENSE,,1,primary,icon_waypoint_objective_general,quarry_defense_obj2,script_noteworthy,,120,,,,,,,,1,,,,,
18,quarry_defend_3,CP_BR_SYRK_OBJECTIVES/QUARRY_DEFENSE,,1,primary,icon_waypoint_objective_general,quarry_defense_obj3,script_noteworthy,,120,,,,,,,,1,,,,,
20,land_at_lz,CP_BR_SYRK_OBJECTIVES/LAND_LZ,,1,primary,icon_waypoint_objective_general,lz_point,script_noteworthy,,,,,,,,,6669,1,,,,,
21,multi_hack,CP_BR_SYRK_OBJECTIVES/FIND_NODES_0,,1,primary,icon_waypoint_objective_general,,-1,120,,,,,,,666,,,,,,
22,defend_download,CP_BR_SYRK_OBJECTIVES/DEFEND_DL_1,,1,primary,icon_waypoint_objective_general,final_hack_spot,targetname,,,,,,,,,666,,,,,,
23,range_rover_objective_1,CP_BR_SYRK_OBJECTIVES/IED_ROAD_OBJECTIVE,CP_BR_SYRK_OBJECTIVES/IED_FIELD,1,primary,icon_waypoint_objective_general,range_rover_objective_goal,script_noteworthy,,,,,,,,,,1,,,,,
24,gl_exfil_objective_1,CP_BR_SYRK_OBJECTIVES/EXFIL_OBJECTIVE,,1,primary,,,,,,,,,,,,1,,,,,
25,multi_hack_2,CP_BR_SYRK_OBJECTIVES/FIND_NODES_1,,1,primary,,,-1,120,,,,,,,,,,,,,
26,multi_hack_3,CP_BR_SYRK_OBJECTIVES/FIND_NODES_2,,1,primary,,,-1,120,,,,,,,,,,,,,
27,defend_download_2,CP_BR_SYRK_OBJECTIVES/DEFEND_DL_2,,1,primary,icon_waypoint_objective_general,,,120,,,,,,,,,,,,,
