0,23722099|23207052|24945255|32238127|19820683,80210958226765139,t9_ch_ar_accurate_t9_ekia,0,22217108,82753610496115536,t9_ch_ar_accurate_t9_challenges,0,19236042,130947465255032883,t9_ch_weapon_assault_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,20209514,,,1,,,,,,,,,,,,,,,,,,
2,30050671,,,1,,,,,,,,,,,,,,,,,,
3,24292859,,,1,,,,,,,,,,,,,,,,,,
4,23723212,,,1,27537459|22641340|31639293|18298419|27324266,97950811517681878,t9_ch_ar_accurate_t9_headshots,1,,,,,,,,,,,,,,
5,19594541,,,1,,,,,,,,,,,,,,,,,,
6,23777532,,,2,,,,,,,,,,,,,,,,,,
7,22985961,,,2,,,,,,,,,,,,,,,,,,
8,27806049,,,2,,,,,,,,,,,,,,,,,,
9,30460604,,,2,25324214|18490498|32881137|22783381|31273960,128815992596373243,t9_ch_ar_accurate_t9_killstreak_5,2,,,,,,,,,,,,,,
10,24240782,,,2,,,,,,,,,,,,,,,,,,
11,32050793,,,3,,,,,,,,,,,,,,,,,,
12,24862863,,,3,,,,,,,,,,,,,,,,,,
13,18829789,,,3,,,,,,,,,,,,,,,,,,
14,20621354,,,3,,,,,,,,,,,,,,,,,,
15,29861296,,,3,,,,,,,,,,,,,,,,,,
16,19415023,,,4,,,,,,,,,,,,,,,,,,
17,21223556,,,4,,,,,,,,,,,,,,,,,,
18,20473926,,,4,,,,,,,,,,,,,,,,,,
19,18288480,,,4,25031343|27073953|30554928|21969504|24386137,105467148505302215,t9_ch_ar_accurate_t9_longshot_kill,4,,,,,,,,,,,,,,
20,20246996,,,4,,,,,,,,,,,,,,,,,,
21,24279421,,,5,,,,,,,,,,,,,,,,,,
22,28318147,,,5,,,,,,,,,,,,,,,,,,
23,20229542,,,5,,,,,,,,,,,,,,,,,,
24,31198540,,,5,,,,,,,,,,,,,,,,,,
25,20042318,,,5,,,,,,,,,,,,,,,,,,
26,27818114,,,6,,,,,,,,,,,,,,,,,,
27,27195781,,,6,,,,,,,,,,,,,,,,,,
28,26058238,,,6,,,,,,,,,,,,,,,,,,
29,20633860,,,6,22116275|27278554|22407879|26242168|27212698,139274743566135783,t9_ch_ar_accurate_t9_kill_detected_stunned_blinded,6,,,,,,,,,,,,,,
30,32528811,,,6,,,,,,,,,,,,,,,,,,
31,29608981,,,7,,,,,,,,,,,,,,,,,,
32,31729527,,,7,,,,,,,,,,,,,,,,,,
33,32726733,,,7,,,,,,,,,,,,,,,,,,
34,27337655,,,7,,,,,,,,,,,,,,,,,,
35,18388161,,,7,,,,,,,,,,,,,,,,,,
36,29551060,,,8,,,,,,,,,,,,,,,,,,
37,31985822,,,8,,,,,,,,,,,,,,,,,,
38,19405375,,,8,,,,,,,,,,,,,,,,,,
39,28880792,,,8,33292071|30308733|29242476|28109699|23632768,134865936015619337,t9_ch_ar_accurate_t9_kill_enemy_taking_cover_from_you,8,,,,,,,,,,,,,,
40,24785787,,,8,,,,,,,,,,,,,,,,,,
41,19921508,,,9,,,,,,,,,,,,,,,,,,
42,30732883,,,9,,,,,,,,,,,,,,,,,,
43,26859813,,,9,,,,,,,,,,,,,,,,,,
44,30852025,,,9,,,,,,,,,,,,,,,,,,
45,30295374,,,9,,,,,,,,,,,,,,,,,,
46,24285291,,,10,,,,,,,,,,,,,,,,,,
47,19525674,,,10,,,,,,,,,,,,,,,,,,
48,25603777,,,10,,,,,,,,,,,,,,,,,,
49,30279449,,,10,22599807|28453423|28039155|32177092|33049691,79246249743297074,t9_ch_ar_accurate_t9_multikill_2,10,,,,,,,,,,,,,,
50,26863196,,,10,,,,,,,,,,,,,,,,,,
51,33257963,,,11,,,,,,,,,,,,,,,,,,
52,20100076,,,11,,,,,,,,,,,,,,,,,,
53,18786088,,,11,,,,,,,,,,,,,,,,,,
54,18449139,,,11,,,,,,,,,,,,,,,,,,
