0,iw8_lm_kilo121_variant_0,iw8_lm_kilo121,,,,,,,,,,,,,,,WEAPON/LM_KILO121,ui_loot_weapon_lm_kilo121,
1,iw8_lm_kilo121_variant_1,iw8_lm_kilo121,,rec|1 front|1 back|1 mag|1 ,flashhider|1,,,,,drums|3,,,gunperk_xp,,,,WEAPON/LM_KILO121_V2,ui_loot_weapon_lm_kilo121_v2,
2,iw8_lm_kilo121_variant_2,iw8_lm_kilo121,,rec|2 front|2 back|2 mag|2,,,laser|4,gripcust|5,,drums|1,,stockno|1,,,,,WEAPON/LM_KILO121_V3,ui_loot_weapon_lm_kilo121_v3,
3,iw8_lm_kilo121_variant_3,iw8_lm_kilo121,,rec|3 front|3 back|3 mag|3,flashhider|2,barmid|1,,,holo2|3,drums|2,,stockh|1,,,,,WEAPON/LM_KILO121_V4,ui_loot_weapon_lm_kilo121_v4,
4,iw8_lm_kilo121_variant_4,iw8_lm_kilo121,,rec|4 front|4 back|4 mag|4,,barlong|1,,bipod|2,acog|2,drums|4,,stockh|2,,,,,WEAPON/LM_KILO121_V5,ui_loot_weapon_lm_kilo121_v5,
5,iw8_lm_kilo121_variant_5,iw8_lm_kilo121,,rec|5 front|5 back|5 mag|5,silencer3|9,,,gripang|6,thermal|5,,,stockcust|1,,,,,WEAPON/LM_KILO121_V6,ui_loot_weapon_lm_kilo121_v6,
6,iw8_lm_kilo121_variant_6,iw8_lm_kilo121,,rec|6 front|6 back|6 mag|6,silencer2|13,,laserbalanced|3,,holo3|1,drums|5,,stockcust|2,,,,,WEAPON/LM_KILO121_V7,ui_loot_weapon_lm_kilo121_v7,
7,iw8_lm_kilo121_variant_7,iw8_lm_kilo121,,rec|7 front|7 back|7 mag|7,,barlong|3,,,scope|13,,,stockcust|5,,,,,WEAPON/LM_KILO121_V8,ui_loot_weapon_lm_kilo121_v8,
8,iw8_lm_kilo121_variant_8,iw8_lm_kilo121,,rec|8 front|8 back|8 mag|8,comp|15,barshort|2,,,holo3|12,,,stockno|2,,,,,WEAPON/LM_KILO121_V9,ui_loot_weapon_lm_kilo121_v9,
9,iw8_lm_kilo121_variant_9,iw8_lm_kilo121,,rec|9 front|9 back|9 mag|9,silencer3|10,barmid|2,,,acog|7,,,,fastreload,,,,WEAPON/LM_KILO121_V10,ui_loot_weapon_lm_kilo121_v10,
10,iw8_lm_kilo121_variant_10,iw8_lm_kilo121,,rec|10 front|10 back|10 mag|10,silencer|1,,,gripang|8,,,pistolgrip01|2,stockcust|4,maxammo,,,,WEAPON/LM_KILO121_V11,ui_loot_weapon_lm_kilo121_v11,
11,iw8_lm_kilo121_variant_11,iw8_lm_kilo121,,rec|11 front|11 back|11 mag|11,silencer3|1,barmid|3,,gripangpro|1,acog|8,,,,,,,,WEAPON/LM_KILO121_V12,ui_loot_weapon_lm_kilo121_v12,
12,iw8_lm_kilo121_variant_12,iw8_lm_kilo121,,rec|12 front|12 back|12 mag|12,,,laserbalanced|1,gripvert|2,holo|2,xmags|1,,,,,,,WEAPON/LM_KILO121_V13,ui_loot_weapon_lm_kilo121_v13,
13,iw8_lm_kilo121_variant_13,iw8_lm_kilo121,,rec|13 front|13 back|13 mag|13,comp|2,barlong|2,,gripcust|12,hybrid4|7,,,stockh|3,,,,,WEAPON/LM_KILO121_V14,ui_loot_weapon_lm_kilo121_v14,
14,iw8_lm_kilo121_variant_14,iw8_lm_kilo121,,rec|14 front|14 back|14 mag|14,silencer3|2,,,gripvertpro|1,,,,stockcust|6,,,,,WEAPON/LM_KILO121_V15,ui_loot_weapon_lm_kilo121_v15,
15,iw8_lm_kilo121_variant_15,iw8_lm_kilo121,,rec|15 front|15 back|15 mag|15,brake|14,,,gripvertpro|7,,,pistolgrip02|1,stockcust|7,,,,,WEAPON/LM_KILO121_V16,ui_loot_weapon_lm_kilo121_v16,
