0,iw8_lm_mgolf36_variant_0,iw8_lm_mgolf36,,,,,,,,,,,,,,,WEAPON/LM_MGOLF36,ui_loot_weapon_lm_mgolf36,
1,iw8_lm_mgolf36_variant_1,iw8_lm_mgolf36,iw8_lm_mgolf36_mpv2,rec|1 front|1 back|1 mag|1 reargrip|1 toprail|1,comp|3,,laserbalanced|6,,,,pistolgrip01|1,,fastreload,,,,WEAPON/LM_MGOLF36_V2,ui_loot_weapon_lm_mgolf36_v2,
2,iw8_lm_mgolf36_variant_2,iw8_lm_mgolf36,iw8_lm_mgolf36_mpv2,rec|2 reargrip|2 toprail|2,,barshort|1,,,reflex5|1,calcust|2,,stockl|2,,,,,WEAPON/LM_MGOLF36_V3,ui_loot_weapon_lm_mgolf36_v3,
3,iw8_lm_mgolf36_variant_3,iw8_lm_mgolf36,,rec|3 front|3 mag|3 reargrip|3 toprail|3,silencer2|9,,,gripang|5,hybrid3|1,,,stocks|1,,,,,WEAPON/LM_MGOLF36_V4,ui_loot_weapon_lm_mgolf36_v4,
4,iw8_lm_mgolf36_variant_4,iw8_lm_mgolf36,iw8_lm_mgolf36_mpv2,rec|4 front|4 back|4 toprail|4,,,laserrange|2,gripvert|4,,calcust|1,pistolgrip01|3,,maxammo,,,,WEAPON/LM_MGOLF36_V5,ui_loot_weapon_lm_mgolf36_v5,
5,iw8_lm_mgolf36_variant_5,iw8_lm_mgolf36,,rec|5 reargrip|5 toprail|5,,barmid|1,,,holo|11,calcust|3,,stocks|2,,,,,WEAPON/LM_MGOLF36_V6,ui_loot_weapon_lm_mgolf36_v6,
6,iw8_lm_mgolf36_variant_6,iw8_lm_mgolf36,iw8_lm_mgolf36_mpv2,rec|6 back|6 toprail|6,,barshort|2,,,holo|1,calcust|4,pistolgrip02|2,,,,,,WEAPON/LM_MGOLF36_V7,ui_loot_weapon_lm_mgolf36_v7,
7,iw8_lm_mgolf36_variant_7,iw8_lm_mgolf36,iw8_lm_mgolf36_mpdmb,rec|7 front|7 back|7 mag|7 reargrip|7 toprail|7,,barmid|2,,gripcust|13,acog4|1,,pistolgrip01|2,stockh|1,,,,,WEAPON/LM_MGOLF36_V8,ui_loot_weapon_lm_mgolf36_v8,
8,iw8_lm_mgolf36_variant_8,iw8_lm_mgolf36,,rec|8 front|8 back|8 mag|8 reargrip|8 toprail|8,brake|1,,,gripang|1,reflex5|2,calcust|6,,stocks|4,,,,,WEAPON/LM_MGOLF36_V9,ui_loot_weapon_lm_mgolf36_v9,
9,iw8_lm_mgolf36_variant_9,iw8_lm_mgolf36,,rec|9 front|9 back|9 mag|9 reargrip|9 toprail|9,,barmid|4,,gripvertpro|5,acog|13,calcust|7,,,,,,,WEAPON/LM_MGOLF36_V10,ui_loot_weapon_lm_mgolf36_v10,
10,iw8_lm_mgolf36_variant_10,iw8_lm_mgolf36,iw8_lm_mgolf36_mpv2,rec|10 front|10 back|10 mag|10 reargrip|10 toprail|10,,barshort|4,laserrange|15,gripvert|7,,calcust|9,,stockno|1,,,,,WEAPON/LM_MGOLF36_V11,ui_loot_weapon_lm_mgolf36_v11,
11,iw8_lm_mgolf36_variant_11,iw8_lm_mgolf36,,rec|11 front|11 back|11 mag|11 reargrip|11 toprail|11,brake|15,barmid|3,,,reflexmini2|11,calcust|5,,stocks|3,,,,,WEAPON/LM_MGOLF36_V12,ui_loot_weapon_lm_mgolf36_v12,
12,iw8_lm_mgolf36_variant_12,iw8_lm_mgolf36,iw8_lm_mgolf36_mpv2,rec|12 front|12 back|12 mag|12 reargrip|12 toprail|12,,barmid|5,,,holo3|1,calcust|8,,stocks|5,,,,,WEAPON/LM_MGOLF36_V13,ui_loot_weapon_lm_mgolf36_v13,
13,iw8_lm_mgolf36_variant_13,iw8_lm_mgolf36,iw8_lm_mgolf36_mpv2,rec|13 front|13 back|13 mag|13 reargrip|13 toprail|13,comp|6,barshort|3,,,reflex5|3,,pistolgrip02|4,,maxammo,,,,WEAPON/LM_MGOLF36_V14,ui_loot_weapon_lm_mgolf36_v14,
14,iw8_lm_mgolf36_variant_14,iw8_lm_mgolf36,iw8_lm_mgolf36_mpv2,rec|14 front|14 back|14 mag|14 reargrip|14 toprail|14,brake|2,,laserbalanced|14,gripvertpro|6,,,pistolgrip03|1,,,,,,WEAPON/LM_MGOLF36_V15,ui_loot_weapon_lm_mgolf36_v15,
15,iw8_lm_mgolf36_variant_15,iw8_lm_mgolf36,iw8_lm_mgolf36_mpv2,rec|15 back|15 mag|15 reargrip|15 toprail|15,comp|10,barshort|5,,gripang|3,reflex2|3,calcust|10,,,,,,,WEAPON/LM_MGOLF36_V16,ui_loot_weapon_lm_mgolf36_v16,
