0,23110333|23379750|32074910|29117510|19880581,129546096563563016,t9_ch_ar_mobility_t9_ekia,0,30562310,143878972187650794,t9_ch_ar_mobility_t9_challenges,0,19236042,130947465255032883,t9_ch_weapon_assault_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,28585441,,,1,,,,,,,,,,,,,,,,,,
2,28855461,,,1,,,,,,,,,,,,,,,,,,
3,24234629,,,1,,,,,,,,,,,,,,,,,,
4,18671429,,,1,30219435|24495252|20030711|26076499|32449164,105882691654996973,t9_ch_ar_mobility_t9_headshots,1,,,,,,,,,,,,,,
5,19751960,,,1,,,,,,,,,,,,,,,,,,
6,28809211,,,2,,,,,,,,,,,,,,,,,,
7,21600038,,,2,,,,,,,,,,,,,,,,,,
8,27651726,,,2,,,,,,,,,,,,,,,,,,
9,24604744,,,2,32716407|22999798|22883540|23091635|30059846,73417613128321327,t9_ch_ar_mobility_t9_killstreak_5,2,,,,,,,,,,,,,,
10,19960973,,,2,,,,,,,,,,,,,,,,,,
11,33034569,,,3,,,,,,,,,,,,,,,,,,
12,33149478,,,3,,,,,,,,,,,,,,,,,,
13,29856335,,,3,,,,,,,,,,,,,,,,,,
14,21833088,,,3,,,,,,,,,,,,,,,,,,
15,31098813,,,3,,,,,,,,,,,,,,,,,,
16,25660828,,,4,,,,,,,,,,,,,,,,,,
17,28008402,,,4,,,,,,,,,,,,,,,,,,
18,24318737,,,4,,,,,,,,,,,,,,,,,,
19,25308056,,,4,18017150|23326460|26664418|22165068|26884791,137341186864171062,t9_ch_ar_mobility_t9_longshot_kill,4,,,,,,,,,,,,,,
20,22106707,,,4,,,,,,,,,,,,,,,,,,
21,20366449,,,5,,,,,,,,,,,,,,,,,,
22,32945653,,,5,,,,,,,,,,,,,,,,,,
23,23318600,,,5,,,,,,,,,,,,,,,,,,
24,29289019,,,5,,,,,,,,,,,,,,,,,,
25,19460564,,,5,,,,,,,,,,,,,,,,,,
26,24468238,,,6,,,,,,,,,,,,,,,,,,
27,21263352,,,6,,,,,,,,,,,,,,,,,,
28,27869741,,,6,,,,,,,,,,,,,,,,,,
29,22106833,,,6,19009636|29246363|23965859|18530024|33239592,72674475951956792,t9_ch_ar_mobility_t9_kill_detected_stunned_blinded,6,,,,,,,,,,,,,,
30,27525286,,,6,,,,,,,,,,,,,,,,,,
31,24022077,,,7,,,,,,,,,,,,,,,,,,
32,29496560,,,7,,,,,,,,,,,,,,,,,,
33,24342177,,,7,,,,,,,,,,,,,,,,,,
34,32989204,,,7,,,,,,,,,,,,,,,,,,
35,18564799,,,7,,,,,,,,,,,,,,,,,,
36,31699982,,,8,,,,,,,,,,,,,,,,,,
37,21323877,,,8,,,,,,,,,,,,,,,,,,
38,21061126,,,8,,,,,,,,,,,,,,,,,,
39,27403153,,,8,20821620|18671621|19903382|21746135|26664595,126648200930371021,t9_ch_ar_mobility_t9_kill_enemy_taking_cover_from_you,8,,,,,,,,,,,,,,
40,29032057,,,8,,,,,,,,,,,,,,,,,,
41,29101189,,,9,,,,,,,,,,,,,,,,,,
42,20518410,,,9,,,,,,,,,,,,,,,,,,
43,19359913,,,9,,,,,,,,,,,,,,,,,,
44,33351877,,,9,,,,,,,,,,,,,,,,,,
45,24864872,,,9,,,,,,,,,,,,,,,,,,
46,23130891,,,10,,,,,,,,,,,,,,,,,,
47,23660816,,,10,,,,,,,,,,,,,,,,,,
48,18055368,,,10,,,,,,,,,,,,,,,,,,
49,26499350,,,10,18970839|32427666|27411210|33002730|30991186,96447609075163761,t9_ch_ar_mobility_t9_multikill_2,10,,,,,,,,,,,,,,
50,21063438,,,10,,,,,,,,,,,,,,,,,,
51,23022571,,,11,,,,,,,,,,,,,,,,,,
52,22312428,,,11,,,,,,,,,,,,,,,,,,
53,18586386,,,11,,,,,,,,,,,,,,,,,,
54,27461206,,,11,,,,,,,,,,,,,,,,,,
