0,iw8_lm_mgolf34_variant_0,iw8_lm_mgolf34,,,,,,,,,,,,,,,WEAPON/LM_MGOLF34,ui_loot_weapon_lm_mgolf34,
1,iw8_lm_mgolf34_variant_1,iw8_lm_mgolf34,,rec|1 front|1 back|1 mag|1,,barlong|1,,,,drums|1,,stockh|2,,,,,WEAPON/LM_MGOLF34_V2,ui_loot_weapon_lm_mgolf34_v2,
2,iw8_lm_mgolf34_variant_2,iw8_lm_mgolf34,,rec|2 front|2 back|2 mag|2,,,,,acog2|4,,pistolgrip01|1,stocks|1,,,,,WEAPON/LM_MGOLF34_V3,ui_loot_weapon_lm_mgolf34_v3,
3,iw8_lm_mgolf34_variant_3,iw8_lm_mgolf34,,rec|3 front|3 back|3 mag|3,,barshort|2,,,holo|6,,,stockh|1,maxammo,,,,WEAPON/LM_MGOLF34_V4,ui_loot_weapon_lm_mgolf34_v4,
4,iw8_lm_mgolf34_variant_4,iw8_lm_mgolf34,,rec|4 front|4 back|4 mag|4,,barshort|1,laserbalanced|4,,holo3|3,,,stockl|1,,,,,WEAPON/LM_MGOLF34_V5,ui_loot_weapon_lm_mgolf34_v5,
5,iw8_lm_mgolf34_variant_5,iw8_lm_mgolf34,,rec|5 front|5 back|5 mag|5,,,,gripvertpro|11,,xmags|3,,,ammomod_wound,,,,WEAPON/LM_MGOLF34_V6,ui_loot_weapon_lm_mgolf34_v6,
6,iw8_lm_mgolf34_variant_6,iw8_lm_mgolf34,,rec|6 front|6 back|6 mag|6,,barlong|2,,,reflex4|1,xmags|2,pistolgrip01|2,stockh|3,,,,,WEAPON/LM_MGOLF34_V7,ui_loot_weapon_lm_mgolf34_v7,
7,iw8_lm_mgolf34_variant_7,iw8_lm_mgolf34,,rec|7 front|7 back|7 mag|7,,barshort|3,laserrange|4,gripvert|5,,,pistolgrip02|1,stockno|1,,,,,WEAPON/LM_MGOLF34_V8,ui_loot_weapon_lm_mgolf34_v8,
8,iw8_lm_mgolf34_variant_8,iw8_lm_mgolf34,,rec|8 front|8 back|8 mag|8,,barshort|4,laserbalanced|11,,holo3|14,drums|2,,stockl|2,,,,,WEAPON/LM_MGOLF34_V9,ui_loot_weapon_lm_mgolf34_v9,
9,iw8_lm_mgolf34_variant_9,iw8_lm_mgolf34,,rec|9 front|9 back|9 mag|9,comp|1,barshort|5,,gripvertpro|4,scope|9,,pistolgrip02|2,,,,,,WEAPON/LM_MGOLF34_V10,ui_loot_weapon_lm_mgolf34_v10,
10,iw8_lm_mgolf34_variant_10,iw8_lm_mgolf34,,rec|10 front|10 back|10 mag|10,silencer3|6,barmid|3,,,hybrid3|5,,,stockh|4,,,,,WEAPON/LM_MGOLF34_V11,ui_loot_weapon_lm_mgolf34_v11,
11,iw8_lm_mgolf34_variant_11,iw8_lm_mgolf34,,rec|11 front|11 back|11 mag|11,,,laserrange|13,,reflex|10,drums|3,,,,,,,WEAPON/LM_MGOLF34_V12,ui_loot_weapon_lm_mgolf34_v12,
12,iw8_lm_mgolf34_variant_12,iw8_lm_mgolf34,,rec|12 front|12 back|12 mag|12,,barshort|6,laserrange|10,,,,pistolgrip02|3,stockno|2,,,,,WEAPON/LM_MGOLF34_V13,ui_loot_weapon_lm_mgolf34_v13,
13,iw8_lm_mgolf34_variant_13,iw8_lm_mgolf34,,rec|13 front|13 back|13 mag|13,comp|11,,,gripang|10,hybrid4|10,,pistolgrip03|2,stocks|3,,,,,WEAPON/LM_MGOLF34_V14,ui_loot_weapon_lm_mgolf34_v14,
14,iw8_lm_mgolf34_variant_14,iw8_lm_mgolf34,,rec|14 front|14 back|14 mag|14,,barlong|3,,,acog|13,,,stocks|2,,,,,WEAPON/LM_MGOLF34_V15,ui_loot_weapon_lm_mgolf34_v15,
15,iw8_lm_mgolf34_variant_15,iw8_lm_mgolf34,,rec|15 front|15 back|15 mag|15,brake|1,,,gripang|2,reflexmini|10,,pistolgrip03|1,,fastreload,,,,WEAPON/LM_MGOLF34_V16,ui_loot_weapon_lm_mgolf34_v16,
