0,28593955|31550404|19964565|19497874|26311532,107653423757740175,t9_ch_launcher_freefire_t9_ekia,0,21311146,121469519597767300,t9_ch_launcher_freefire_t9_challenges,0,19796035,142013641515494439,t9_ch_weapon_launcher_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,
4,21638217|19725047|31814219|33239091|20524711,79630234479213851,t9_ch_launcher_freefire_t9_destroy_any,1,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,
9,28584149|32366679|28415766|28806350|27888042,104673689715854173,t9_ch_launcher_freefire_t9_killstreak_3,2,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,
14,17947681|25599185|19277766|19534015|28612083,104820441296251549,t9_ch_launcher_freefire_t9_destroy_vehicle_ground,3,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,
19,28149228|20877329|31768173|32000203|26736999,96036817499415512,t9_ch_launcher_freefire_t9_destroy_vehicle_air,4,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,
24,28040715|27676239|28368567|19991079|21803644,113635753155898992,t9_ch_launcher_freefire_t9_destroy_3_vehicles_in_one_game,5,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,
29,31091548|30467549|21604967|18515910|23104524,80829277315103837,t9_ch_launcher_freefire_t9_multikill_2,6,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,
