0,iw8_sn_kilo98_variant_0,iw8_sn_kilo98,,,,,,,,,,,,,,,WEAPON/SN_KILO98,ui_loot_weapon_sn_kilo98,
1,iw8_sn_kilo98_variant_1,iw8_sn_kilo98,iw8_sn_kilo98_mpv2,rec|1 front|1,,,,,vzscope|2,,,stockl|2,gunperk_xp,,,,WEAPON/SN_KILO98_V2,ui_loot_weapon_sn_kilo98_v2,
2,iw8_sn_kilo98_variant_2,iw8_sn_kilo98,iw8_sn_kilo98_mpv2,rec|2 front|2,silencer2|4,,,,vzscope|1,,,,gunperk_marksman,,,,WEAPON/SN_KILO98_V3,ui_loot_weapon_sn_kilo98_v3,
3,iw8_sn_kilo98_variant_3,iw8_sn_kilo98,iw8_sn_kilo98_mpv2,rec|3,,barshort|1,,,hybrid|4,,,stockl|1,fastreload,,,,WEAPON/SN_KILO98_V4,ui_loot_weapon_sn_kilo98_v4,
4,iw8_sn_kilo98_variant_4,iw8_sn_kilo98,iw8_sn_kilo98_mpv2,rec|4,brake|7,barlong|1,,,acog|7,,,stockh|2,gunperk_xp,,,,WEAPON/SN_KILO98_V5,ui_loot_weapon_sn_kilo98_v5,
5,iw8_sn_kilo98_variant_5,iw8_sn_kilo98,iw8_sn_kilo98_mpv2,rec|5,,barshort|2,,,hybrid|5,,pistolgrip03|1,stockl|4,,,,,WEAPON/SN_KILO98_V6,ui_loot_weapon_sn_kilo98_v6,
6,iw8_sn_kilo98_variant_6,iw8_sn_kilo98,iw8_sn_kilo98_mpv2,rec|6,silencer2|6,barlong|2,,,hybrid2|8,,,stockcust|1,,,,,WEAPON/SN_KILO98_V7,ui_loot_weapon_sn_kilo98_v7,
7,iw8_sn_kilo98_variant_7,iw8_sn_kilo98,iw8_sn_kilo98_mpv2,rec|7 front|7,,,laserbalanced|2,,hybrid3|1,,pistolgrip02|1,stockcust|2,,,,,WEAPON/SN_KILO98_V8,ui_loot_weapon_sn_kilo98_v8,
8,iw8_sn_kilo98_variant_8,iw8_sn_kilo98,iw8_sn_kilo98_mpv2,rec|8 front|8,silencer3|4,,laserbalanced|4,,acog2|4,,pistolgrip02|2,stockh|3,,,,,WEAPON/SN_KILO98_V9,ui_loot_weapon_sn_kilo98_v9,
9,iw8_sn_kilo98_variant_9,iw8_sn_kilo98,iw8_sn_kilo98_mpv2,rec|9 front|9,silencer3|5,,,,scope|2,,pistolgrip01|2,,fastreload,,,,WEAPON/SN_KILO98_V10,ui_loot_weapon_sn_kilo98_v10,
10,iw8_sn_kilo98_variant_10,iw8_sn_kilo98,,rec|10 front|10,silencer2|7,scope|3,,bipod|1,,,,stockcust|3,flinch,,,,WEAPON/SN_KILO98_V11,ui_loot_weapon_sn_kilo98_v11,
11,iw8_sn_kilo98_variant_11,iw8_sn_kilo98,iw8_sn_kilo98_mpv2,rec|9 front|11,,,,,,,,,,,,,WEAPON/SN_KILO98_V12,ui_loot_weapon_sn_kilo98_v12,
12,iw8_sn_kilo98_variant_12,iw8_sn_kilo98,iw8_sn_kilo98_mpv2,rec|9 front|12,,,,,,,,,,,,,WEAPON/SN_KILO98_V13,ui_loot_weapon_sn_kilo98_v13,
13,iw8_sn_kilo98_variant_13,iw8_sn_kilo98,iw8_sn_kilo98_mpv2,rec|9 front|13,,,,,,,,,,,,,WEAPON/SN_KILO98_V14,ui_loot_weapon_sn_kilo98_v14,
14,iw8_sn_kilo98_variant_14,iw8_sn_kilo98,iw8_sn_kilo98_mpv2,rec|9 front|14,,,,,,,,,,,,,WEAPON/SN_KILO98_V15,ui_loot_weapon_sn_kilo98_v15,
15,iw8_sn_kilo98_variant_15,iw8_sn_kilo98,iw8_sn_kilo98_mpv2,rec|15 front|15,,,,,,,,,,,,,WEAPON/SN_KILO98_V16,ui_loot_weapon_sn_kilo98_v16,
16,iw8_sn_kilo98_variant_16,iw8_sn_kilo98,iw8_sn_kilo98_mpa,rec|0,,barlong|3,,,vzscope|3,,pistolgrip02|3,stockcust|4,gunperk_marksman,,,,WEAPON/SN_KILO98_V17,ui_loot_weapon_sn_kilo98_v17,
