0,31238398|20014052|20497970|32372161|31098262,129380774745391090,t9_ch_sniper_powersemi_t9_ekia,0,32642630,122769144021365598,t9_ch_sniper_powersemi_t9_challenges,0,24115098,72333347746049753,t9_ch_weapon_sniper_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,32580769,,,1,,,,,,,,,,,,,,,,,,
2,19457674,,,1,,,,,,,,,,,,,,,,,,
3,30787043,,,1,,,,,,,,,,,,,,,,,,
4,25433893,,,1,28654313|20422423|23274964|31783500|30254865,72099587598794629,t9_ch_sniper_powersemi_t9_headshots,1,,,,,,,,,,,,,,
5,19742804,,,1,,,,,,,,,,,,,,,,,,
6,30599465,,,2,,,,,,,,,,,,,,,,,,
7,33548483,,,2,,,,,,,,,,,,,,,,,,
8,22497200,,,2,,,,,,,,,,,,,,,,,,
9,21922476,,,2,32117843|20715480|31310839|25724394|29708018,73386616496090395,t9_ch_sniper_powersemi_t9_killstreak_5,2,,,,,,,,,,,,,,
10,20712750,,,2,,,,,,,,,,,,,,,,,,
11,26192334,,,3,,,,,,,,,,,,,,,,,,
12,23560183,,,3,,,,,,,,,,,,,,,,,,
13,24012371,,,3,,,,,,,,,,,,,,,,,,
14,30802373,,,3,,,,,,,,,,,,,,,,,,
15,27172112,,,3,,,,,,,,,,,,,,,,,,
16,31842431,,,4,,,,,,,,,,,,,,,,,,
17,21858185,,,4,,,,,,,,,,,,,,,,,,
18,28867138,,,4,,,,,,,,,,,,,,,,,,
19,20864761,,,4,29928788|23507616|18406633|20217474|32506541,102442795318463215,t9_ch_sniper_powersemi_t9_longshot_kill,4,,,,,,,,,,,,,,
20,25878438,,,4,,,,,,,,,,,,,,,,,,
21,23908332,,,5,,,,,,,,,,,,,,,,,,
22,27914232,,,5,,,,,,,,,,,,,,,,,,
23,27438438,,,5,,,,,,,,,,,,,,,,,,
24,19841780,,,5,,,,,,,,,,,,,,,,,,
25,28270795,,,5,,,,,,,,,,,,,,,,,,
26,32184654,,,6,,,,,,,,,,,,,,,,,,
27,28601020,,,6,,,,,,,,,,,,,,,,,,
28,21201225,,,6,,,,,,,,,,,,,,,,,,
29,30861924,,,6,21031775|26289994|23151123|18462937|25048424,76464117087085240,t9_ch_sniper_powersemi_t9_kill_enemy_while_holding_breath,6,,,,,,,,,,,,,,
30,30238687,,,6,,,,,,,,,,,,,,,,,,
31,19468415,,,7,,,,,,,,,,,,,,,,,,
32,23801975,,,7,,,,,,,,,,,,,,,,,,
33,30876227,,,7,,,,,,,,,,,,,,,,,,
34,21108764,,,7,,,,,,,,,,,,,,,,,,
35,29110833,,,7,,,,,,,,,,,,,,,,,,
36,27353847,,,8,,,,,,,,,,,,,,,,,,
37,22305470,,,8,,,,,,,,,,,,,,,,,,
38,23913005,,,8,,,,,,,,,,,,,,,,,,
39,28559837,,,8,17915661|26509502|18451145|32501518|22642747,122650203406192453,t9_ch_sniper_powersemi_t9_kill_enemy_one_bullet_sniper,8,,,,,,,,,,,,,,
40,18575776,,,8,,,,,,,,,,,,,,,,,,
41,23867816,,,9,,,,,,,,,,,,,,,,,,
42,24852009,,,9,,,,,,,,,,,,,,,,,,
43,18210275,,,9,,,,,,,,,,,,,,,,,,
44,22750577,,,9,,,,,,,,,,,,,,,,,,
45,18198367,,,9,,,,,,,,,,,,,,,,,,
46,22208028,,,10,,,,,,,,,,,,,,,,,,
47,29499896,,,10,,,,,,,,,,,,,,,,,,
48,27690423,,,10,,,,,,,,,,,,,,,,,,
49,19143280,,,10,28228895|25644759|22120035|29083480|23184593,135985086323409153,t9_ch_sniper_powersemi_t9_multikill_2,10,,,,,,,,,,,,,,
50,25444530,,,10,,,,,,,,,,,,,,,,,,
51,21088658,,,11,,,,,,,,,,,,,,,,,,
52,25973628,,,11,,,,,,,,,,,,,,,,,,
53,27711660,,,11,,,,,,,,,,,,,,,,,,
54,29165508,,,11,,,,,,,,,,,,,,,,,,
