0,iw8_sm_papa90_variant_0,iw8_sm_papa90,,,,,,,,,,,,,,,WEAPON/SM_PAPA90,ui_loot_weapon_sm_papa90,,,
1,iw8_sm_papa90_variant_1,iw8_sm_papa90,iw8_sm_papa90_mpv2,rec|1 front|1 mag|1,comp|4,,laserrange|3,,,,,,fastreload,,,,WEAPON/SM_PAPA90_V2,ui_loot_weapon_sm_papa90_v2,,,
2,iw8_sm_papa90_variant_2,iw8_sm_papa90,iw8_sm_papa90_mpv2,rec|2 front|2 mag|2,silencer|2,,laserbalanced|1,,holo|4,,,,ammomod_slow,,,,WEAPON/SM_PAPA90_V3,ui_loot_weapon_sm_papa90_v3,,,
3,iw8_sm_papa90_variant_3,iw8_sm_papa90,iw8_sm_papa90_mpv2,rec|3 front|3 mag|3,comp|2,,laserbalanced|2,,holo|5,,pistolgrip02|1,,ammomod_wound,,,,WEAPON/SM_PAPA90_V4,ui_loot_weapon_sm_papa90_v4,,,
4,iw8_sm_papa90_variant_4,iw8_sm_papa90,iw8_sm_papa90_mpv2,rec|4 front|4 mag|4,flashhider|1,,,gripvertpro|1,reflexmini|2,,,stocks|2,maxammo,,,,WEAPON/SM_PAPA90_V5,ui_loot_weapon_sm_papa90_v5,,,
5,iw8_sm_papa90_variant_5,iw8_sm_papa90,iw8_sm_papa90_mpv2,rec|5 mag|5,melee|1,barlong|2,,,reflex2|6,,,stockh|2,,,,,WEAPON/SM_PAPA90_V6,ui_loot_weapon_sm_papa90_v6,,,
6,iw8_sm_papa90_variant_6,iw8_sm_papa90,iw8_sm_papa90_mpv2,rec|6 mag|6,,barlong|1,laser|1,gripvert|1,,,,,,,,,WEAPON/SM_PAPA90_V7,ui_loot_weapon_sm_papa90_v7,,,
7,iw8_sm_papa90_variant_7,iw8_sm_papa90,iw8_sm_papa90_mpv2,rec|7 mag|7,comp|3,barcust|2,,,hybrid4|2,,,stocks|3,fmj,,,,WEAPON/SM_PAPA90_V8,ui_loot_weapon_sm_papa90_v8,,,
8,iw8_sm_papa90_variant_8,iw8_sm_papa90,iw8_sm_papa90_mpv2,rec|8 mag|8,brake|10,,laserrange|4,,scope|1,,pistolgrip01|2,stockl|3,,,,,WEAPON/SM_PAPA90_V9,ui_loot_weapon_sm_papa90_v9,,,
9,iw8_sm_papa90_variant_9,iw8_sm_papa90,iw8_sm_papa90_mpv2,rec|9 mag|9,brake|11,,,gripcust|1,reflex2|7,,pistolgrip03|1,stocks|4,,,,,WEAPON/SM_PAPA90_V10,ui_loot_weapon_sm_papa90_v10,,,
10,iw8_sm_papa90_variant_10,iw8_sm_papa90,iw8_sm_papa90_mpv2,rec|10 mag|10,silencer3|15,barcust|3,,,scope|3,,pistolgrip03|3,stockl|6,,,,,WEAPON/SM_PAPA90_V11,ui_loot_weapon_sm_papa90_v11,,,
11,iw8_sm_papa90_variant_11,iw8_sm_papa90,iw8_sm_papa90_mpmtx,rec|11 mag|11,comp|7,barlong|3,laser|2,,,,pistolgrip02|2,stockl|4,,,,,WEAPON/SM_PAPA90_V12,ui_loot_weapon_sm_papa90_v12,,pink,
12,iw8_sm_papa90_variant_12,iw8_sm_papa90,iw8_sm_papa90_mpv2,rec|12 mag|12,comp|11,,,,scope|2,,pistolgrip03|2,stockl|5,,,,,WEAPON/SM_PAPA90_V13,ui_loot_weapon_sm_papa90_v13,,,
13,iw8_sm_papa90_variant_13,iw8_sm_papa90,iw8_sm_papa90_mpv2,rec|13 front|13 mag|13,silencer3|3,barcust|4,,,holo3|14,,pistolgrip03|5,stockh|3,,,,,WEAPON/SM_PAPA90_V14,ui_loot_weapon_sm_papa90_v14,,,
14,iw8_sm_papa90_variant_14,iw8_sm_papa90,iw8_sm_papa90_mpv2,rec|14 front|14 mag|14,silencer2|1,barlong|5,,,hybrid2|1,,pistolgrip02|3,,,,,,WEAPON/SM_PAPA90_V15,ui_loot_weapon_sm_papa90_v15,,,
15,iw8_sm_papa90_variant_15,iw8_sm_papa90,iw8_sm_papa90_mpmtx2,rec|15 front|15 mag|15,silencer3|6,,laserrange|5,gripvertpro|2,,,pistolgrip03|4,stockl|7,,,,,WEAPON/SM_PAPA90_V16,ui_loot_weapon_sm_papa90_v16,,,
16,iw8_sm_papa90_variant_16,iw8_sm_papa90,iw8_sm_papa90_mpv2a,rec|0 front|0 mag|0,comp|4,barlong|4,,,,,,stockl|8,,,,,WEAPON/SM_PAPA90_V17,ui_loot_weapon_sm_papa90_v17,,,
17,iw8_sm_papa90_variant_17,iw8_sm_papa90,iw8_sm_papa90_mpv2a,rec|1 front|1 mag|1,brake|13,,laser|3,,reflex3|1,,,stockh|4,,,,,WEAPON/SM_PAPA90_V18,ui_loot_weapon_sm_papa90_v18,,,
18,iw8_sm_papa90_variant_18,iw8_sm_papa90,iw8_sm_papa90_mpmtx3,rec|2 front|2 mag|2,brake|4,barcust|5,laserbalanced|3,,scope|4,,,,maxammo,,,,WEAPON/SM_PAPA90_V19,ui_loot_weapon_sm_papa90_v19,,sixteenBit,
19,iw8_sm_papa90_variant_19,iw8_sm_papa90,iw8_sm_papa90_mpv2a,rec|3 front|3 mag|3,comp|5,barlong|6,,,,,,stocks|5,,,,,WEAPON/SM_PAPA90_V20,ui_loot_weapon_sm_papa90_v20,,,
20,iw8_sm_papa90_variant_20,iw8_sm_papa90,iw8_sm_papa90_mpmtx4,rec|4 front|4 mag|4,comp|6,barlong|7,,gripvertpro|3,reflexmini2|13,,pistolgrip02|4,,,,,,WEAPON/SM_PAPA90_V21,ui_loot_weapon_sm_papa90_v21,,amethyst,
21,iw8_sm_papa90_variant_21,iw8_sm_papa90,iw8_sm_papa90_mpv2a,rec|0 front|0 mag|0,,,,,,,,,,,,,WEAPON/SM_PAPA90_V22,ui_loot_weapon_sm_papa90_v22,,,
22,iw8_sm_papa90_variant_22,iw8_sm_papa90,iw8_sm_papa90_mpv2a,rec|0 front|0 mag|0,,,,,,,,,,,,,WEAPON/SM_PAPA90_V23,ui_loot_weapon_sm_papa90_v23,,,
23,iw8_sm_papa90_variant_23,iw8_sm_papa90,iw8_sm_papa90_mpv2a,rec|0 front|0 mag|0,,,,,,,,,,,,,WEAPON/SM_PAPA90_V24,ui_loot_weapon_sm_papa90_v24,,,
