0,,,,,,,,,,,,,,,,,,,,,
1,2013000,,,1,2013001|2013002|2013003|2013004|2013005|2013006|2013007|2013008|2013009,933,ch_gs_me_riotshield_camo_01b,1,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,
5,2013010,,,1,2013011|2013012|2013013|2013014|2013015|2013016|2013017|2013018|2013019,934,ch_gs_me_riotshield_camo_02b,1,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,
8,2013020,,,2,2013021|2013022|2013023|2013024|2013025|2013026|2013027|2013028|2013029,935,ch_gs_me_riotshield_camo_03b,2,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
11,2013030,,,3,2013031|2013032|2013033|2013034|2013035|2013036|2013037|2013038|2013039,936,ch_gs_me_riotshield_camo_04b,3,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,
15,2013040,,,3,2013041|2013042|2013043|2013044|2013045|2013046|2013047|2013048|2013049,937,ch_gs_me_riotshield_camo_05b,3,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
18,2013050,,,4,2013051|2013052|2013053|2013054|2013055|2013056|2013057|2013058|2013059,938,ch_gs_me_riotshield_camo_06b,4,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,
21,2013060,,,5,2013061|2013062|2013063|2013064|2013065|2013066|2013067|2013068|2013069,939,ch_gs_me_riotshield_camo_07b,5,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,
24,2013070,,,5,2013071|2013072|2013073|2013074|2013075|2013076|2013077|2013078|2013079,940,ch_gs_me_riotshield_camo_08b,5,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,
27,2013080,,,6,2013081|2013082|2013083|2013084|2013085|2013086|2013087|2013088|2013089,941,ch_gs_me_riotshield_camo_09b,6,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,
30,2013090,,,6,2013091|2013092|2013093|2013094|2013095|2013096|2013097|2013098|2013099,942,ch_gs_me_riotshield_camo_10b,6,2013100,1636,iw8_me_riotshield_gold_camo,6,2013101,1674,iw8_me_riotshield_diamond_camo,6,2013102,1712,iw8_me_riotshield_black_camo,6,
-1,2013118,9024,ch_gs_me_riotshield_camo_11d,7,,,,,,,,,,,,,,,,,
