0,iw8_pi_golf21_variant_0,iw8_pi_golf21,,,,,,,,,,,,,,,WEAPON/PI_GOLF21,ui_loot_weapon_pi_golf21,,,,
1,iw8_pi_golf21_variant_1,iw8_pi_golf21,iw8_pi_golf21_mpv2,rec|1 front|1 back|0 mag|1,flashhider|5,,laserrange|3,,reflexmini|4,,,,ammomod_wound,,,,WEAPON/PI_GOLF21_V2,ui_loot_weapon_pi_golf21_v2,,,,
2,iw8_pi_golf21_variant_2,iw8_pi_golf21,iw8_pi_golf21_mpv3,rec|2 front|2 back|0 mag|2,,barmid|2,,,,,,,gunperk_xp,,,,WEAPON/PI_GOLF21_V3,ui_loot_weapon_pi_golf21_v3,,,,
3,iw8_pi_golf21_variant_3,iw8_pi_golf21,iw8_pi_golf21_mpv3,rec|3 front|3 back|0 mag|3,comp|2,,,,reflexmini3|7,,pistolgrip02|1,,gunperk_fastmelee,,,,WEAPON/PI_GOLF21_V4,ui_loot_weapon_pi_golf21_v4,,,,
4,iw8_pi_golf21_variant_4,iw8_pi_golf21,iw8_pi_golf21_mpv2,rec|4 front|4 back|0 mag|4,,barshort|2,laser|14,,,,,,fastreload,,,,WEAPON/PI_GOLF21_V5,ui_loot_weapon_pi_golf21_v5,,,,
5,iw8_pi_golf21_variant_5,iw8_pi_golf21,iw8_pi_golf21_mpv2,rec|5 front|5 back|0 mag|5,,barlong|5,,,,xmags|6,pistolgrip02|3,,akimbo,trigcust|9,,,WEAPON/PI_GOLF21_V6,ui_loot_weapon_pi_golf21_v6,,,,
6,iw8_pi_golf21_variant_6,iw8_pi_golf21,iw8_pi_golf21_mpv3,rec|6 front|6 back|0 mag|6,brake|5,,,,reflexmini2|3,xmagslrg|1,stockcust|1,,,trigcust|2,,,WEAPON/PI_GOLF21_V7,ui_loot_weapon_pi_golf21_v7,,,,
7,iw8_pi_golf21_variant_7,iw8_pi_golf21,iw8_pi_golf21_mpv2,rec|7 front|7 back|7 mag|7,silencer|3,,laser|3,,reflexmini3|4,xmags|1,,,,trigcust02|1,,,WEAPON/PI_GOLF21_V8,ui_loot_weapon_pi_golf21_v8,,,,
8,iw8_pi_golf21_variant_8,iw8_pi_golf21,iw8_pi_golf21_mpv2,rec|8 front|8 back|0 mag|8,brake|4,barshort|1,,,reflexmini|5,,,,,trigcust|1,,,WEAPON/PI_GOLF21_V9,ui_loot_weapon_pi_golf21_v9,,,,
9,iw8_pi_golf21_variant_9,iw8_pi_golf21,iw8_pi_golf21_mpv3,rec|9 front|9 back|0 mag|9,silencer|4,barlong|3,laserbalanced|5,,,,stockcust|3,,,,,,WEAPON/PI_GOLF21_V10,ui_loot_weapon_pi_golf21_v10,,,,
10,iw8_pi_golf21_variant_10,iw8_pi_golf21,iw8_pi_golf21_mpv2,rec|10 front|10 back|0 mag|10,brake|6,,,,,xmags|2,stockcust|2,,akimbo,trigcust|3,,,WEAPON/PI_GOLF21_V11,ui_loot_weapon_pi_golf21_v11,,,,
11,iw8_pi_golf21_variant_11,iw8_pi_golf21,iw8_pi_golf21_mpv2,rec|11 front|11 back|11 mag|11,comp|5,barlong|2,,,reflexmini2|4,,pistolgrip01|1,,,trigcust|4,,,WEAPON/PI_GOLF21_V12,ui_loot_weapon_pi_golf21_v12,,,,
12,iw8_pi_golf21_variant_12,iw8_pi_golf21,,rec|12 front|12 back|12 mag|12,,barshort|3,laser|10,,,,pistolgrip03|2,,maxammo,trigcust03|1,,,WEAPON/PI_GOLF21_V13,ui_loot_weapon_pi_golf21_v13,,,,
13,iw8_pi_golf21_variant_13,iw8_pi_golf21,iw8_pi_golf21_mpv3,rec|13 front|13 back|0 mag|13,,barmid|3,laserrange|15,,,,pistolgrip02|2,,,trigcust03|2,,,WEAPON/PI_GOLF21_V14,ui_loot_weapon_pi_golf21_v14,,,,
14,iw8_pi_golf21_variant_14,iw8_pi_golf21,,rec|14 back|0 mag|14,,barmid|8,laserbalanced|2,,reflexmini3|11,xmags|7,,,,trigcust|12,,,WEAPON/PI_GOLF21_V15,ui_loot_weapon_pi_golf21_v15,,,,
15,iw8_pi_golf21_variant_15,iw8_pi_golf21,iw8_pi_golf21_mpv2,rec|15 front|15 back|0 mag|15,,barshort|4,,,,xmags|3,pistolgrip03|3,,fastreload,trigcust|6,,,WEAPON/PI_GOLF21_V16,ui_loot_weapon_pi_golf21_v16,,,,
