0,0,
1,5000,
2,10000,
3,15000,
4,20000,
5,25000,
6,30000,
7,35000,
8,40000,
9,45000,
10,50000,
11,55000,
12,60000,
13,65000,
14,70000,
15,75000,
16,80000,
17,85000,
18,90000,
19,95000,
20,100000,
21,105000,
22,110000,
23,115000,
24,120000,
25,125000,
26,130000,
27,135000,
28,140000,
29,145000,
30,150000,
31,155000,
32,160000,
33,165000,
34,170000,
35,175000,
36,180000,
37,185000,
38,190000,
39,195000,
40,200000,
41,205000,
42,210000,
43,215000,
44,220000,
45,225000,
46,230000,
47,235000,
48,240000,
49,245000,
50,250000,
51,255000,
52,260000,
53,265000,
54,270000,
55,275000,
56,280000,
57,285000,
58,290000,
59,295000,
60,300000,
61,305000,
62,310000,
63,315000,
64,320000,
65,325000,
66,330000,
67,335000,
68,340000,
69,345000,
70,350000,
71,355000,
72,360000,
73,365000,
74,370000,
75,375000,
76,380000,
77,385000,
78,390000,
79,395000,
80,400000,
81,405000,
82,410000,
83,415000,
84,420000,
85,425000,
86,430000,
87,435000,
88,440000,
89,445000,
90,450000,
91,455000,
92,460000,
93,465000,
94,470000,
95,475000,
96,480000,
97,485000,
98,490000,
99,495000,
100,500000,
