0,iw8_ar_scharlie_variant_0,iw8_ar_scharlie,,,,,,,,,,,,,,,WEAPON/AR_SCHARLIE,ui_loot_weapon_ar_scharlie,,,,
1,iw8_ar_scharlie_variant_1,iw8_ar_scharlie,iw8_ar_scharlie_mpv2,rec|1 front|1 back|1 mag|1,,barlong|3,,,,,pistolgrip02|1,,ammomod_wound,,,,WEAPON/AR_SCHARLIE_V2,ui_loot_weapon_ar_scharlie_v2,,,,
2,iw8_ar_scharlie_variant_2,iw8_ar_scharlie,,rec|2 front|2 back|2 mag|2,,barlong|2,,gl|1,acog|10,xmags|1,,,,,,,WEAPON/AR_SCHARLIE_V3,ui_loot_weapon_ar_scharlie_v3,,,,
3,iw8_ar_scharlie_variant_3,iw8_ar_scharlie,,rec|3 front|3 back|3 mag|3,,barshort|2,,,reflex|2,,,stockl|2,fastreload,,,,WEAPON/AR_SCHARLIE_V4,ui_loot_weapon_ar_scharlie_v4,,,,
4,iw8_ar_scharlie_variant_4,iw8_ar_scharlie,,rec|4 front|4 back|4 mag|4,,barlong|1,,,scope|3,,,stockcust|1,gunperk_marksman,,,,WEAPON/AR_SCHARLIE_V5,ui_loot_weapon_ar_scharlie_v5,,,,
5,iw8_ar_scharlie_variant_5,iw8_ar_scharlie,,rec|5 front|5 back|5 mag|5,brake|3,,,,hybrid2|7,xmags|2,,stockh|1,ammomod_slow,,,,WEAPON/AR_SCHARLIE_V6,ui_loot_weapon_ar_scharlie_v6,,,,
6,iw8_ar_scharlie_variant_6,iw8_ar_scharlie,iw8_ar_scharlie_mpv2,rec|6 front|6 back|6 mag|6,,barshort|7,laserrange|11,gripvert|7,,xmagslrg|3,,stockl|6,,,,,WEAPON/AR_SCHARLIE_V7,ui_loot_weapon_ar_scharlie_v7,,,,
7,iw8_ar_scharlie_variant_7,iw8_ar_scharlie,iw8_ar_scharlie_mpv2,rec|7 front|7 back|7 mag|7,brake|6,barlong|4,,ubshtgn|4,holo2|6,xmagslrg|1,,,,,,,WEAPON/AR_SCHARLIE_V8,ui_loot_weapon_ar_scharlie_v8,,,,
8,iw8_ar_scharlie_variant_8,iw8_ar_scharlie,iw8_ar_scharlie_mpv2,rec|8 front|8 back|8 mag|8,,barlong|5,,gripcust|1,hybrid4|3,,,stockh|2,,,,,WEAPON/AR_SCHARLIE_V9,ui_loot_weapon_ar_scharlie_v9,,,,
9,iw8_ar_scharlie_variant_9,iw8_ar_scharlie,iw8_ar_scharlie_mpv2,rec|9 front|9 back|9 mag|9,,barshort|5,,gripvert|5,scope|8,,,stockl|4,,,,,WEAPON/AR_SCHARLIE_V10,ui_loot_weapon_ar_scharlie_v10,,,,
10,iw8_ar_scharlie_variant_10,iw8_ar_scharlie,iw8_ar_scharlie_mpv2,rec|10 front|10 back|10 mag|10,,barshort|3,,gl|2,vzscope|5,,pistolgrip02|2,stockl|3,,,,,WEAPON/AR_SCHARLIE_V11,ui_loot_weapon_ar_scharlie_v11,,,,
11,iw8_ar_scharlie_variant_11,iw8_ar_scharlie,iw8_ar_scharlie_mpmtx,rec|11 front|11 back|11 mag|11,comp|12,barshort|4,laserbalanced|8,,hybrid4|2,xmags|3,,,,,,,WEAPON/AR_SCHARLIE_V12,ui_loot_weapon_ar_scharlie_v12,,red,,
