0,iw8_sh_romeo870_variant_0,iw8_sh_romeo870,,,,,,,,,,,,,,,WEAPON/SH_ROMEO870,ui_loot_weapon_sh_romeo870,,,,
1,iw8_sh_romeo870_variant_1,iw8_sh_romeo870,iw8_sh_romeo870_mpv2,rec|1 front|1 back|1 mag|1 guardnogrip|1,,,,,reflexmini3|4,,,stockl|2,fastreload,,,,WEAPON/SH_ROMEO870_V2,ui_loot_weapon_sh_romeo870_v2,,,,
2,iw8_sh_romeo870_variant_2,iw8_sh_romeo870,,rec|2 front|2 mag|2 guardrail|2,comp|7,barcust|1,,gripvertpro|1,,,,stockh|1,gunperk_xp,,,,WEAPON/SH_ROMEO870_V3,ui_loot_weapon_sh_romeo870_v3,,,,
3,iw8_sh_romeo870_variant_3,iw8_sh_romeo870,,rec|3 front|3 mag|3,silencer2|1,,,gripcust2|3,,,,stocks|2,,,,,WEAPON/SH_ROMEO870_V4,ui_loot_weapon_sh_romeo870_v4,,,,
4,iw8_sh_romeo870_variant_4,iw8_sh_romeo870,,rec|4 front|4 mag|4 guardrail|4,,,,,,,,stocks|1,,,,,WEAPON/SH_ROMEO870_V5,ui_loot_weapon_sh_romeo870_v5,,,,
5,iw8_sh_romeo870_variant_5,iw8_sh_romeo870,,rec|5 mag|5 guardrail|5,melee|1,barshort|1,,gripvert|3,,,,stockno|1,,,,,WEAPON/SH_ROMEO870_V6,ui_loot_weapon_sh_romeo870_v6,,,,
6,iw8_sh_romeo870_variant_6,iw8_sh_romeo870,iw8_sh_romeo870_mpv2,rec|6 back|6 mag|6,brake|1,barlong|1,,gripcust2|1,reflexmini2|5,,,,fastreload,,,,WEAPON/SH_ROMEO870_V7,ui_loot_weapon_sh_romeo870_v7,,,,
7,iw8_sh_romeo870_variant_7,iw8_sh_romeo870,iw8_sh_romeo870_mpv3,rec|7 mag|7,,barcust|4,laserrange|1,gripcust|1,holo|7,,,stockh|2,,,,,WEAPON/SH_ROMEO870_V8,ui_loot_weapon_sh_romeo870_v8,,,,
8,iw8_sh_romeo870_variant_8,iw8_sh_romeo870,,rec|8 mag|8,choke|1,barlong|2,,gripcust2|2,,,,stocks|5,,,,,WEAPON/SH_ROMEO870_V9,ui_loot_weapon_sh_romeo870_v9,,,,
9,iw8_sh_romeo870_variant_9,iw8_sh_romeo870,iw8_sh_romeo870_mpv3,rec|9 front|9 mag|9,,,,gripcust|2,acog3|4,,,stockh|3,,,,,WEAPON/SH_ROMEO870_V10,ui_loot_weapon_sh_romeo870_v10,,,,
10,iw8_sh_romeo870_variant_10,iw8_sh_romeo870,iw8_sh_romeo870_mpv2,rec|10 front|10 back|10 mag|10,choke|3,,laserrange|3,gripcust|3,,,,stockno|2,,,,,WEAPON/SH_ROMEO870_V11,ui_loot_weapon_sh_romeo870_v11,,,,
11,iw8_sh_romeo870_variant_11,iw8_sh_romeo870,,rec|11 guardnogrip|11,silencer2|5,barlong|3,,,reflex4|2,xmags|1,,stockcust|1,,,,,WEAPON/SH_ROMEO870_V12,ui_loot_weapon_sh_romeo870_v12,,,,
12,iw8_sh_romeo870_variant_12,iw8_sh_romeo870,iw8_sh_romeo870_mpv2,rec|12 back|12,,,laserbalanced|15,gripcust|5,,calcustmags2|1,,stockno|3,fastreload,,,barextra|1,WEAPON/SH_ROMEO870_V13,ui_loot_weapon_sh_romeo870_v13,,,,
13,iw8_sh_romeo870_variant_13,iw8_sh_romeo870,iw8_sh_romeo870_mpv2,rec|13 front|13 back|13 mag|13 guardnogrip|13,silencer3|1,barlong|4,laserbalanced|4,,,calcust2|2,,stocks|7,,,,,WEAPON/SH_ROMEO870_V14,ui_loot_weapon_sh_romeo870_v14,,,,
14,iw8_sh_romeo870_variant_14,iw8_sh_romeo870,,rec|14 ,melee|2,barshort|2,,gripcust|4,,xmags|2,,stockh|5,,,,,WEAPON/SH_ROMEO870_V15,ui_loot_weapon_sh_romeo870_v15,,,,
