0,iw8_sn_hdromeo_variant_0,iw8_sn_hdromeo,,,,,,,,,,,,,,,WEAPON/SN_HDROMEO,ui_loot_weapon_sn_hdromeo,
1,iw8_sn_hdromeo_variant_1,iw8_sn_hdromeo,,rec|1 front|1 mag|1,,,,,vzscope|0,,,stocks|1,gunperk_xp,,,,WEAPON/SN_HDROMEO_V2,ui_loot_weapon_sn_hdromeo_v2,
2,iw8_sn_hdromeo_variant_2,iw8_sn_hdromeo,,rec|2 back|2 mag|2 scope|2,,barsil|1,,,,,,,,,,,WEAPON/SN_HDROMEO_V3,ui_loot_weapon_sn_hdromeo_v3,
3,iw8_sn_hdromeo_variant_3,iw8_sn_hdromeo,,rec|3 mag|3,,barsil2|1,,,vzscope|1,,,stockh|1,gunperk_marksman,,,,WEAPON/SN_HDROMEO_V4,ui_loot_weapon_sn_hdromeo_v4,
4,iw8_sn_hdromeo_variant_4,iw8_sn_hdromeo,,rec|4 front|4 mag|4,brake|2,,,,vzscope|2,xmags|2,,stocks|2,fastreload,,,,WEAPON/SN_HDROMEO_V5,ui_loot_weapon_sn_hdromeo_v5,
5,iw8_sn_hdromeo_variant_5,iw8_sn_hdromeo,,rec|5 front|5 mag|5,silencer2|1,,,,acog|1,,,stockcust|1,flinch,,,pistolgrip01|1,WEAPON/SN_HDROMEO_V6,ui_loot_weapon_sn_hdromeo_v6,
6,iw8_sn_hdromeo_variant_6,iw8_sn_hdromeo,,rec|6 front|6 mag|6 scope|0,silencer2|2,barlong|1,,,thermal|1,,,stockl|2,gunperk_holdbreath,,,,WEAPON/SN_HDROMEO_V7,ui_loot_weapon_sn_hdromeo_v7,
7,iw8_sn_hdromeo_variant_7,iw8_sn_hdromeo,,rec|7 mag|7 scope|3,,barsil2|2,,,,,,stockh|2,gunperk_fastmelee,,,,WEAPON/SN_HDROMEO_V8,ui_loot_weapon_sn_hdromeo_v8,
8,iw8_sn_hdromeo_variant_8,iw8_sn_hdromeo,,rec|8 front|8 mag|8,,,,,vzscope|3,,,stocks|3,fastreload,,,,WEAPON/SN_HDROMEO_V9,ui_loot_weapon_sn_hdromeo_v9,
9,iw8_sn_hdromeo_variant_9,iw8_sn_hdromeo,,rec|9 back|9 mag|9,silencer|2,barlong|2,laserbalanced|1,,acog2|1,,,stocks|4,,,,,WEAPON/SN_HDROMEO_V10,ui_loot_weapon_sn_hdromeo_v10,
10,iw8_sn_hdromeo_variant_10,iw8_sn_hdromeo,,rec|10 scope|5,silencer2|3,barlong|3,,bipod|1,,xmags|1,,stocks|5,,,,,WEAPON/SN_HDROMEO_V11,ui_loot_weapon_sn_hdromeo_v11,
11,iw8_sn_hdromeo_variant_11,iw8_sn_hdromeo,,rec|9 back|9 mag|11,,,,,,,,,,,,,WEAPON/SN_HDROMEO_V12,ui_loot_weapon_sn_hdromeo_v12,
12,iw8_sn_hdromeo_variant_12,iw8_sn_hdromeo,,rec|9 back|9 mag|12,,,,,,,,,,,,,WEAPON/SN_HDROMEO_V13,ui_loot_weapon_sn_hdromeo_v13,
13,iw8_sn_hdromeo_variant_13,iw8_sn_hdromeo,,rec|9 back|9 mag|13,,,,,,,,,,,,,WEAPON/SN_HDROMEO_V14,ui_loot_weapon_sn_hdromeo_v14,
14,iw8_sn_hdromeo_variant_14,iw8_sn_hdromeo,,rec|9 back|9 mag|14,,,,,,,,,,,,,WEAPON/SN_HDROMEO_V15,ui_loot_weapon_sn_hdromeo_v15,
15,iw8_sn_hdromeo_variant_15,iw8_sn_hdromeo,,rec|9 back|9 mag|15,,,,,,,,,,,,,WEAPON/SN_HDROMEO_V16,ui_loot_weapon_sn_hdromeo_v16,
