0,iw8_sm_beta_variant_0,iw8_sm_beta,,,,,,,,,,,,,,,WEAPON/SM_BETA,ui_loot_weapon_sm_beta,
1,iw8_sm_beta_variant_1,iw8_sm_beta,iw8_sm_beta_mpv2,rec|1 front|1 mag|1,,,laserbalanced|4,,,xmagslrg|2,,stockh|1,gunperk_xp,,,,WEAPON/SM_BETA_V2,ui_loot_weapon_sm_beta_v2,
2,iw8_sm_beta_variant_2,iw8_sm_beta,,rec|2 front|2 mag|2,silencer|1,,,,thermal|1,,,stockl|1,,,,,WEAPON/SM_BETA_V3,ui_loot_weapon_sm_beta_v3,
3,iw8_sm_beta_variant_3,iw8_sm_beta,,rec|3 front|3 back|3 mag|3,comp|1,,,,holo2|1,,pistolgrip01|1,,,,,,WEAPON/SM_BETA_V4,ui_loot_weapon_sm_beta_v4,
4,iw8_sm_beta_variant_4,iw8_sm_beta,,rec|4 front|4 back|4,silencer3|1,,,,reflex3|2,xmagslrg|1,,,ammomod_wound,,,,WEAPON/SM_BETA_V5,ui_loot_weapon_sm_beta_v5,
5,iw8_sm_beta_variant_5,iw8_sm_beta,,rec|5 mag|5,,barshort|1,laserbalanced|3,,reflex3|3,,,stockno|1,,,,,WEAPON/SM_BETA_V6,ui_loot_weapon_sm_beta_v6,
6,iw8_sm_beta_variant_6,iw8_sm_beta,,rec|6 mag|6,,barshort|3,,,,,pistolgrip03|2,stockh|4,,,,,WEAPON/SM_BETA_V7,ui_loot_weapon_sm_beta_v7,
7,iw8_sm_beta_variant_7,iw8_sm_beta,iw8_sm_beta_mpv2,rec|7 back|7 mag|7,comp|5,barshort|2,,,hybrid2|9,,pistolgrip03|1,stocks|2,,,,,WEAPON/SM_BETA_V8,ui_loot_weapon_sm_beta_v8,
8,iw8_sm_beta_variant_8,iw8_sm_beta,iw8_sm_beta_mpv2,rec|8 front|8 mag|8,comp|6,,,,acog3|1,,pistolgrip01|2,stockh|2,gunperk_hardmelee,,,,WEAPON/SM_BETA_V9,ui_loot_weapon_sm_beta_v9,
9,iw8_sm_beta_variant_9,iw8_sm_beta,iw8_sm_beta_mpv2,rec|9 back|9,silencer3|6,barlong|2,laserbalanced|9,,reflex4|4,xmagslrg|3,,,,,,,WEAPON/SM_BETA_V10,ui_loot_weapon_sm_beta_v10,
10,iw8_sm_beta_variant_10,iw8_sm_beta,,rec|10 mag|10,silencer2|8,barlong|1,,,holo3|1,,,stockh|3,,,,,WEAPON/SM_BETA_V11,ui_loot_weapon_sm_beta_v11,
11,iw8_sm_beta_variant_11,iw8_sm_beta,iw8_sm_beta_mpv2,rec|11 front|11 mag|11,,,laserrange|7,,,xmagslrg|4,pistolgrip02|1,stockno|2,,,,,WEAPON/SM_BETA_V12,ui_loot_weapon_sm_beta_v12,
12,iw8_sm_beta_variant_12,iw8_sm_beta,,rec|12 front|12 back|12 mag|12,brake|4,,,,reflexmini|8,,,stocks|3,,,,,WEAPON/SM_BETA_V13,ui_loot_weapon_sm_beta_v13,
13,iw8_sm_beta_variant_13,iw8_sm_beta,iw8_sm_beta_mpv2,rec|13 back|13 mag|13,,barlong|3,,,reflex2|15,xmagslrg|5,,,maxammo,,,,WEAPON/SM_BETA_V14,ui_loot_weapon_sm_beta_v14,
14,iw8_sm_beta_variant_14,iw8_sm_beta,iw8_sm_beta_mpv2,rec|14 front|14 back|14 mag|14,brake|6,,laserrange|14,,,,pistolgrip02|2,,maxammo,,,,WEAPON/SM_BETA_V15,ui_loot_weapon_sm_beta_v15,
15,iw8_sm_beta_variant_15,iw8_sm_beta,,rec|15 front|15 back|15 mag|15,brake|7,,laserbalanced|1,,reflex3|6,,,stockh|5,,,,,WEAPON/SM_BETA_V16,ui_loot_weapon_sm_beta_v16,
