0,iw8_lm_pkilo_variant_0,iw8_lm_pkilo,,,,,,,,,,,,,,,WEAPON/LM_PKILO,ui_loot_weapon_lm_pkilo,,,,
1,iw8_lm_pkilo_variant_1,iw8_lm_pkilo,iw8_lm_pkilo_mpv2,rec|1 front|1 back|1 mag|1 ,brake|4,,,gripang|4,acog2|6,,,,fastreload,,,,WEAPON/LM_PKILO_V2,ui_loot_weapon_lm_pkilo_v2,,,,
2,iw8_lm_pkilo_variant_2,iw8_lm_pkilo,iw8_lm_pkilo_mpv3,rec|2 front|2 back|2 mag|2,,,,gripvert|3,holo2|2,xmags|1,,stockl|1,,,,,WEAPON/LM_PKILO_V3,ui_loot_weapon_lm_pkilo_v3,,,,
3,iw8_lm_pkilo_variant_3,iw8_lm_pkilo,,rec|3 front|3 back|3 mag|3,brake|1,barlong|1,,gripvertpro|2,,,,,ammomod_slow,,,,WEAPON/LM_PKILO_V4,ui_loot_weapon_lm_pkilo_v4,,,,
4,iw8_lm_pkilo_variant_4,iw8_lm_pkilo,,rec|4 front|3 back|4 mag|4,,barshort|1,,,acog2|5,xmags|2,,,,,,,WEAPON/LM_PKILO_V5,ui_loot_weapon_lm_pkilo_v5,,,,
5,iw8_lm_pkilo_variant_5,iw8_lm_pkilo,iw8_lm_pkilo_mpv2,rec|5 front|5 back|5 mag|5,,,laserrange|6,,holo|9,,pistolgrip01|2,stockh|1,,,,,WEAPON/LM_PKILO_V6,ui_loot_weapon_lm_pkilo_v6,,,,
6,iw8_lm_pkilo_variant_6,iw8_lm_pkilo,iw8_lm_pkilo_mpv2,rec|6 front|6 back|6 mag|6,,,laserbalanced|12,gripcust|1,reflex3|6,,pistolgrip02|2,stocks|3,,,,,WEAPON/LM_PKILO_V7,ui_loot_weapon_lm_pkilo_v7,,,,
7,iw8_lm_pkilo_variant_7,iw8_lm_pkilo,iw8_lm_pkilo_mpv2,rec|7 front|7 back|7 mag|7,silencer3|2,barlong|2,,,reflexmini2|5,,pistolgrip02|1,stockno|1,,,,,WEAPON/LM_PKILO_V8,ui_loot_weapon_lm_pkilo_v8,,,,
8,iw8_lm_pkilo_variant_8,iw8_lm_pkilo,,rec|8 front|8 back|8 mag|8,comp|13,barmid|4,,gripcust|2,scope|1,,,stockh|3,,,,,WEAPON/LM_PKILO_V9,ui_loot_weapon_lm_pkilo_v9,,,,
9,iw8_lm_pkilo_variant_9,iw8_lm_pkilo,,rec|9 front|9 back|9 mag|9,silencer3|3,barmid|2,,,hybrid3|2,,,stockh|2,,,,,WEAPON/LM_PKILO_V10,ui_loot_weapon_lm_pkilo_v10,,,,
10,iw8_lm_pkilo_variant_10,iw8_lm_pkilo,iw8_lm_pkilo_mpdmb,rec|10 front|10 back|10 mag|10,,barshort|2,,,reflexmini2|3,drums|2,pistolgrip02|3,stocks|4,,,,,WEAPON/LM_PKILO_V11,ui_loot_weapon_lm_pkilo_v11,,,standardDis,
11,iw8_lm_pkilo_variant_11,iw8_lm_pkilo,iw8_lm_pkilo_mpv2,rec|11 front|11 back|11 mag|11,,barshort|4,laser|6,gripangpro|4,,,,stockl|2,,,,,WEAPON/LM_PKILO_V12,ui_loot_weapon_lm_pkilo_v12,,,,
12,iw8_lm_pkilo_variant_12,iw8_lm_pkilo,iw8_lm_pkilo_mpv2,rec|12 front|12 back|12 mag|12 ,silencer2|1,barmid|3,,,acog3|5,,,stocks|6,,,,,WEAPON/LM_PKILO_V13,ui_loot_weapon_lm_pkilo_v13,,,,
13,iw8_lm_pkilo_variant_13,iw8_lm_pkilo,iw8_lm_pkilo_mpv2,rec|13 front|13 back|13 mag|13,silencer|2,barlong|4,,,hybrid3|4,,pistolgrip02|5,stockh|4,,,,,WEAPON/LM_PKILO_V14,ui_loot_weapon_lm_pkilo_v14,,,,
14,iw8_lm_pkilo_variant_14,iw8_lm_pkilo,iw8_lm_pkilo_mpdmb2,rec|14 front|14 back|14 mag|14,,barshort|3,,,reflexmini2|9,drums|3,pistolgrip02|4,stocks|5,,,,,WEAPON/LM_PKILO_V15,ui_loot_weapon_lm_pkilo_v15,,,standardDis,
15,iw8_lm_pkilo_variant_15,iw8_lm_pkilo,,rec|15 front|15 back|15 mag|15 ,,,,gripang|12,,xmags|3,,stockno|3,,,,,WEAPON/LM_PKILO_V16,ui_loot_weapon_lm_pkilo_v16,,,,
16,iw8_lm_pkilo_variant_16,iw8_lm_pkilo,iw8_lm_pkilo_mpv2a,rec|0 front|0 back|0 mag|0,,,laserrange|9,gripvert|8,,,pistolgrip03|1,,maxammo,,,,WEAPON/LM_PKILO_V17,ui_loot_weapon_lm_pkilo_v17,,,,
17,iw8_lm_pkilo_variant_17,iw8_lm_pkilo,iw8_lm_pkilo_mpa,rec|1 front|1 back|1 mag|1 ,melee2|1,barlong|3,,bipod|1,,,,stockno|2,gunperk_fastmelee,,,,WEAPON/LM_PKILO_V18,ui_loot_weapon_lm_pkilo_v18,,,,
18,iw8_lm_pkilo_variant_18,iw8_lm_pkilo,iw8_lm_pkilo_mpa,rec|2 front|2 back|2 mag|2,,barmid|5,laserbalanced|13,gripcust|3,,,,stockl|3,,,,,WEAPON/LM_PKILO_V19,ui_loot_weapon_lm_pkilo_v19,,,,
