0,iw8_sm_mpapa5_variant_0,iw8_sm_mpapa5,,,,,,,,,,,,,,,WEAPON/SM_MPAPA5,ui_loot_weapon_sm_mpapa5,,,,
1,iw8_sm_mpapa5_variant_1,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|1 front|1 back|1 mag|1,,barmid|3,,gripcust|9,,,,stockno|1,fastreload,,,,WEAPON/SM_MPAPA5_V2,ui_loot_weapon_sm_mpapa5_v2,,,,
2,iw8_sm_mpapa5_variant_2,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|2 front|2 back|2 mag|2,,barmid|1,,,reflex2|1,xmags|1,,stocks|1,ammomod_wound,,,,WEAPON/SM_MPAPA5_V3,ui_loot_weapon_sm_mpapa5_v3,,,,
3,iw8_sm_mpapa5_variant_3,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|3 front|3 back|3 mag|3,,barmid|2,,,,xmags|2,pistolgrip01|1,stockno|2,,,,,WEAPON/SM_MPAPA5_V4,ui_loot_weapon_sm_mpapa5_v4,,,,
4,iw8_sm_mpapa5_variant_4,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|4 front|4 back|4 mag|4,comp|6,,,gripvertpro|5,hybrid2|6,calcust|1,,stockno|3,,,,,WEAPON/SM_MPAPA5_V5,ui_loot_weapon_sm_mpapa5_v5,,,,
5,iw8_sm_mpapa5_variant_5,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|5 front|5 back|5 mag|5,,barshort|3,,gripvertpro|12,,xmags|4,,stockl|3,fastreload,,,,WEAPON/SM_MPAPA5_V6,ui_loot_weapon_sm_mpapa5_v6,,,,
6,iw8_sm_mpapa5_variant_6,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|6 front|6 back|6 mag|6,silencer|1,,,gripangpro|13,thermal|4,calcust|2,,stocks|2,,,,,WEAPON/SM_MPAPA5_V7,ui_loot_weapon_sm_mpapa5_v7,,,,
7,iw8_sm_mpapa5_variant_7,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|7 front|7 back|7 mag|7,comp|10,barshort|2,,,holo3|8,calcust|3,,stockh|2,,,,,WEAPON/SM_MPAPA5_V8,ui_loot_weapon_sm_mpapa5_v8,,,,
8,iw8_sm_mpapa5_variant_8,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|8 front|8 back|8 mag|8,,barshort|1,,,,xmags|3,,stockl|2,gunperk_fastmelee,,,,WEAPON/SM_MPAPA5_V9,ui_loot_weapon_sm_mpapa5_v9,,,,
9,iw8_sm_mpapa5_variant_9,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|9 front|9 back|9 mag|9,,barmid|5,,,reflex2|2,xmags|6,,stocks|6,,,,,WEAPON/SM_MPAPA5_V10,ui_loot_weapon_sm_mpapa5_v10,,,,
10,iw8_sm_mpapa5_variant_10,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|10 front|10 back|10 mag|10,,barshort|4,,gripang|7,,calcust|5,pistolgrip02|2,stocks|3,,,,,WEAPON/SM_MPAPA5_V11,ui_loot_weapon_sm_mpapa5_v11,,,,
11,iw8_sm_mpapa5_variant_11,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|11 front|11 back|11 mag|11,comp|1,,,gripang|5,reflexmini|5,,,stocks|4,,,,,WEAPON/SM_MPAPA5_V12,ui_loot_weapon_sm_mpapa5_v12,,,,
12,iw8_sm_mpapa5_variant_12,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|12 front|12 back|12 mag|12,silencer3|1,barmid|4,,,reflex|1,calcust|6,,stockh|3,,,,,WEAPON/SM_MPAPA5_V13,ui_loot_weapon_sm_mpapa5_v13,,,,
13,iw8_sm_mpapa5_variant_13,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|13 front|13 back|13 mag|13,silencer3|2,,,gripcust|4,holo3|12,,,stocks|7,,,,,WEAPON/SM_MPAPA5_V14,ui_loot_weapon_sm_mpapa5_v14,,,,
14,iw8_sm_mpapa5_variant_14,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|14 front|14 back|14 mag|14,silencer2|1,,,gripangpro|6,acog2|1,xmags|5,,stockh|4,,,,,WEAPON/SM_MPAPA5_V15,ui_loot_weapon_sm_mpapa5_v15,,,,
15,iw8_sm_mpapa5_variant_15,iw8_sm_mpapa5,iw8_sm_mpapa5_mpv2,rec|15 front|15 back|15 mag|15,,,,,holo|10,,pistolgrip02|3,stocks|5,maxammo,,,,WEAPON/SM_MPAPA5_V16,ui_loot_weapon_sm_mpapa5_v16,,,,
16,iw8_sm_mpapa5_variant_16,iw8_sm_mpapa5,iw8_sm_mpapa5_mpa,rec|0 front|0 back|0 mag|0,melee|5,,laser|2,,,calcust|7,pistolgrip02|4,stockno|4,,,,,WEAPON/SM_MPAPA5_V17,ui_loot_weapon_sm_mpapa5_v17,,,,
17,iw8_sm_mpapa5_variant_17,iw8_sm_mpapa5,iw8_sm_mpapa5_mpa,rec|1 front|1 back|1 mag|1,silencer3|3,,,gripvert|7,,calcust|8,,stockno|5,,,,,WEAPON/SM_MPAPA5_V18,ui_loot_weapon_sm_mpapa5_v18,,,,
18,iw8_sm_mpapa5_variant_18,iw8_sm_mpapa5,iw8_sm_mpapa5_mpa,rec|2 front|2 back|2 mag|2,brake|2,,laserbalanced|6,gripvert|15,,,,,,,,,WEAPON/SM_MPAPA5_V19,ui_loot_weapon_sm_mpapa5_v19,,,,
19,iw8_sm_mpapa5_variant_19,iw8_sm_mpapa5,iw8_sm_mpapa5_mpa,rec|3 front|3 back|3 mag|3,brake|1,,laserbalanced|12,,reflex3|4,,pistolgrip03|2,,fastreload,,,,WEAPON/SM_MPAPA5_V20,ui_loot_weapon_sm_mpapa5_v20,,,,
20,iw8_sm_mpapa5_variant_20,iw8_sm_mpapa5,iw8_sm_mpapa5_mpa,rec|4 front|4 back|4 mag|4,brake|13,,,gripvertpro|8,hybrid2|1,,pistolgrip02|5,stockh|5,,,,,WEAPON/SM_MPAPA5_V21,ui_loot_weapon_sm_mpapa5_v21,,,,
