0,24160399|26493466|33475983|22177670|29804234,77658466461744964,t9_ch_ar_fasthandling_t9_ekia,0,30376096,138751749179254327,t9_ch_ar_fasthandling_t9_challenges,0,19236042,130947465255032883,t9_ch_weapon_assault_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,32579023,,,1,,,,,,,,,,,,,,,,,,
2,22727687,,,1,,,,,,,,,,,,,,,,,,
3,31483943,,,1,,,,,,,,,,,,,,,,,,
4,20406905,,,1,20259084|20537167|17843937|22573511|32797139,106957189783463552,t9_ch_ar_fasthandling_t9_headshots,1,,,,,,,,,,,,,,
5,23473744,,,1,,,,,,,,,,,,,,,,,,
6,29304744,,,2,,,,,,,,,,,,,,,,,,
7,29856109,,,2,,,,,,,,,,,,,,,,,,
8,25645303,,,2,,,,,,,,,,,,,,,,,,
9,32427734,,,2,32676082|19443960|19188220|30444387|23571893,140874571010500514,t9_ch_ar_fasthandling_t9_killstreak_5,2,,,,,,,,,,,,,,
10,27135966,,,2,,,,,,,,,,,,,,,,,,
11,24056344,,,3,,,,,,,,,,,,,,,,,,
12,20690641,,,3,,,,,,,,,,,,,,,,,,
13,21466821,,,3,,,,,,,,,,,,,,,,,,
14,31200788,,,3,,,,,,,,,,,,,,,,,,
15,30835676,,,3,,,,,,,,,,,,,,,,,,
16,24123712,,,4,,,,,,,,,,,,,,,,,,
17,26423545,,,4,,,,,,,,,,,,,,,,,,
18,27748910,,,4,,,,,,,,,,,,,,,,,,
19,27888925,,,4,32932704|25051151|23034335|27626117|18114682,81817620714792596,t9_ch_ar_fasthandling_t9_longshot_kill,4,,,,,,,,,,,,,,
20,19733813,,,4,,,,,,,,,,,,,,,,,,
21,17827463,,,5,,,,,,,,,,,,,,,,,,
22,18411234,,,5,,,,,,,,,,,,,,,,,,
23,30418430,,,5,,,,,,,,,,,,,,,,,,
24,30494824,,,5,,,,,,,,,,,,,,,,,,
25,22693735,,,5,,,,,,,,,,,,,,,,,,
26,27180069,,,6,,,,,,,,,,,,,,,,,,
27,20191254,,,6,,,,,,,,,,,,,,,,,,
28,19776346,,,6,,,,,,,,,,,,,,,,,,
29,21285070,,,6,26074294|29821617|21603782|18581440|20538856,122195112861791294,t9_ch_ar_fasthandling_t9_kill_detected_stunned_blinded,6,,,,,,,,,,,,,,
30,31426233,,,6,,,,,,,,,,,,,,,,,,
31,30226466,,,7,,,,,,,,,,,,,,,,,,
32,22927097,,,7,,,,,,,,,,,,,,,,,,
33,32476223,,,7,,,,,,,,,,,,,,,,,,
34,23230891,,,7,,,,,,,,,,,,,,,,,,
35,30543734,,,7,,,,,,,,,,,,,,,,,,
36,30607424,,,8,,,,,,,,,,,,,,,,,,
37,31024765,,,8,,,,,,,,,,,,,,,,,,
38,31908786,,,8,,,,,,,,,,,,,,,,,,
39,27388816,,,8,22592018|19239603|19559304|30718374|26270049,93250415916336729,t9_ch_ar_fasthandling_t9_kill_enemy_taking_cover_from_you,8,,,,,,,,,,,,,,
40,32980991,,,8,,,,,,,,,,,,,,,,,,
41,30270762,,,9,,,,,,,,,,,,,,,,,,
42,19200571,,,9,,,,,,,,,,,,,,,,,,
43,26786062,,,9,,,,,,,,,,,,,,,,,,
44,25739988,,,9,,,,,,,,,,,,,,,,,,
45,21196855,,,9,,,,,,,,,,,,,,,,,,
46,32027989,,,10,,,,,,,,,,,,,,,,,,
47,27426107,,,10,,,,,,,,,,,,,,,,,,
48,18167387,,,10,,,,,,,,,,,,,,,,,,
49,28470909,,,10,18985996|23813134|27338017|21845632|28401271,106145173601527255,t9_ch_ar_fasthandling_t9_multikill_2,10,,,,,,,,,,,,,,
50,21141091,,,10,,,,,,,,,,,,,,,,,,
51,23107165,,,11,,,,,,,,,,,,,,,,,,
52,21506028,,,11,,,,,,,,,,,,,,,,,,
53,19187048,,,11,,,,,,,,,,,,,,,,,,
54,18524865,,,11,,,,,,,,,,,,,,,,,,
