0,iw8_pi_t9semiauto_variant_0,iw8_pi_t9semiauto,,,,,,,,,,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO,ui_loot_weapon_pi_t9semiauto,
1,iw8_pi_t9semiauto_variant_1,iw8_pi_t9semiauto,,rec|1 front|1 mag|1,silencer|0,barcust|1,laserads|0,,,xmags|0,,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V2,ui_loot_weapon_pi_t9semiauto_v1,
2,iw8_pi_t9semiauto_variant_2,iw8_pi_t9semiauto,,rec|2 front|2 mag|2,,barcust|2,,,,xmags|1,pistolgrip03|0,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V3,ui_loot_weapon_pi_t9semiauto_v2,
3,iw8_pi_t9semiauto_variant_3_ms,iw8_pi_t9semiauto,,rec|8 front|8 mag|3,linearbrake|3,,,,,fastmags|0,pistolgrip06|3,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V4,ui_loot_weapon_pi_t9semiauto_v3,
4,iw8_pi_t9semiauto_variant_4,iw8_pi_t9semiauto,,rec|4 front|4 mag|4,,barmid|1,laserads|1,,reflexmini|1,,pistolgrip02|1,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V5,ui_loot_weapon_pi_t9semiauto_v4,
5,iw8_pi_t9semiauto_variant_5_ms,iw8_pi_t9semiauto,,rec|10 front|10 mag|5,comp|3,barshort|3,,,,fastmags|0,pistolgrip05|3,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V6,ui_loot_weapon_pi_t9semiauto_v5,
6,iw8_pi_t9semiauto_variant_6,iw8_pi_t9semiauto,,rec|6 front|6 mag|6,silencer4,barcust3|1,laser|1,,,fastmags|0,pistolgrip03|0,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V7,ui_loot_weapon_pi_t9semiauto_v6,
7,iw8_pi_t9semiauto_variant_3_sy,iw8_pi_t9semiauto,,rec|7 front|7 mag|3,linearbrake|2,,,,,fastmags|0,pistolgrip06|2,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V4,ui_loot_weapon_pi_t9semiauto_v3,
8,iw8_pi_t9semiauto_variant_3_pc,iw8_pi_t9semiauto,,rec|3 front|3 mag|3,linearbrake|1,,,,,fastmags|0,pistolgrip06|1,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V4,ui_loot_weapon_pi_t9semiauto_v3,
9,iw8_pi_t9semiauto_variant_5_sy,iw8_pi_t9semiauto,,rec|9 front|9 mag|5,comp|2,barshort|2,,,,fastmags|0,pistolgrip05|2,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V6,ui_loot_weapon_pi_t9semiauto_v5,
10,iw8_pi_t9semiauto_variant_5_pc,iw8_pi_t9semiauto,,rec|5 front|5 mag|5,comp|1,barshort|1,,,,fastmags|0,pistolgrip05|1,,,,,,WEAPON_TANGO/PI_T9SEMIAUTO_V6,ui_loot_weapon_pi_t9semiauto_v5,
