0,,,,,,,,,,,,,
1,12087098,,,1,3087000,,,1,3087001,,,1,
2,12087100,,,1,,,,,,,,,
3,12087101,,,1,,,,,,,,,
4,12087107,,,1,,,,,,,,,
5,12087099,,,1,,,,,,,,,
6,12087105,,,2,,,,,,,,,
7,12087065,,,2,,,,,,,,,
8,12087060,,,2,3087010,,,2,3087011,,,2,
9,12087062,,,2,,,,,,,,,
10,12087063,,,2,,,,,,,,,
11,12087090,,,3,,,,,,,,,
12,12087061,,,3,,,,,,,,,
13,12087081,,,3,,,,,,,,,
14,12087075,,,3,,,,,,,,,
15,12087080,,,3,3087020,,,3,3087021,,,3,
16,12087083,,,4,,,,,,,,,
17,12087108,,,4,,,,,,,,,
18,12087082,,,4,,,,,,,,,
19,12087029,,,4,,,,,,,,,
20,12087028,,,4,,,,,,,,,
21,12087030,,,5,3087030,,,5,3087031,,,5,
22,12087031,,,5,,,,,,,,,
23,12087032,,,5,,,,,,,,,
24,12087109,,,5,,,,,,,,,
25,12087072,,,5,,,,,,,,,
26,12087078,,,6,,,,,,,,,
27,12087074,,,6,3087040,,,6,3087041,,,6,
28,12087076,,,6,,,,,,,,,
29,12087079,,,6,,,,,,,,,
30,12087073,,,6,,,,,,,,,
31,12087034,,,7,,,,,,,,,
32,12087067,,,7,,,,,,,,,
33,12087069,,,7,3087050,,,7,3087051,,,7,
34,12087070,,,7,,,,,,,,,
35,12087068,,,7,,,,,,,,,
36,12087071,,,8,3087060,,,8,3087061,,,8,
37,12087041,,,8,,,,,,,,,
38,12087045,,,8,3087070,,,8,3087071,,,8,
39,12087039,,,8,,,,,,,,,
40,12087040,,,8,3087080,,,8,3087081,,,8,
41,12087042,,,9,,,,,,,,,
42,12087043,,,9,,,,,,,,,
43,12087015,,,9,,,,,,,,,
-1,3087090,,,9,,,,,,,,,
