0,iw8_knife_variant_0,iw8_knife,,,,,,,,,,,,,,,WEAPON/KNIFE,ui_loot_weapon_me_soscar,,,
1,iw8_knife_variant_1,iw8_knife,,rec|1,,,,,,,,,,,,,WEAPON/KNIFE_V2,ui_loot_weapon_me_soscar_v2,icon_weapon_me_tactical_knife_v2,,
2,iw8_knife_variant_2,iw8_knife,,rec|2,,,,,,,,,,,,,WEAPON/KNIFE_V3,ui_loot_weapon_me_soscar_v3,icon_weapon_me_tactical_knife_v2,,
3,iw8_knife_variant_3,iw8_knife,,rec|3,,,,,,,,,,,,,WEAPON/KNIFE_V4,ui_loot_weapon_me_soscar_v4,icon_weapon_me_tactical_knife_v4,,
4,iw8_knife_variant_4,iw8_knife,,rec|4,,,,,,,,,,,,,WEAPON/KNIFE_V5,ui_loot_weapon_me_soscar_v5,icon_weapon_me_tactical_knife_v5,,
5,iw8_knife_variant_5,iw8_knife,,rec|5,,,,,,,,,,,,,WEAPON/KNIFE_V6,ui_loot_weapon_me_soscar_v6,icon_weapon_me_tactical_knife_v6,,
6,iw8_knife_variant_6,iw8_knife,,rec|6,,,,,,,,,,,,,WEAPON/KNIFE_V7,ui_loot_weapon_me_soscar_v7,icon_weapon_me_tactical_knife_v7,,
7,iw8_knife_variant_7,iw8_knife,,rec|7,,,,,,,,,,,,,WEAPON/KNIFE_V8,ui_loot_weapon_me_soscar_v8,icon_weapon_me_tactical_knife_v8,,
8,iw8_knife_variant_8,iw8_knife,,rec|8,,,,,,,,,,,,,WEAPON/KNIFE_V9,ui_loot_weapon_me_soscar_v9,icon_weapon_me_tactical_knife_v9,,
9,iw8_knife_variant_9,iw8_knife,,rec|9,,,,,,,,,,,,,WEAPON/KNIFE_V10,ui_loot_weapon_me_soscar_v10,icon_weapon_me_tactical_knife_v10,,
10,iw8_knife_variant_10,iw8_knife,,rec|10,,,,,,,,,,,,,WEAPON/KNIFE_V11,ui_loot_weapon_me_soscar_v11,icon_weapon_me_tactical_knife_v11,,
11,iw8_knife_variant_11,iw8_knife,,rec|11,,,,,,,,,,,,,WEAPON/KNIFE_V12,ui_loot_weapon_me_soscar_v12,icon_weapon_me_tactical_knife_v12,,
