0,27647730|27681051|31465883|27212227|25165352,107681905927281413,t9_ch_knife_loadout_kills,0,22690852,131103733653700729,t9_ch_knife_loadout_challenges,0,19643773,,,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,
4,20588916|24520498|20088399|21247325|24025861,118353586009422343,t9_ch_knife_loadout_backstabber_kill,1,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,
9,32227566|27061971|27186246|18437618|25474227,82101959029685661,t9_ch_knife_loadout_finishing_move_kill,2,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,
14,32644095|32563212|26265593|30970886|33069856,128759056290963582,t9_ch_knife_loadout_kill_enemy_when_injured,3,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,
19,27293971|28301936|29306080|28380432|25857264,116145040958578594,t9_ch_knife_loadout_kill_enemy_while_sliding,4,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,
24,29818023|27964739|23234026|27706504|30125902,85614137452082363,t9_ch_knife_loadout_kill_smoked_blinded_stunned,5,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,
29,20524674|20047181|18395971|21850324|25263928,124160379940188646,t9_ch_knife_loadout_multikill_2,6,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,
