0,23417262|28235588|25501403|32377444|19850998,101140402112177103,t9_ch_special_grenadelauncher_t9_kills,0,28723136,88970880738170167,t9_ch_special_grenadelauncher_t9_challenges,0,19796035,142013641515494439,t9_ch_weapon_launcher_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,
4,28765239|26181164|22044453|22846827|28857814,137480034186915241,t9_ch_special_grenadelauncher_t9_longshot_kill,1,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,
9,25542684|19447719|29973090|18234436|32280925,128473076046455735,t9_ch_special_grenadelauncher_t9_killstreak_3,2,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,
14,24779978|31304915|30761970|30299729|27780166,119345032999855002,t9_ch_special_grenadelauncher_t9_destroy_any,3,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,
19,25339656|27349263|24853735|29218411|25486852,125984322236756398,t9_ch_special_grenadelauncher_t9_kill_enemy_taking_cover_from_you,4,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,
24,23695141|26581725|20146258|30379321|28464522,122341072250303204,t9_ch_special_grenadelauncher_t9_destroy_3_vehicles_in_one_game,5,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,
29,24944677|29089004|23687678|18901415|24406691,116332364403131417,t9_ch_special_grenadelauncher_t9_multikill_2,6,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,
