0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1012014,,,1,2631000,,,1,2631001,,,1,,,,,,,,,,,,,
2,1012133,,,1,,,,,,,,,,,,,,,,,,,,,
3,1012004,,,1,,,,,,,,,,,,,,,,,,,,,
4,1012124,,,1,,,,,,,,,,,,,,,,,,,,,
5,1012015,,,1,,,,,,,,,,,,,,,,,,,,,
6,1012141,,,2,,,,,,,,,,,,,,,,,,,,,
7,1012037,,,2,,,,,,,,,,,,,,,,,,,,,
8,1012008,,,2,2631010,,,2,2631011,,,2,,,,,,,,,,,,,
9,1012135,,,2,7631000,,,2,,,,,,,,,,,,,,,,,
10,1012084,,,2,,,,,,,,,,,,,,,,,,,,,
11,1012013,,,3,,,,,,,,,,,,,,,,,,,,,
12,1631005,,,3,,,,,,,,,,,,,,,,,,,,,
13,1012148,,,3,,,,,,,,,,,,,,,,,,,,,
14,1012000,,,3,,,,,,,,,,,,,,,,,,,,,
15,1012053,,,3,2631020,,,3,2631021,,,3,,,,,,,,,,,,,
16,1012038,,,4,,,,,,,,,,,,,,,,,,,,,
17,1012034,,,4,,,,,,,,,,,,,,,,,,,,,
18,1012049,,,4,,,,,,,,,,,,,,,,,,,,,
19,1012051,,,4,,,,,,,,,,,,,,,,,,,,,
20,1012017,,,4,,,,,,,,,,,,,,,,,,,,,
21,1012059,,,5,2631030,,,5,2631031,,,5,,,,,,,,,,,,,
22,1012110,,,5,,,,,,,,,,,,,,,,,,,,,
23,1012055,,,5,7631001,,,5,,,,,,,,,,,,,,,,,
24,1012025,,,5,,,,,,,,,,,,,,,,,,,,,
25,1012139,,,5,,,,,,,,,,,,,,,,,,,,,
26,1012036,,,6,,,,,,,,,,,,,,,,,,,,,
27,1012012,,,6,2631040,,,6,2631041,,,6,,,,,,,,,,,,,
28,1012149,,,6,,,,,,,,,,,,,,,,,,,,,
29,1012146,,,6,,,,,,,,,,,,,,,,,,,,,
30,1012128,,,6,,,,,,,,,,,,,,,,,,,,,
31,1012071,,,7,,,,,,,,,,,,,,,,,,,,,
32,1012060,,,7,2631050,,,7,2631051,,,7,,,,,,,,,,,,,
33,1012010,,,7,,,,,,,,,,,,,,,,,,,,,
34,1012002,,,7,,,,,,,,,,,,,,,,,,,,,
35,1012039,,,7,,,,,,,,,,,,,,,,,,,,,
36,1012019,,,8,,,,,,,,,,,,,,,,,,,,,
37,1012035,,,8,2631060,,,8,2631061,,,8,,,,,,,,,,,,,
38,1012107,,,8,7631002,,,8,,,,,,,,,,,,,,,,,
39,1631011,,,8,,,,,,,,,,,,,,,,,,,,,
40,1012029,,,8,,,,,,,,,,,,,,,,,,,,,
41,1012063,,,9,,,,,,,,,,,,,,,,,,,,,
42,1012006,,,9,,,,,,,,,,,,,,,,,,,,,
43,1012056,,,9,2631070,,,9,2631071,,,9,,,,,,,,,,,,,
44,1631001,,,9,,,,,,,,,,,,,,,,,,,,,
45,1012040,,,9,,,,,,,,,,,,,,,,,,,,,
46,1012119,,,10,,,,,,,,,,,,,,,,,,,,,
47,1012020,,,10,,,,,,,,,,,,,,,,,,,,,
48,1012150,,,10,2631080,,,10,2631081,,,10,,,,,,,,,,,,,
49,1631022,,,10,,,,,,,,,,,,,,,,,,,,,
50,1012027,,,10,,,,,,,,,,,,,,,,,,,,,
51,1012085,,,11,,,,,,,,,,,,,,,,,,,,,
52,1631002,,,11,7631003,,,11,,,,,,,,,,,,,,,,,
53,1012061,,,11,2631090,,,11,2631091,,,11,2631100,,,11,2631101,,,11,2631102,,,11,
-1,2631118,,,11,,,,,,,,,,,,,,,,,,,,,
