0,iw8_ar_kilo433_variant_0,iw8_ar_kilo433,,,,,,,,,,,,,,,WEAPON/AR_KILO433,ui_loot_weapon_ar_kilo433,,,
1,iw8_ar_kilo433_variant_1,iw8_ar_kilo433,,rec|1 mag|1,,barsil|1,,,,,pistolgrip01|1,stocks|1,fastreload,,,,WEAPON/AR_KILO433_V2,ui_loot_weapon_ar_kilo433_v2,,,
2,iw8_ar_kilo433_variant_2,iw8_ar_kilo433,,rec|2 back|2 mag|2,,barlong|1,,gripcust|3,hybrid2|2,drums|1,,,,,,,WEAPON/AR_KILO433_V3,ui_loot_weapon_ar_kilo433_v3,,,
3,iw8_ar_kilo433_variant_3,iw8_ar_kilo433,,rec|3 front|3 mag|3,,,,gripang|2,holo3|2,,,stockh|1,ammomod_wound,,,,WEAPON/AR_KILO433_V4,ui_loot_weapon_ar_kilo433_v4,,,
4,iw8_ar_kilo433_variant_4,iw8_ar_kilo433,,rec|4 front|4 back|4 mag|4,flashhider|2,,,gripangpro|3,acog2|2,,,stocks|2,,,,,WEAPON/AR_KILO433_V5,ui_loot_weapon_ar_kilo433_v5,,,
5,iw8_ar_kilo433_variant_5,iw8_ar_kilo433,,rec|5 back|5 mag|5,comp|1,barlong|2,,gripangpro|2,,,,,,,,,WEAPON/AR_KILO433_V6,ui_loot_weapon_ar_kilo433_v6,,,
6,iw8_ar_kilo433_variant_6,iw8_ar_kilo433,,rec|6,,barsil|4,laser|2,,,xmags|2,,stockno|1,,,,,WEAPON/AR_KILO433_V7,ui_loot_weapon_ar_kilo433_v7,,,
7,iw8_ar_kilo433_variant_7,iw8_ar_kilo433,,rec|7 mag|7,brake|5,barshort|2,,gripvertpro|10,vzscope|4,,,stockh|2,,,,,WEAPON/AR_KILO433_V8,ui_loot_weapon_ar_kilo433_v8,,,
8,iw8_ar_kilo433_variant_8,iw8_ar_kilo433,iw8_ar_kilo433_mpmtx,rec|8 front|8,,,laserbalanced|7,gripang|5,hybrid4|1,xmagslrg|1,,stockh|3,,,,,WEAPON/AR_KILO433_V9,ui_loot_weapon_ar_kilo433_v9,,blue,
9,iw8_ar_kilo433_variant_9,iw8_ar_kilo433,,rec|9 back|9 mag|9,comp|14,barlong|3,,gripangpro|14,,,,stockh|6,,,,,WEAPON/AR_KILO433_V10,ui_loot_weapon_ar_kilo433_v10,,,
10,iw8_ar_kilo433_variant_10,iw8_ar_kilo433,,rec|10,,barlong|4,,,hybrid2|11,drums|2,,stockh|5,,,,,WEAPON/AR_KILO433_V11,ui_loot_weapon_ar_kilo433_v11,,,
11,iw8_ar_kilo433_variant_11,iw8_ar_kilo433,,rec|11 front|11 mag|11,brake|7,,,gripang|6,holo3|10,,,stockh|4,,,,,WEAPON/AR_KILO433_V12,ui_loot_weapon_ar_kilo433_v12,,,
12,iw8_ar_kilo433_variant_12,iw8_ar_kilo433,,rec|12,,barsil|2,laserrange|6,,,drums|3,,stocks|3,,,,,WEAPON/AR_KILO433_V13,ui_loot_weapon_ar_kilo433_v13,,,
13,iw8_ar_kilo433_variant_13,iw8_ar_kilo433,,rec|13,,barsil|3,laserrange|7,gripangpro|4,,xmags|1,,stocks|4,,,,,WEAPON/AR_KILO433_V14,ui_loot_weapon_ar_kilo433_v14,,,
14,iw8_ar_kilo433_variant_14,iw8_ar_kilo433,,rec|14 mag|14,brake|11,barshort|3,laser|3,,acog|9,,,stockh|7,,,,,WEAPON/AR_KILO433_V15,ui_loot_weapon_ar_kilo433_v15,,,
