0,iw8_sn_delta_variant_0,iw8_sn_delta,,,,,,,,,,,,,,,WEAPON/SN_DELTA,ui_loot_weapon_sn_delta,
1,iw8_sn_delta_variant_1,iw8_sn_delta,iw8_sn_delta_mpv2,rec|1 front|1 back|1 mag|1,brake|3,barshort|1,,,vzscope|0,,,stockh|0,fastreload,,,,WEAPON/SN_DELTA_V2,ui_loot_weapon_sn_delta_v2,
2,iw8_sn_delta_variant_2,iw8_sn_delta,,rec|2 front|2 back|2 mag|2,,barshort|2,,,thermal|1,,,stocks|2,,,,,WEAPON/SN_DELTA_V3,ui_loot_weapon_sn_delta_v3,
3,iw8_sn_delta_variant_3,iw8_sn_delta,,rec|3 front|3 back|3 mag|3,,,,,vzscope|1,xmags|1,,stockl|1,gunperk_marksman,,,,WEAPON/SN_DELTA_V4,ui_loot_weapon_sn_delta_v4,
4,iw8_sn_delta_variant_4,iw8_sn_delta,,rec|4 front|4 back|4 mag|4,,,,bipod|2,thermalvz|1,,,stocks|1,gunperk_xp,,,,WEAPON/SN_DELTA_V5,ui_loot_weapon_sn_delta_v5,
5,iw8_sn_delta_variant_5,iw8_sn_delta,,rec|5 front|5 back|5 mag|5,silencer2|5,,,,acog3|1,,,,fastreload,,,,WEAPON/SN_DELTA_V6,ui_loot_weapon_sn_delta_v6,
6,iw8_sn_delta_variant_6,iw8_sn_delta,,rec|6 front|6 back|6 mag|6,,barshort|3,,,acog3|2,xmagslrg|1,,stockcust|1,flinch,,,pistolgrip01|2,WEAPON/SN_DELTA_V7,ui_loot_weapon_sn_delta_v7,
7,iw8_sn_delta_variant_7,iw8_sn_delta,iw8_sn_delta_mpv2,rec|7 front|7 back|7 mag|7,silencer|1,barlong|2,laserbalanced|5,,vzscope|4,,,,ammomod_wound,,,,WEAPON/SN_DELTA_V8,ui_loot_weapon_sn_delta_v8,
8,iw8_sn_delta_variant_8,iw8_sn_delta,,rec|8 front|8 back|8 mag|8,comp|12,barshort|4,laserbalanced|6,,acog|1,,,stocks|3,,,,,WEAPON/SN_DELTA_V9,ui_loot_weapon_sn_delta_v9,
9,iw8_sn_delta_variant_9,iw8_sn_delta,iw8_sn_delta_mpv2,rec|9 front|9 back|9 mag|9,comp|15,barshort|5,laserbalanced|9,,acog2|1,,,,,,,,WEAPON/SN_DELTA_V10,ui_loot_weapon_sn_delta_v10,
10,iw8_sn_delta_variant_10,iw8_sn_delta,iw8_sn_delta_mpv2,rec|10 front|10 back|10 mag|10,silencer3|9,barlong|3,,,thermal2|1,,,,,,,,WEAPON/SN_DELTA_V11,ui_loot_weapon_sn_delta_v11,
11,iw8_sn_delta_variant_11,iw8_sn_delta,,rec|11 front|11 back|11 mag|11 scope|5,,barshort|6,laserbalanced|2,,,,,stockh|3,gunperk_holdbreath,,,pistolgrip01|3,WEAPON/SN_DELTA_V12,ui_loot_weapon_sn_delta_v12,
12,iw8_sn_delta_variant_12,iw8_sn_delta,iw8_sn_delta_mpv2,rec|12 front|12 back|12 mag|12,brake|15,,laserbalanced|1,,acog2|2,,,stockh|2,flinch,,,,WEAPON/SN_DELTA_V13,ui_loot_weapon_sn_delta_v13,
13,iw8_sn_delta_variant_13,iw8_sn_delta,,rec|9 front|9 back|9 mag|9,,,,,,,,,,,,,WEAPON/SN_DELTA_V14,ui_loot_weapon_sn_delta_v14,
14,iw8_sn_delta_variant_14,iw8_sn_delta,,rec|9 front|9 back|9 mag|9,,,,,,,,,,,,,WEAPON/SN_DELTA_V15,ui_loot_weapon_sn_delta_v15,
15,iw8_sn_delta_variant_15,iw8_sn_delta,,rec|9 front|9 back|9 mag|9,,,,,,,,,,,,,WEAPON/SN_DELTA_V16,ui_loot_weapon_sn_delta_v16,
