0,iw8_pi_decho_variant_0,iw8_pi_decho,,,,,,,,,,,,,,,WEAPON/PI_DECHO,ui_loot_weapon_pi_decho,,,,
1,iw8_pi_decho_variant_1,iw8_pi_decho,,rec|1 front|1 mag|1,,,,,,,pistolgrip03|4,,,,,,WEAPON/PI_DECHO_V2,ui_loot_weapon_pi_decho_v2,,,,
2,iw8_pi_decho_variant_2,iw8_pi_decho,,rec|2,,barlong|1,,,reflexmini2|4,xmags|1,pistolgrip03|3,,fastreload,,,,WEAPON/PI_DECHO_V3,ui_loot_weapon_pi_decho_v3,,,,
3,iw8_pi_decho_variant_3,iw8_pi_decho,,rec|3 front|3 mag|3 triggrip|3,,,,,,,pistolgrip03|2,,gunperk_xp,trigcust|2,,,WEAPON/PI_DECHO_V4,ui_loot_weapon_pi_decho_v4,,,,
4,iw8_pi_decho_variant_4,iw8_pi_decho,,rec|4 front|4 mag|4 triggrip|4,comp|3,,,,acog3|1,,pistolgrip03|1,,,,,,WEAPON/PI_DECHO_V5,ui_loot_weapon_pi_decho_v5,,,,
5,iw8_pi_decho_variant_5,iw8_pi_decho,,rec|5 front|5 triggrip|5,,,laserrange|1,,reflex4|1,xmagslrg|2,,,fmj,trigcust03|1,,,WEAPON/PI_DECHO_V6,ui_loot_weapon_pi_decho_v6,,,,
6,iw8_pi_decho_variant_6,iw8_pi_decho,,rec|6 front|6 triggrip|6,brake|1,,laserrange|9,,reflex2|1,xmags|2,,,,trigcust|1,,,WEAPON/PI_DECHO_V7,ui_loot_weapon_pi_decho_v7,,,,
7,iw8_pi_decho_variant_7,iw8_pi_decho,,rec|7 front|7 mag|7,silencer4|1,,,,acog2|1,,pistolgrip03|5,,,trigcust|3,,,WEAPON/PI_DECHO_V8,ui_loot_weapon_pi_decho_v8,,,,
8,iw8_pi_decho_variant_8,iw8_pi_decho,,rec|8 mag|8 triggrip|8,comp|4,barshort|1,,,reflexmini3|4,xmagslrg|3,,,,trigcust|4,,,WEAPON/PI_DECHO_V9,ui_loot_weapon_pi_decho_v9,,,,
9,iw8_pi_decho_variant_9,iw8_pi_decho,,rec|9 mag|9 triggrip|9,brake|3,barlong|3,laserbalanced|7,,acog|2,,pistolgrip01|2,,,,,,WEAPON/PI_DECHO_V10,ui_loot_weapon_pi_decho_v10,,,,
10,iw8_pi_decho_variant_10,iw8_pi_decho,iw8_pi_decho_mpdmb,rec|10 mag|10 triggrip|10,brake|2,barlong|2,,,,,pistolgrip02|2,,ammomod_slow,trigcust03|2,,,WEAPON/PI_DECHO_V11,ui_loot_weapon_pi_decho_v11,,,standardDis,
11,iw8_pi_decho_variant_11,iw8_pi_decho,,rec|11 front|11 triggrip|11,silencer4|2,,laserbalanced|8,,reflex3|1,xmags|3,,,,,,,WEAPON/PI_DECHO_V12,ui_loot_weapon_pi_decho_v12,,,,
12,iw8_pi_decho_variant_12,iw8_pi_decho,iw8_pi_decho_mpmtx,rec|12 front|12 mag|12,brake|4,,laserrange|8,,reflexmini3|5,,pistolgrip02|3,,,trigcust|5,,,WEAPON/PI_DECHO_V13,ui_loot_weapon_pi_decho_v13,,green,,
13,iw8_pi_decho_variant_13,iw8_pi_decho,,rec|13 mag|13 triggrip|13,silencer|10,barlong|4,laserbalanced|11,,,,pistolgrip02|5,,ammomod_wound,,,,WEAPON/PI_DECHO_V14,ui_loot_weapon_pi_decho_v14,,,,
14,iw8_pi_decho_variant_14,iw8_pi_decho,,rec|14 front|14 triggrip|14,brake|5,,laserrange|12,,,xmagslrg|4,,,akimbo,trigcust|6,,,WEAPON/PI_DECHO_V15,ui_loot_weapon_pi_decho_v15,,,,
15,iw8_pi_decho_variant_15,iw8_pi_decho,,rec|15 front|15 mag|15,,,laserbalanced|10,,,,pistolgrip02|4,,,trigcust|7,,,WEAPON/PI_DECHO_V16,ui_loot_weapon_pi_decho_v16,,,,
16,iw8_pi_decho_variant_16,iw8_pi_decho,iw8_pi_decho_mpdmb2,rec|0 front|0 mag|0 triggrip|0,,,laser|2,,reflexmini|6,xmags|4,pistolgrip02|6,,,trigcust|8,,,WEAPON/PI_DECHO_V17,ui_loot_weapon_pi_decho_v17,,,standardDis,
17,iw8_pi_decho_variant_17,iw8_pi_decho,iw8_pi_decho_mpa,rec|1 front|1 mag|1 triggrip|1,,barshort|2,,,reflexmini2|2,xmags|5,pistolgrip02|7,,,trigcust|9,,,WEAPON/PI_DECHO_V18,ui_loot_weapon_pi_decho_v18,,,,
18,iw8_pi_decho_variant_18,iw8_pi_decho,iw8_pi_decho_mpa,rec|2 front|2 mag|2 triggrip|2,brake|7,barlong|5,,,,,pistolgrip03|7,,,,,,WEAPON/PI_DECHO_V19,ui_loot_weapon_pi_decho_v19,,,,
19,iw8_pi_decho_variant_19,iw8_pi_decho,iw8_pi_decho_mpa,rec|3 front|3 mag|3 triggrip|3,,barshort|3,laserrange|13,,,xmagslrg|6,pistolgrip03|8,,,trigcust|10,,,WEAPON/PI_DECHO_V20,ui_loot_weapon_pi_decho_v20,,,,
20,iw8_pi_decho_variant_20,iw8_pi_decho,iw8_pi_decho_mpa,rec|4 front|4 mag|4 triggrip|4,brake|6,,,,,xmagslrg|5,pistolgrip03|6,,fastreload,,,,WEAPON/PI_DECHO_V21,ui_loot_weapon_pi_decho_v21,,,,
21,iw8_pi_decho_variant_21,iw8_pi_decho,iw8_pi_decho_mpa,rec|5 front|5 mag|5 triggrip|0,,barshort|4,laserrange|14,,,xmagslrg|7,pistolgrip02|8,,,trigcust|11,,,WEAPON/PI_DECHO_V22,ui_loot_weapon_pi_decho_v22,,,,
22,iw8_pi_decho_variant_22,iw8_pi_decho,iw8_pi_decho_mpa,rec|6 front|6 mag|6 triggrip|6,brake|8,barshort|5,laser|9,,,xmags|6,,,,trigcust|12,,,WEAPON/PI_DECHO_V23,ui_loot_weapon_pi_decho_v23,,,,
