0,30979680|20814533|18691374|28399938|26586591,74708756795837264,t9_ch_tr_longburst_t9_ekia,0,25124540,122374736366809037,t9_ch_tr_longburst_t9_challenges,0,19236042,130947465255032883,t9_ch_weapon_assault_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,33086915,,,1,,,,,,,,,,,,,,,,,,
2,32794584,,,1,,,,,,,,,,,,,,,,,,
3,32911857,,,1,,,,,,,,,,,,,,,,,,
4,24577670,,,1,31397131|19207258|31883229|23202754|31196158,107169980065550800,t9_ch_tr_longburst_t9_headshots,1,,,,,,,,,,,,,,
5,27882529,,,1,,,,,,,,,,,,,,,,,,
6,26203531,,,2,,,,,,,,,,,,,,,,,,
7,17790711,,,2,,,,,,,,,,,,,,,,,,
8,31256247,,,2,,,,,,,,,,,,,,,,,,
9,28559142,,,2,26784468|19829077|28552529|30382562|31565591,104104279014787457,t9_ch_tr_longburst_t9_killstreak_5,2,,,,,,,,,,,,,,
10,27329693,,,2,,,,,,,,,,,,,,,,,,
11,27315585,,,3,,,,,,,,,,,,,,,,,,
12,28912449,,,3,,,,,,,,,,,,,,,,,,
13,25148694,,,3,,,,,,,,,,,,,,,,,,
14,19926443,,,3,,,,,,,,,,,,,,,,,,
15,28712733,,,3,,,,,,,,,,,,,,,,,,
16,25676487,,,4,,,,,,,,,,,,,,,,,,
17,33057627,,,4,,,,,,,,,,,,,,,,,,
18,24530514,,,4,,,,,,,,,,,,,,,,,,
19,33286864,,,4,27939349|28782424|22677780|29579011|22397566,96230262866957135,t9_ch_tr_longburst_t9_longshot_kill,4,,,,,,,,,,,,,,
20,19922689,,,4,,,,,,,,,,,,,,,,,,
21,33439107,,,5,,,,,,,,,,,,,,,,,,
22,27138110,,,5,,,,,,,,,,,,,,,,,,
23,31414866,,,5,,,,,,,,,,,,,,,,,,
24,26473381,,,5,,,,,,,,,,,,,,,,,,
25,33306138,,,5,,,,,,,,,,,,,,,,,,
26,28536266,,,6,,,,,,,,,,,,,,,,,,
27,20911376,,,6,,,,,,,,,,,,,,,,,,
28,28082933,,,6,,,,,,,,,,,,,,,,,,
29,32383897,,,6,23430870|22901186|21059468|22698361|18216890,135293110890022304,t9_ch_tr_longburst_t9_kill_detected_stunned_blinded,6,,,,,,,,,,,,,,
30,30646997,,,6,,,,,,,,,,,,,,,,,,
31,24923120,,,7,,,,,,,,,,,,,,,,,,
32,31014224,,,7,,,,,,,,,,,,,,,,,,
33,19284338,,,7,,,,,,,,,,,,,,,,,,
34,18947346,,,7,,,,,,,,,,,,,,,,,,
35,32502999,,,7,,,,,,,,,,,,,,,,,,
36,33295324,,,8,,,,,,,,,,,,,,,,,,
37,23724400,,,8,,,,,,,,,,,,,,,,,,
38,19945888,,,8,,,,,,,,,,,,,,,,,,
39,29617737,,,8,21551393|31279484|25664647|21024390|30655961,112221855318898295,t9_ch_tr_longburst_t9_kill_enemy_taking_cover_from_you,8,,,,,,,,,,,,,,
40,31067400,,,8,,,,,,,,,,,,,,,,,,
41,21074853,,,9,,,,,,,,,,,,,,,,,,
42,23840353,,,9,,,,,,,,,,,,,,,,,,
43,22893857,,,9,,,,,,,,,,,,,,,,,,
44,23763383,,,9,,,,,,,,,,,,,,,,,,
45,31059211,,,9,,,,,,,,,,,,,,,,,,
46,28695324,,,10,,,,,,,,,,,,,,,,,,
47,32972448,,,10,,,,,,,,,,,,,,,,,,
48,32196878,,,10,,,,,,,,,,,,,,,,,,
49,25933407,,,10,33460960|21432107|27443691|20774128|28359438,137922184505857551,t9_ch_tr_longburst_t9_multikill_2,10,,,,,,,,,,,,,,
50,20918904,,,10,,,,,,,,,,,,,,,,,,
51,33099230,,,11,,,,,,,,,,,,,,,,,,
52,26228552,,,11,,,,,,,,,,,,,,,,,,
53,32420167,,,11,,,,,,,,,,,,,,,,,,
54,24787648,,,11,,,,,,,,,,,,,,,,,,
