0,,,,,,,,,,,,,
1,12066081,,,1,3066000,,,1,3066001,,,1,
2,12066075,,,1,,,,,,,,,
3,12066080,,,1,,,,,,,,,
4,12066083,,,1,3066010,,,1,3066011,,,1,
5,12066108,,,1,,,,,,,,,
6,12066082,,,2,,,,,,,,,
7,12066098,,,2,,,,,,,,,
8,12066100,,,2,3066020,,,2,3066021,,,2,
9,12066101,,,2,,,,,,,,,
10,12066107,,,2,,,,,,,,,
11,12066099,,,3,,,,,,,,,
12,12066105,,,3,3066030,,,3,3066031,,,3,
13,12066065,,,3,,,,,,,,,
14,12066060,,,3,,,,,,,,,
15,12066062,,,3,,,,,,,,,
16,12066063,,,4,3066040,,,4,3066041,,,4,
17,12066090,,,4,,,,,,,,,
18,12066061,,,4,,,,,,,,,
19,12066029,,,4,,,,,,,,,
20,12066028,,,4,3066050,,,4,3066051,,,4,
21,12066030,,,5,,,,,,,,,
22,12066031,,,5,,,,,,,,,
23,12066032,,,5,,,,,,,,,
24,12066109,,,5,,,,,,,,,
25,12066034,,,5,3066060,,,5,3066061,,,5,
26,12066067,,,6,,,,,,,,,
27,12066069,,,6,,,,,,,,,
28,12066070,,,6,3066070,,,6,3066071,,,6,
29,12066068,,,6,,,,,,,,,
30,12066071,,,6,,,,,,,,,
31,12066017,,,7,3066080,,,7,3066081,,,7,
-1,3066090,,,7,,,,,,,,,
