0,19766316|29804014|27029075|20162822|32792045,133242124675308463,t9_ch_lmg_light_t9_ekia,0,18352463,103758904235541560,t9_ch_lmg_light_t9_challenges,0,20393602,133735125417187514,t9_ch_weapon_lmg_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,26864923,,,1,,,,,,,,,,,,,,,,,,
2,30707834,,,1,,,,,,,,,,,,,,,,,,
3,23282151,,,1,,,,,,,,,,,,,,,,,,
4,27175806,,,1,26011322|28678931|25495544|30151693|25108540,93231917728984054,t9_ch_lmg_light_t9_headshots,1,,,,,,,,,,,,,,
5,27427330,,,1,,,,,,,,,,,,,,,,,,
6,31047795,,,2,,,,,,,,,,,,,,,,,,
7,19190083,,,2,,,,,,,,,,,,,,,,,,
8,30319092,,,2,,,,,,,,,,,,,,,,,,
9,18661009,,,2,27421479|23912186|28706183|19893514|26770318,124033184616404848,t9_ch_lmg_light_t9_killstreak_5,2,,,,,,,,,,,,,,
10,21485907,,,2,,,,,,,,,,,,,,,,,,
11,29205102,,,3,,,,,,,,,,,,,,,,,,
12,23285879,,,3,,,,,,,,,,,,,,,,,,
13,21669448,,,3,,,,,,,,,,,,,,,,,,
14,32481785,,,3,,,,,,,,,,,,,,,,,,
15,20762237,,,3,,,,,,,,,,,,,,,,,,
16,32808811,,,4,,,,,,,,,,,,,,,,,,
17,18844124,,,4,,,,,,,,,,,,,,,,,,
18,30697908,,,4,,,,,,,,,,,,,,,,,,
19,20548535,,,4,21602047|27225553|25405990|21112091|28022788,92601853172507649,t9_ch_lmg_light_t9_longshot_kill,4,,,,,,,,,,,,,,
20,27212301,,,4,,,,,,,,,,,,,,,,,,
21,28989950,,,5,,,,,,,,,,,,,,,,,,
22,25687919,,,5,,,,,,,,,,,,,,,,,,
23,18604767,,,5,,,,,,,,,,,,,,,,,,
24,32478026,,,5,,,,,,,,,,,,,,,,,,
25,29384306,,,5,,,,,,,,,,,,,,,,,,
26,30339306,,,6,,,,,,,,,,,,,,,,,,
27,20815020,,,6,,,,,,,,,,,,,,,,,,
28,32331874,,,6,,,,,,,,,,,,,,,,,,
29,20163256,,,6,18737329|18192420|25406348|18788603|26556601,78373094355334280,t9_ch_lmg_light_t9_kill_detected_stunned_blinded,6,,,,,,,,,,,,,,
30,27986906,,,6,,,,,,,,,,,,,,,,,,
31,25202013,,,7,,,,,,,,,,,,,,,,,,
32,30858395,,,7,,,,,,,,,,,,,,,,,,
33,29454882,,,7,,,,,,,,,,,,,,,,,,
34,31117574,,,7,,,,,,,,,,,,,,,,,,
35,28921592,,,7,,,,,,,,,,,,,,,,,,
36,19529411,,,8,,,,,,,,,,,,,,,,,,
37,17824058,,,8,,,,,,,,,,,,,,,,,,
38,24985402,,,8,,,,,,,,,,,,,,,,,,
39,24839654,,,8,18079591|25340861|28824506|32149539|26637741,73730603752951314,t9_ch_lmg_light_t9_kill_enemy_taking_cover_from_you,8,,,,,,,,,,,,,,
40,28672560,,,8,,,,,,,,,,,,,,,,,,
41,28350163,,,9,,,,,,,,,,,,,,,,,,
42,33189784,,,9,,,,,,,,,,,,,,,,,,
43,30167460,,,9,,,,,,,,,,,,,,,,,,
44,32624603,,,9,,,,,,,,,,,,,,,,,,
45,20073420,,,9,,,,,,,,,,,,,,,,,,
46,31445752,,,10,,,,,,,,,,,,,,,,,,
47,18122051,,,10,,,,,,,,,,,,,,,,,,
48,26727643,,,10,,,,,,,,,,,,,,,,,,
49,26221295,,,10,21118098|18588001|32668856|30364255|21378716,141369855615424824,t9_ch_lmg_light_t9_multikill_2,10,,,,,,,,,,,,,,
50,20348644,,,10,,,,,,,,,,,,,,,,,,
51,19339167,,,11,,,,,,,,,,,,,,,,,,
52,26816295,,,11,,,,,,,,,,,,,,,,,,
53,22220612,,,11,,,,,,,,,,,,,,,,,,
54,18788183,,,11,,,,,,,,,,,,,,,,,,
