0,iw8_ar_mcharlie_variant_0,iw8_ar_mcharlie,,,,,,,,,,,,,,,WEAPON/AR_MCHARLIE,ui_loot_weapon_ar_mcharlie,,,,
1,iw8_ar_mcharlie_variant_1,iw8_ar_mcharlie,,rec|1 mag|1,,barshort|1,,,,,,stockl|1,gunperk_xp,,,,WEAPON/AR_MCHARLIE_V2,ui_loot_weapon_ar_mcharlie_v2,,,,
2,iw8_ar_mcharlie_variant_2,iw8_ar_mcharlie,,rec|2 back|2 mag|2,silencer|1,barlong|1,,bipod|1,scope|4,,,,,,,,WEAPON/AR_MCHARLIE_V3,ui_loot_weapon_ar_mcharlie_v3,,,,
3,iw8_ar_mcharlie_variant_3,iw8_ar_mcharlie,,rec|3 mag|3,,barshort|2,laserbalanced|1,gripcust|2,reflexmini2|1,,,stockno|1,,,,,WEAPON/AR_MCHARLIE_V4,ui_loot_weapon_ar_mcharlie_v4,,,,
4,iw8_ar_mcharlie_variant_4,iw8_ar_mcharlie,,rec|4 front|4 mag|4,,,,bipod|2,hybrid|2,,,stockh|1,gunperk_marksman,,,,WEAPON/AR_MCHARLIE_V5,ui_loot_weapon_ar_mcharlie_v5,,,,
5,iw8_ar_mcharlie_variant_5,iw8_ar_mcharlie,,rec|5 front|5 mag|5,silencer3|7,barshort|4,,gripang|4,,,,stockl|3,,,,,WEAPON/AR_MCHARLIE_V6,ui_loot_weapon_ar_mcharlie_v6,,,,
6,iw8_ar_mcharlie_variant_6,iw8_ar_mcharlie,,rec|6 back|6,comp|9,barlong|2,,ubshtgn|1,,vertmags|1,pistolgrip02|1,,,,,,WEAPON/AR_MCHARLIE_V7,ui_loot_weapon_ar_mcharlie_v7,,,,
7,iw8_ar_mcharlie_variant_7,iw8_ar_mcharlie,,rec|7,,barsil|2,,,reflexmini3|1,calcust|1,,stocks|2,,,,,WEAPON/AR_MCHARLIE_V8,ui_loot_weapon_ar_mcharlie_v8,,,,
8,iw8_ar_mcharlie_variant_8,iw8_ar_mcharlie,,rec|8 mag|8,,barshort|3,,gripvert|3,holo3|9,,,stockl|2,,,,,WEAPON/AR_MCHARLIE_V9,ui_loot_weapon_ar_mcharlie_v9,,,,
9,iw8_ar_mcharlie_variant_9,iw8_ar_mcharlie,,rec|9 mag|9,silencer|3,barlong|3,,bipod|3,scope|7,,,stockh|2,,,,,WEAPON/AR_MCHARLIE_V10,ui_loot_weapon_ar_mcharlie_v10,,,,
10,iw8_ar_mcharlie_variant_10,iw8_ar_mcharlie,,rec|10 front|10 mag|10,,barshort|5,laserbalanced|11,gripcust|12,reflexmini|2,,,stockno|2,,,,,WEAPON/AR_MCHARLIE_V11,ui_loot_weapon_ar_mcharlie_v11,,,,
11,iw8_ar_mcharlie_variant_11,iw8_ar_mcharlie,,rec|11 mag|11,comp|15,barlong|4,,,holo2|8,,,stocks|3,,,,,WEAPON/AR_MCHARLIE_V12,ui_loot_weapon_ar_mcharlie_v12,,,,
12,iw8_ar_mcharlie_variant_12,iw8_ar_mcharlie,,rec|12 front|12,silencer|5,,,gripangpro|9,reflexmini2|7,calcust|2,,stocks|4,,,,,WEAPON/AR_MCHARLIE_V13,ui_loot_weapon_ar_mcharlie_v13,,,,
13,iw8_ar_mcharlie_variant_13,iw8_ar_mcharlie,,rec|13 front|13,,,,gripangpro|2,reflexmini2|8,calcust|3,,stocks|5,,,,,WEAPON/AR_MCHARLIE_V14,ui_loot_weapon_ar_mcharlie_v14,,,,
