0,iw8_pi_mike1911_variant_0,iw8_pi_mike1911,,,,,,,,,,,,,,,WEAPON/PI_MIKE1911,ui_loot_weapon_pi_mike1911,,,,
1,iw8_pi_mike1911_variant_1,iw8_pi_mike1911,iw8_pi_mike1911_mpv2,rec|1,brake|1,barmid|1,,,,xmagslrg|1,pistolgrip02|1,,gunperk_xp,,,,WEAPON/PI_MIKE1911_V2,ui_loot_weapon_pi_mike1911_v2,,,,
2,iw8_pi_mike1911_variant_2,iw8_pi_mike1911,,rec|2 mag|2,flashhider|5,barmid|2,,,,,,,fastreload,,,,WEAPON/PI_MIKE1911_V3,ui_loot_weapon_pi_mike1911_v3,,,,
3,iw8_pi_mike1911_variant_3,iw8_pi_mike1911,,rec|3 front|3 mag|3,brake|2,,,,,xmagslrg|2,,,maxammo,,,,WEAPON/PI_MIKE1911_V4,ui_loot_weapon_pi_mike1911_v4,,,,
4,iw8_pi_mike1911_variant_4,iw8_pi_mike1911,iw8_pi_mike1911_mpv2,rec|4 mag|4,,barmid|3,,,,,,,gunperk_xp,trigcust02|1,,,WEAPON/PI_MIKE1911_V5,ui_loot_weapon_pi_mike1911_v5,,,,
5,iw8_pi_mike1911_variant_5,iw8_pi_mike1911,,rec|5,brake|4,barlong|1,laserrange|12,,,xmags|1,,,,trigcust|1,,,WEAPON/PI_MIKE1911_V6,ui_loot_weapon_pi_mike1911_v6,,,,
6,iw8_pi_mike1911_variant_6,iw8_pi_mike1911,iw8_pi_mike1911_mpv2,rec|6 front|6 mag|6,brake|3,,,,reflexmini|1,,,,gunperk_fastmelee,trigcust03|1,,,WEAPON/PI_MIKE1911_V7,ui_loot_weapon_pi_mike1911_v7,,,,
7,iw8_pi_mike1911_variant_7,iw8_pi_mike1911,,rec|7 mag|7,comp|1,barlong|2,laserbalanced|4,,,,pistolgrip03|1,,,trigcust|2,,,WEAPON/PI_MIKE1911_V8,ui_loot_weapon_pi_mike1911_v8,,,,
8,iw8_pi_mike1911_variant_8,iw8_pi_mike1911,iw8_pi_mike1911_mpmtx,rec|8,,barmid|4,laserrange|7,,reflexmini3|1,xmagslrg|3,,,,trigcust|3,,,WEAPON/PI_MIKE1911_V9,ui_loot_weapon_pi_mike1911_v9,,blue,,
9,iw8_pi_mike1911_variant_9,iw8_pi_mike1911,,rec|9,silencer|7,barshort|1,,,,xmags|2,pistolgrip03|2,,,,,,WEAPON/PI_MIKE1911_V10,ui_loot_weapon_pi_mike1911_v10,,,,
10,iw8_pi_mike1911_variant_10,iw8_pi_mike1911,,rec|10 front|10,brake|5,,laserrange|13,,,xmags|3,,,akimbo,trigcust03|2,,,WEAPON/PI_MIKE1911_V11,ui_loot_weapon_pi_mike1911_v11,,,,
11,iw8_pi_mike1911_variant_11,iw8_pi_mike1911,,rec|11 front|11 mag|11,silencer3|1,,laserrange|14,,reflexmini2|2,,,,,trigcust02|2,,,WEAPON/PI_MIKE1911_V12,ui_loot_weapon_pi_mike1911_v12,,,,
12,iw8_pi_mike1911_variant_12,iw8_pi_mike1911,,rec|12 mag|12,silencer|5,barlong|3,laserbalanced|6,,reflexmini2|1,,,,,trigcust02|3,,,WEAPON/PI_MIKE1911_V13,ui_loot_weapon_pi_mike1911_v13,,,,
13,iw8_pi_mike1911_variant_13,iw8_pi_mike1911,,rec|13,brake|6,barmid|5,,,,xmagslrg|4,pistolgrip03|3,,,trigcust03|3,,,WEAPON/PI_MIKE1911_V14,ui_loot_weapon_pi_mike1911_v14,,,,
14,iw8_pi_mike1911_variant_14,iw8_pi_mike1911,,rec|14,silencer|8,barlong|4,,,,xmagslrg|5,,,akimbo,trigcust|4,,,WEAPON/PI_MIKE1911_V15,ui_loot_weapon_pi_mike1911_v15,,,,
15,iw8_pi_mike1911_variant_15,iw8_pi_mike1911,iw8_pi_mike1911_mpdmb,rec|15,comp|6,barshort|2,,,reflexmini3|3,xmagslrg|6,,,fastreload,,,,WEAPON/PI_MIKE1911_V16,ui_loot_weapon_pi_mike1911_v16,,,standardDis,
16,iw8_pi_mike1911_variant_16,iw8_pi_mike1911,iw8_pi_mike1911_mpa,rec|0 mag|0,,barmid|6,laserrange|1,,reflexmini|2,,,,maxammo,trigcust02|4,,,WEAPON/PI_MIKE1911_V17,ui_loot_weapon_pi_mike1911_v17,,,,
17,iw8_pi_mike1911_variant_17,iw8_pi_mike1911,iw8_pi_mike1911_mpmtx2,rec|1 mag|1,comp|11,barmid|7,laser|8,,,xmagslrg|7,,,,trigcust|7,,,WEAPON/PI_MIKE1911_V18,ui_loot_weapon_pi_mike1911_v18,,ice,standardDis,
18,iw8_pi_mike1911_variant_18,iw8_pi_mike1911,iw8_pi_mike1911_mpa,rec|2 front|2 mag|2,brake|9,barlong|5,,,,xmags|5,pistolgrip02|4,,,trigcust|8,,,WEAPON/PI_MIKE1911_V19,ui_loot_weapon_pi_mike1911_v19,,,,
19,iw8_pi_mike1911_variant_19,iw8_pi_mike1911,iw8_pi_mike1911_mpa,rec|3 front|3 mag|3,,barshort|3,,,,,pistolgrip02|2,,fastreload,,,,WEAPON/PI_MIKE1911_V20,ui_loot_weapon_pi_mike1911_v20,,,,
